상가업소번호,법정동코드,지번본번지,지번부번지,상호명,지점명,상권_코드,균등분배_전용면적,리뷰수,별점,카페_추정매출
MA010120220806476231,1144010100,332.0,7.0,커피프릭COFFEEFREAK,,3130198,60.32655826301168,0.0,,
MA010120220802780322,1111015300,95.0,,골목카페,,3120009,162.4830762746875,0.0,4.47,105522176.78346959
MA010120220806496281,1147010200,405.0,241.0,구움블루스,,3120113,112.69801232015456,79.0,4.7,164702801.8508856
MA0101202302A0078446,1165010100,760.0,2.0,메가엠지씨커피방배카페,거리점,3120162,322.59989056195406,0.0,,528112134.5602513
MA0101202310A0029065,1144012100,113.0,92.0,네스트앤드위스탠연남마포지점,,3110564,130.05323937918837,0.0,,64490229.9140461
MA0101202301A0001083,1123010300,478.0,5.0,카페청량,,3130095,53.740569607172546,548.0,4.1,89992104.53728625
MA0101202406A0524166,1147010300,480.0,18.0,문보드레,,3110608,116.90136907236338,7.0,5.0,57191662.71242547
MA010120220802054670,1141011200,56.0,28.0,커피도가헤리티지,,3130179,216.13943577062088,204.0,4.585,296852116.3842852
MA0101202309A0037814,1117010200,1.0,46.0,꾸에바마테라,,3130060,52.86518384649379,348.0,4.2,142628099.8950544
MA010120220800854284,1156011000,14.0,35.0,매머드익스프레스,여의도점,3120148,446.2928133800127,7.0,4.3,201171140.9515
MA010120220807773162,1132010600,670.0,1.0,더로비,,3110393,96.61110242398728,163.0,4.285,106616789.77459103
MA0101202301A0080507,1121510300,33.0,8.0,바바아시,,3110177,155.78710172278602,116.0,4.6,
MA0101202406A0459675,1130510300,63.0,,수유상점101,,3130138,571.9393866137231,0.0,,
MA0101202306A0054244,1130510300,63.0,,커피마마퀸,,3130138,571.9393866137231,7.0,5.0,
MA0101202210A0034673,1114015000,39.0,1.0,업사이드커피을지로,,3120033,573.618800278388,100.0,3.9,34391016.384060055
MA010120220804108887,1174010700,506.0,2.0,그랑카페,,3111055,166.9823386885689,4.0,3.855,
MA0101202305A0146430,1126010200,172.0,,이디야커피망우역점,,3110265,96.7748283956045,14.0,4.8,2315196.2140411153
MA010120220814019498,1117012800,40.0,317.0,트래버틴용산,,3110062,70.48729081366446,848.0,3.87,180292711.92543036
MA010120220807721966,1147010100,1018.0,1.0,디저트39,,3120109,242.92202739689793,19.0,2.2,83511444.91962235
MA010120220811871907,1156010600,20.0,62.0,사랑방,,3130250,1224.8669968077804,0.0,4.45,4912265.5
MA010120220808832530,1156010600,20.0,62.0,로타리휴계실,,3130250,1224.8669968077804,0.0,,4912265.5
MA0101202308A0016993,1165010200,119.0,1.0,삼이일공커피공장,,3110938,52.253549984626524,31.0,5.0,132987345.63497867
MA010120220810577365,1144010800,542.0,,토마토,,3110577,282.9061794684441,0.0,4.45,43800860.009852216
MA0101202406A0046626,1121510300,33.0,1.0,수빈70,,3110177,152.88493448448656,15.0,5.0,
MA010120220803980265,1130510100,783.0,1.0,커피오리진,,3110364,191.51350057702388,0.0,,555208.3158949328
MA010120220803674019,1174010500,445.0,1.0,메가엠지씨커피강동역점,,3111068,739.926824240443,10.0,4.6,1076238146.9411764
MA010120220806880475,1126010200,129.0,9.0,카페502호,,3130107,4503.999241269307,0.0,,
MA010120220803878389,1144012200,360.0,1.0,이앤에스에스,,3110559,103.84530664511266,0.0,,98480426.41138865
MA010120220805703628,1154510300,995.0,18.0,건강한농부사회적협동조합,,3110734,190.7809264232133,0.0,,
MA010120220813342186,1117010200,1.0,45.0,크레마노,해방촌점,3130060,52.86518384649379,21.0,4.8,62250445.55136907
MA0101202406A0061679,1171010800,67.0,8.0,카페인중독,문정점,3111026,180.08028236580924,0.0,,36810567.89759952
MA010120220813711418,1135010500,389.0,237.0,카페보보,,3110424,62.47776964504507,11.0,5.0,17596995.847548936
MA010120220812329257,1120011200,173.0,9.0,금호알베르,,3110107,85.69952441442156,0.0,,1377345.5479277298
MA010120220805446012,1120011200,173.0,9.0,알베르금호,,3110107,85.69952441442156,0.0,,1377345.5479277298
MA010120220802964354,1141011200,34.0,22.0,다나제과,,3130178,87.73240327953026,10.0,4.1,53495697.66732553
MA010120220806478777,1120011500,284.0,62.0,커피베이성수세종,타워점,3130071,,19.0,5.0,
MA010120220800219104,1144012400,227.0,15.0,메르센,,3130192,312.1128410335818,0.0,,15705394.823820313
MA010120220808123411,1144012400,227.0,15.0,카페네이,,3130192,312.1128410335818,0.0,,15705394.823820313
MA010120220800209837,1144012400,227.0,15.0,카페리브레,,3130192,312.1128410335818,0.0,4.44,15705394.823820313
MA0106202201A0153478,1114016800,214.0,,커피빈순화점,코리아,3120019,1578.3165097208732,28.0,4.645,666624456.8188119
MA010120220805376837,1144010200,256.0,13.0,커피에반하다,,3130196,351.697798519215,25.0,4.7,170264868.16585365
MA0101202307A0051907,1144010200,256.0,13.0,컴포즈커피,공덕역점,3130196,351.697798519215,7.0,4.2,102907337.90243903
MA010120220809331537,1144010200,256.0,13.0,쥬씨,공덕점,3130196,351.697798519215,9.0,2.4,110391507.93170731
MA010120220806528090,1117013100,790.0,8.0,빌리지,,3110096,53.61375788421851,113.0,4.67,147309935.511089
MA0106202201A1608036,1120011500,299.0,56.0,MAAT커피브루어스,,3110132,121.07657490635773,142.0,4.73,135791254.38053742
MA0101202311A0063989,1165010700,551.0,36.0,퓨쳐마인드,,3110924,122.92685575965652,71.0,5.0,
MA010120220814335806,1123010500,488.0,100.0,좋은피플,,3130101,21.845694578920025,0.0,,
MA0101202311A0057925,1150010400,1488.0,8.0,컴포즈커피가양초점,,3110674,607.2487014639062,5.0,5.0,229093570.9735871
MA0101202406A0496575,1144010800,241.0,22.0,효녀가수이효정네한방찻집,,3110576,91.79489147096399,0.0,,48225259.534547806
MA010120220800189855,1144012000,331.0,13.0,쿠나,,3130191,113.30028367585857,1563.0,4.82,1130611029.8083587
MA010120220803540686,1162010100,32.0,2.0,OMG도넛앤커피,,3130293,2899.565672283466,0.0,,127740345.07027437
MA0101202409A0015864,1162010200,1422.0,5.0,카페메디치,,3120157,1282.3222080063188,0.0,,217260720.97159594
MA010120220813289327,1114016300,114.0,,스탠다드,,3120039,114.85915705721716,75.0,4.5,121049320.27558132
MA010120220811770920,1135010300,437.0,4.0,써밋,,3110435,191.81470223825784,15.0,5.0,92572329.77823713
MA010120220804426732,1171011100,222.0,4.0,엠에스씨커피,,3111020,184.92961140953688,0.0,4.5,20535727.75913944
MA010120220803544182,1114015500,315.0,3.0,을지다방,,3120031,154.45240387653345,524.0,4.495,515713567.20399696
MA0101202309A0079520,1168010800,242.0,18.0,매머드커피강남,구청점,3120203,131.25895064641716,20.0,3.965,145892501.33091894
MA010120220811982063,1141011200,34.0,29.0,고스트요거트,,3130178,86.21738124112441,87.0,4.705,29033142.8939421
MA010120220803832299,1121510700,7.0,12.0,할리스,,3120053,170.57425447946858,30.0,2.7,141692630.84061804
MA010120220813329261,1121510700,7.0,12.0,다빈치보드게임,,3120053,170.57425447946858,17.0,3.875,130507092.86243998
MA010120220811946517,1117011200,34.0,,헬카페,,3110068,150.51076208991216,0.0,4.17,138260370.83082253
MA0101202305A0182284,1162010200,403.0,9.0,바나타이거,양산점,3110879,87.37335830751672,11.0,3.7,
MA010120220812936847,1120011400,656.0,1214.0,오카보카커피,,3120050,65.1270379247731,31.0,4.8,56801692.98335723
MA010120220813466674,1144012000,358.0,53.0,더앨리,홍대점,3130190,117.87380356971448,0.0,,309905488.0587752
MA010120220805037015,1117012400,104.0,2.0,텐티북스,,3110076,101.40741907490079,119.0,3.615,184485999.73817995
MA0101202309A0026548,1117012900,301.0,154.0,아비삭베이글,,3130058,475.9989973348229,17.0,4.6,23662929.33528134
MA0101202406A0326897,1129013300,266.0,94.0,필링커피,,3130118,187.47073942091396,0.0,,11778200.507757585
MA0101202311A0102365,1138010800,33.0,2.0,카페달,,3110468,404.6748972588672,0.0,,32256326.198278006
MA010120220806700247,1126010100,496.0,17.0,탐앤탐스사가정역점,,3120068,85.20131369006468,32.0,2.955,205324133.28667974
MA0101202411A0081318,1120011200,1192.0,,하삼동금호역점,,3120048,227.27910906771842,0.0,5.0,41893413.98082307
MA010120220813699361,1168010400,119.0,8.0,인터내셔널티컴퍼니,,3120208,136.06685985694776,0.0,,90903146.83327176
MA010120220803148675,1144012300,399.0,36.0,슬라브,,3110544,150.69663945939968,113.0,4.82,47693515.52609894
MA010120220813656456,1156013200,2365.0,,별와플,,3130258,1888.6078843004054,0.0,,6218408.780487805
MA010120220809207218,1126010600,312.0,1.0,더그린,,3110271,44.05680956556805,0.0,,
MA010120220803098669,1168010400,70.0,11.0,카페글락,,3110990,267.73845509873985,0.0,,56519122.707822576
MA0106202201A0153173,1117013000,123.0,33.0,커피빈이태원점,코리아,3120046,248.65249848741024,34.0,3.63,262476527.60415214
MA010120220807386355,1162010100,862.0,1.0,자작나무,,3120159,618.4227681724877,13.0,3.175,84864755.60106698
MA010120220801138917,1162010100,862.0,1.0,브로커피앤쥬스,,3120159,618.4227681724877,0.0,4.38,78443849.14227958
MA0106202303A2117369,1117012400,231.0,23.0,돌상cafe돌상카페,,3120044,1608.5646258364568,0.0,,139270424.6285042
MA010120220808581989,1168010700,645.0,15.0,꼴라보하우스도산,,3110962,170.88541146668723,0.0,4.4,
MA010120220808485009,1147010300,98.0,36.0,와다당,,3110597,83.89146972903575,0.0,5.0,
MA0101202409A0189004,1111016500,10.0,5.0,타미,,3110028,37.46223504358454,9.0,5.0,30954071.695897367
MA010120220811794135,1114011300,18.0,9.0,투썸플레이스,,3120022,159.88644412791692,22.0,2.3,158472179.32811648
MA0101202310A0036144,1117010200,1.0,62.0,오랑오랑,,3130060,36.51135178964093,835.0,4.085,252757846.29544303
MA010120220805156221,1154510300,244.0,50.0,로스티드바이,,3110755,91.61331521705195,26.0,4.915,42694655.35507429
MA010120220806610132,1114016200,193.0,2.0,마피아백다방,,3130050,643.5443766775078,0.0,,
MA010120220812118389,1114016200,193.0,2.0,별다방,,3130050,643.5443766775078,0.0,4.09,
MA010120220805243579,1114016200,193.0,2.0,이트커피,,3130050,643.5443766775078,0.0,4.32,
MA010120220807821180,1111017400,436.0,78.0,비바라비다,,3130016,889.5337639710212,0.0,4.86,
MA010120220803495685,1114016200,846.0,,카페달콤한오늘,,3130051,1824.7740996605671,6.0,4.83,104099274.91792622
MA0101202406A0132772,1129011600,2.0,16.0,그라미,성신여대점,3120072,157.8860285091103,16.0,5.0,327434866.1281798
MA010120220808569664,1121510400,245.0,8.0,예설스페이스,,3110179,123.88083996209146,20.0,4.1,1027628546.9455818
MA010120220809788368,1111016400,228.0,13.0,하나원컴퍼니,,3110026,,0.0,,
MA0101202409A0101727,1129013500,82.0,43.0,봉명동내커피,성북점,3110314,69.42650935952025,12.0,4.2,131321122.2794409
MA010120220813750887,1165010200,120.0,10.0,할루카연구소,,3110938,114.96755151120263,0.0,4.5,114744369.52665459
MA010120220813713548,1114012500,49.0,4.0,아리스타충무로점,,3120030,105.62170430275489,42.0,3.675,168123754.48152763
MA010120220813996290,1132010600,675.0,16.0,오살랑마켓,,3110402,126.71781543128526,0.0,,
MA0101202409A0232651,1138010700,117.0,16.0,오늘의커피,,3110470,115.22661271479728,0.0,4.88,10026204.396218412
MA010120220800440925,1156013200,4346.0,3.0,라온,,3110812,99.65084289396326,231.0,4.574999999999999,334807927.73260325
MA0101202406A0088328,1153010600,51.0,18.0,메가엠지씨커피구로고척,시장점,3130227,148.73700101453412,0.0,2.3,27962022.152385682
MA010120220814228547,1153010600,51.0,18.0,한국영파머스클럽,,3130227,148.73700101453412,0.0,,27962022.152385682
MA010120220808021896,1111017400,461.0,2.0,차차티클럽,,3120016,73.99033657357437,253.0,4.0,39434177.760588035
MA0101202307A0053635,1141011200,34.0,25.0,카페너와,,3130178,81.60683208570134,9.0,5.0,24850471.05155512
MA010120220805062732,1171010400,39.0,15.0,리프커피바,,3111013,110.2320166239654,1169.0,4.26,129778560.63976231
MA0101202210A0042933,1126010600,666.0,,홍콩다방중랑,구청점,3130113,331.40989093154667,29.0,5.0,14443418.3337468
MA0101202308A0043289,1126010600,666.0,,빽다방중랑,구청점,3130113,331.40989093154667,31.0,3.89,15074307.959278712
MA010120220802889192,1126010600,666.0,,바리스타폴커피칸타타,,3130113,331.40989093154667,0.0,4.4,5295518.763534032
MA010120220803226363,1126010600,666.0,,커피베이중랑,구청점,3130113,331.40989093154667,0.0,4.49,5295518.763534032
MA0101202411A0036766,1126010600,666.0,,공차중랑,구청점,3130113,331.40989093154667,34.0,5.0,16020642.397576585
MA010120220805010295,1165010100,2732.0,41.0,향기나는굴뚝,,3110909,132.73647944981983,5.0,5.0,41021712.2984236
MA0101202406A0480611,1130510400,73.0,69.0,커피바102,,3110346,92.58569683695681,0.0,,131195249.02978672
MA010120220811971488,1117010200,1.0,502.0,피프틴커피,,3130060,80.76527669308462,0.0,,73426223.54222405
MA010120220802972446,1130510100,460.0,79.0,카페소소,,3110371,112.58034681375028,22.0,4.8,9177291.763608731
MA0101202308A0092339,1123010400,295.0,431.0,구하니커피,,3130099,101.677291595092,0.0,,51204395.62679426
MA010120220806928741,1171011200,10.0,3.0,이디야커피오금,중앙점,3111032,417.20858613910633,11.0,4.055,19939002.419080622
MA0101202409A0034113,1159010900,708.0,,자몽자몽,신대방점,3120151,178.69620826332263,2.0,5.0,50617862.2476344
MA010120220812296005,1159010900,708.0,,매머드익스프레스보라매공원점,,3120151,178.69620826332263,12.0,4.0,76875822.6897876
MA010120220808440153,1159010900,708.0,,카페,,3120151,178.69620826332263,184.0,3.9,528512742.29482263
MA0101202406A0342283,1159010900,708.0,,칼도에스프레소바,,3120151,178.69620826332263,18.0,4.1,92630598.95507954
MA010120220809806690,1159010900,708.0,,마리크루아상,,3120151,178.69620826332263,257.0,4.6,720195853.5225409
MA0101202211A0099165,1159010900,708.0,,그로비,,3120151,178.69620826332263,0.0,5.0,45366270.15920377
MA0106202301A1337298,1159010900,708.0,,체크커피,,3120151,178.69620826332263,37.0,4.465,142520723.7951706
MA010120220806658531,1165010800,1673.0,2.0,투썸플레이스,교대역점,3120173,140.32716807036803,32.0,2.6,123779436.44417323
MA010120220804546617,1117013000,44.0,23.0,피컨트,,3110082,183.2838224965241,28.0,4.859999999999999,163026778.32294813
MA010120220805491881,1120011400,13.0,316.0,소적두,성수점,3130070,339.45376316909983,70.0,4.0,128215666.5283806
MA010120220800023103,1111012800,23.0,,수요일,,3120008,204.7577198520651,225.0,3.915,224759504.4654879
MA0101202406A0168573,1129012200,1.0,1.0,카페코르안암점,,3110304,171.71823084163947,0.0,,26538803.890826944
MA010120220806425665,1165010100,327.0,6.0,메종인디아트래블앤북스,,3110916,41.789087650579035,0.0,,36313537.31112215
MA010120220814008682,1141011700,715.0,3.0,이알커피연희,,3110510,188.01310737674203,0.0,5.0,67203874.68927753
MA010120220814085021,1174010100,110.0,,채one,,3111086,141.31241153196117,1.0,4.6899999999999995,68297088.23475346
MA0101202409A0024377,1150010300,1074.0,12.0,컴포즈커피,화곡역점,3120120,408.1208624202522,10.0,3.4,207702739.53156358
MA010120220800938547,1154510300,888.0,1.0,석커피숍,,3130235,316.7945880211823,0.0,4.25,88282351.38188845
MA0101202301A0103400,1153010700,181.0,5.0,빽다방개봉역,북부점,3110703,456.90977908383394,14.0,4.045,171047068.7617381
MA010120220801045304,1168010300,1207.0,11.0,커피더주다,,3110983,127.6832079002092,0.0,,55197628.655832045
MA0101202406A0116985,1162010200,751.0,2.0,오늘의당도,,3110857,139.99906576587532,5.0,5.0,
MA010120220804760460,1159010100,232.0,136.0,델링유,,3110832,226.7261901372731,0.0,,
MA010120220812276273,1165010100,528.0,15.0,리프레셔스,,3120163,97.39451275792864,414.0,4.375,42430241.64249797
MA010120220811805866,1114016200,292.0,84.0,크로플로신당점,,3130049,45.143907004561264,7.0,5.0,
MA0101202406A0371539,1165010800,1596.0,6.0,풀떼기,,3120172,175.28845760275175,29.0,5.0,135033198.10220057
