상가업소번호,법정동코드,지번본번지,지번부번지,상호명,지점명,상권_코드,전용면적,리뷰수,별점,카페_추정매출
MA010120220812360152,1123010600,416.0,5.0,9카페,,3120066,,101.0,3.755,209508611.15721995
MA010120220803705421,1165010700,52.0,2.0,쥬씨삼호가든,사거리점,3120170,,7.0,4.640000000000001,224526222.9168622
MA0101202305A0094771,1111010600,108.0,,몹시,,3120002,,153.5,4.2,282434405.70207804
MA010120220800795375,1141011700,75.0,3.0,마룬여유,,3110517,,0.0,4.7,10821762.428571427
MA0101202212A0069021,1141011100,294.0,46.0,탐앤탐스홍제역점,,3130176,,37.0,3.745,
MA010120220810013229,1141011100,294.0,46.0,홍제동냇길,,3130176,,0.0,,
MA010120220804670501,1117010200,1.0,490.0,아케디뜨,,3130060,,0.0,4.62,0.0
MA0101202210A0069909,1144012600,254.0,,잇푸쿠,,3110553,,53.0,4.6,49395648.886554636
MA0101202411A0148010,1132010700,750.0,2.0,메가엠지씨커피북한산,아이파크점,3110408,,14.0,2.9,47109223.429742396
MA010120220811453534,1171010100,233.0,,까페캠퍼,잠실점,3111004,,39.0,5.0,44762576.4538669
MA010120220806570363,1162010100,729.0,32.0,설빙,,3120151,,161.38095238095238,3.795227272727273,680508359.3425411
MA0101202308A0030688,1162010100,729.0,32.0,매머드익스프레스보라매대교점,,3120151,,5.0,4.0,106148008.80729692
MA0101202303A0088204,1162010100,729.0,32.0,커피앤김밥,,3120151,,0.0,,87783868.4887218
MA0101202212A0063472,1174010800,534.0,18.0,원두볶는사람들,,3111050,,8.0,4.404999999999999,24133186.544367526
MA0101202406A0348730,1132010700,288.0,40.0,이디야커피창동학원가점,,3110409,,21.0,3.665,134256098.030428
MA0106202406A2465527,1129012500,104.0,30.0,스타벅스,고대,3110313,,126.05636743215031,4.132901878914405,301214137.3055605
MA010120220800594420,1141011200,34.0,23.0,앨리스,,3130178,,272.5,4.609999999999999,68575810.3687251
MA010120220814090613,1111010400,164.0,7.0,아키비스트,,3110015,,2967.0,4.2,434239233.73943585
MA010120220812595540,1159010200,465.0,16.0,멜로드,,3130268,,131.0,4.8,72908580.56965163
MA0101202307A0029658,1150010200,643.0,1.0,요거요거요거트,,3110671,,0.0,4.5,31064945.76
MA010120220807372753,1129013400,1171.0,14.0,바스크,,3110306,,189.0,3.8649999999999998,65028722.74015748
MA010120220804283432,1171011300,135.0,19.0,커피인페르노,,3111042,,0.0,4.43,24717902.0
MA010120220811802533,1141011800,36.0,3.0,커피볶는김여사,,3110525,,41.0,4.16,156240195.57823128
MA010120220813194426,1159010500,43.0,38.0,구루구루,,3110842,,6.0,5.0,76416355.17814456
MA0101202308A0087121,1144012000,365.0,17.0,미쉐,,3130190,,42.5,3.95,307330480.6342585
MA010120220814138033,1129010100,125.0,6.0,디자인정인플러스,,3110283,,0.0,,9604196.314285714
MA0101202306A0098791,1135010300,408.0,26.0,봉명동내커피,,3110438,,11.333333333333334,4.533333333333333,26286982.67938682
MA0101202310A0014635,1114016200,204.0,48.0,이디야팀이공사점,,3130046,,0.0,,
MA010120220804369500,1132010700,4.0,,메가엠지씨커피창동역점,,3130153,,29.0,3.675,173524044.58834478
MA010120220813450022,1150010900,615.0,54.0,공활,,3110630,,55.0,5.0,24417828.39923481
MA010120220800992852,1154510300,924.0,10.0,어깨동무,,3110753,,0.0,4.56,20771637.375
MA010120220812381987,1165010800,1673.0,1.0,커피온리,교대역점,3120173,,8.6,4.345714285714286,126219159.06554721
MA0101202406A0006355,1165010800,1445.0,1.0,메가엠지씨커피남부터미널역점,,3120175,,8.0,5.0,25540986.96532603
MA010120220803746048,1120010400,185.0,27.0,카페다인,,3130067,,7.0,4.6899999999999995,50961459.31058182
MA010120220805528341,1114012300,9.0,15.0,남산#52LAB,,3120027,,60.0,4.42,1238922302.0334241
MA010120220812223813,1135010300,513.0,47.0,베비아모,,3110433,,189.0,4.8,64413048.79841381
MA010120220813622947,1120010200,890.0,381.0,오루베,,3110110,,96.0,4.8,87688920.01170161
MA010120220812249653,1162010100,196.0,114.0,프리커피,,3110900,,0.0,4.61,88528574.14285715
MA0101202210A0089507,1132010600,650.0,3.0,노브.,,3110405,,0.0,,5119967.877551019
MA010120220810325777,1114011300,18.0,7.0,히든아일렛,,3120022,,329.0,4.4,557361814.7762176
MA010120220812816297,1120011400,13.0,384.0,피카워크샵,,3110129,,95.0,4.5600000000000005,7158173.395102581
MA010120220812692268,1132010600,719.0,2.0,셀렉토커피방학역점,,3110410,,13.0,3.72,123873070.15412161
MA010120220814131733,1111015900,84.0,2.0,미러볼커피스탠드,,3120010,,0.0,,0.0
MA010120220808471611,1130510300,28.0,18.0,단미제과,,3110359,,0.0,,338258.0571428571
MA010120220806750334,1144010800,241.0,40.0,파크사이드,,3110576,,332.0,4.1,130014702.7919079
MA010120220807072648,1171011100,64.0,6.0,코지,,3120229,,273.0,4.2,822524247.5398468
MA010120220805629360,1129011600,2.0,2.0,데이데이,,3120072,,30.0,5.0,272392282.07365483
MA010120220803903262,1129012100,9.0,,라운드테이블,,3110300,,0.0,,92189496.55462185
MA010120220812684551,1123010500,70.0,9.0,리예몬,,3130100,,0.0,,0.0
MA0101202406A0003591,1159010200,485.0,1.0,미학당,,3110838,,258.0,4.82,80210351.78978536
MA0101202406A0354707,1111013100,171.0,6.0,커피베이베이크앤비스트로서순라길점,,3110019,,0.0,3.6,134767600.59183672
MA0101202306A0081109,1159010200,488.0,,컴포즈커피숭실대점,,3130269,,12.0,1.3,
MA010120220812045492,1121510300,248.0,87.0,집생로커피,,3110166,,84.66666666666667,4.566666666666666,56468583.01662132
MA010120220805502965,1121510400,245.0,7.0,에그허그,,3110179,,0.0,4.65,483681013.9714285
MA010120220804498801,1168010800,201.0,16.0,뷰파트너스주,,3120187,,0.0,,0.0
MA0101202212A0097331,1168010400,134.0,20.0,현욱기획,,3130308,,0.0,,
MA0106202201A0722612,1168010400,134.0,20.0,커피를만드는사람들,,3130308,,0.0,,
MA010120220803865372,1121510500,620.0,17.0,카페오,,3130081,,7.0,4.0,
MA0101202409A0141583,1135010300,592.0,7.0,퐁치커피익스프레스,공릉점,3110434,,4.25,3.925,16092558.234095966
MA0106202406A2464980,1168010100,858.0,,스타벅스,강남역신분당역사,3120192,,126.05636743215031,4.132901878914405,282057025.8404525
MA010120220812515182,1165010700,1313.0,,하우스브란트,,3110908,,0.0,4.4,4200463.25
MA010120220806653613,1165010700,1313.0,,카페301,,3110908,,0.0,,4200463.25
MA010120220803675047,1165010700,1313.0,,퀼트카페인,,3110908,,0.0,,4200463.25
MA0101202406A0075604,1147010300,575.0,1.0,컴포즈양천신곡점,,3130205,,13.0,3.62,113108136.16502464
MA0101202311A0105550,1114011200,33.0,1.0,스타트카페,,3130024,,3.0,5.0,5969294.068798902
MA010120220800117732,1114011200,33.0,1.0,커피집,,3130024,,307.44444444444446,4.200555555555556,611742099.569132
MA010120220814124659,1159010700,68.0,1.0,나를위한하루날위한커피,사당점,3110851,,19.0,4.4,
MA010120220806848914,1132010500,422.0,80.0,카페크레프리,,3110383,,10.0,4.6,45689604.7802285
MA010120220806476231,1144010100,332.0,7.0,커피프릭COFFEEFREAK,,3130198,,0.0,,
MA010120220802780322,1111015300,95.0,,골목카페,,3120009,,891.0,4.391666666666667,642436594.313942
MA010120220806496281,1147010200,405.0,241.0,구움블루스,,3120113,,79.0,4.7,208446522.6698673
MA0101202302A0078446,1165010100,760.0,2.0,메가엠지씨커피방배카페,거리점,3120162,,0.0,,426140252.3571429
MA0101202310A0029065,1144012100,113.0,92.0,네스트앤드위스탠연남마포지점,,3110564,,0.0,,0.0
MA0101202301A0001083,1123010300,478.0,5.0,카페청량,,3130095,,548.0,4.1,124699685.2994129
MA0101202406A0524166,1147010300,480.0,18.0,문보드레,,3110608,,7.0,5.0,55971246.035714276
MA010120220802054670,1141011200,56.0,28.0,커피도가헤리티지,,3130179,,204.0,4.585,464752619.2964751
MA0101202309A0037814,1117010200,1.0,46.0,꾸에바마테라,,3130060,,348.0,4.2,140678080.49636802
MA010120220800854284,1156011000,14.0,35.0,매머드익스프레스,여의도점,3120148,,7.861111111111111,3.8583333333333334,259641800.48890963
MA010120220807773162,1132010600,670.0,1.0,더로비,,3110393,,163.0,4.285,128680423.53710331
MA0101202301A0080507,1121510300,33.0,8.0,바바아시,,3110177,,116.0,4.6,
MA0101202406A0459675,1130510300,63.0,,수유상점101,,3130138,,0.0,,
MA0101202306A0054244,1130510300,63.0,,커피마마퀸,,3130138,,8.714285714285714,4.3428571428571425,
MA0101202210A0034673,1114015000,39.0,1.0,업사이드커피을지로,,3120033,,100.0,3.9,48095237.01792145
MA010120220804108887,1174010700,506.0,2.0,그랑카페,,3111055,,4.0,3.855,
MA0101202305A0146430,1126010200,172.0,,이디야커피망우역점,,3110265,,14.0,4.8,1991642.8675024745
MA010120220814019498,1117012800,40.0,317.0,트래버틴용산,,3110062,,848.0,3.87,259461723.324849
MA010120220807721966,1147010100,1018.0,1.0,디저트39,,3120109,,16.0,3.4359999999999995,81881186.18925215
MA010120220811871907,1156010600,20.0,62.0,사랑방,,3130250,,2747.0,4.375,7719274.357142857
MA010120220808832530,1156010600,20.0,62.0,로타리휴계실,,3130250,,0.0,,2105256.6428571423
MA0101202308A0016993,1165010200,119.0,1.0,삼이일공커피공장,,3110938,,31.0,5.0,162258056.48279658
MA010120220810577365,1144010800,542.0,,토마토,,3110577,,0.0,4.45,34642498.371428564
MA0101202406A0046626,1121510300,33.0,1.0,수빈70,,3110177,,15.0,5.0,
MA010120220803980265,1130510100,783.0,1.0,커피오리진,,3110364,,0.0,,348638.0
MA010120220803674019,1174010500,445.0,1.0,메가엠지씨커피강동역점,,3111068,,10.0,4.6,1106649899.9159665
MA010120220806880475,1126010200,129.0,9.0,카페502호,,3130107,,0.0,,
MA010120220803878389,1144012200,360.0,1.0,이앤에스에스,,3110559,,0.0,,83603541.56043956
MA010120220805703628,1154510300,995.0,18.0,건강한농부사회적협동조합,,3110734,,0.0,,
MA010120220813342186,1117010200,1.0,45.0,크레마노,해방촌점,3130060,,18.0,4.8,7276452.439467313
MA0101202406A0061679,1171010800,67.0,8.0,카페인중독,문정점,3111026,,16.2,3.9,14368727.468339963
MA010120220813711418,1135010500,389.0,237.0,카페보보,,3110424,,11.0,5.0,23749702.97997942
MA010120220812329257,1120011200,173.0,9.0,금호알베르,,3110107,,0.0,,0.0
MA010120220805446012,1120011200,173.0,9.0,알베르금호,,3110107,,0.0,,0.0
MA010120220802964354,1141011200,34.0,22.0,다나제과,,3130178,,10.0,4.1,52256100.27729267
MA010120220806478777,1120011500,284.0,62.0,커피베이성수세종,타워점,3130071,,19.0,5.0,
MA010120220800219104,1144012400,227.0,15.0,메르센,,3130192,,0.0,,8167592.142857141
MA010120220808123411,1144012400,227.0,15.0,카페네이,,3130192,,0.0,,8167592.142857141
MA010120220800209837,1144012400,227.0,15.0,카페리브레,,3130192,,0.0,4.44,8167592.142857141
MA0106202201A0153478,1114016800,214.0,,커피빈순화점,코리아,3120019,,28.0,4.645,743054311.8593011
MA010120220805376837,1144010200,256.0,13.0,커피에반하다,,3130196,,21.857142857142858,3.776190476190476,177741928.6044458
MA0101202307A0051907,1144010200,256.0,13.0,컴포즈커피,공덕역점,3130196,,9.941176470588236,3.5500000000000003,110714244.91818617
MA010120220809331537,1144010200,256.0,13.0,쥬씨,공덕점,3130196,,7.166666666666667,3.9500000000000006,95107540.47736807
MA010120220806528090,1117013100,790.0,8.0,빌리지,,3110096,,113.0,4.67,164947438.96850392
MA0106202201A1608036,1120011500,299.0,56.0,MAAT커피브루어스,,3110132,,142.0,4.73,153955147.17277554
MA0101202311A0063989,1165010700,551.0,36.0,퓨쳐마인드,,3110924,,71.0,5.0,
MA010120220814335806,1123010500,488.0,100.0,좋은피플,,3130101,,0.0,,
MA0101202311A0057925,1150010400,1488.0,8.0,컴포즈커피가양초점,,3110674,,5.0,5.0,266695567.28571427
MA0101202406A0496575,1144010800,241.0,22.0,효녀가수이효정네한방찻집,,3110576,,0.0,,44931163.73949579
MA010120220800189855,1144012000,331.0,13.0,쿠나,,3130191,,1563.0,4.73,1513831093.3803189
MA010120220803540686,1162010100,32.0,2.0,OMG도넛앤커피,,3130293,,0.0,,65410431.21428572
MA0101202409A0015864,1162010200,1422.0,5.0,카페메디치,,3120157,,0.0,,100778363.57142857
MA010120220813289327,1114016300,114.0,,스탠다드,,3120039,,75.0,4.5,122087060.33346638
MA010120220811770920,1135010300,437.0,4.0,써밋,,3110435,,37.5,4.7,155302646.72919938
MA010120220804426732,1171011100,222.0,4.0,엠에스씨커피,,3111020,,0.0,4.5,0.0
MA010120220803544182,1114015500,315.0,3.0,을지다방,,3120031,,524.0,4.495,1195926057.8216035
MA0101202309A0079520,1168010800,242.0,18.0,매머드커피강남,구청점,3120203,,19.5,4.34,165379288.71740583
MA010120220811982063,1141011200,34.0,29.0,고스트요거트,,3130178,,94.5,4.705,5875095.632915679
MA010120220803832299,1121510700,7.0,12.0,할리스,,3120053,,21.5,3.25,113084178.38297705
MA010120220813329261,1121510700,7.0,12.0,다빈치보드게임,,3120053,,17.0,3.875,107638835.69168542
MA010120220811946517,1117011200,34.0,,헬카페,,3110068,,894.0,3.9775,461423188.79240054
MA0101202305A0182284,1162010200,403.0,9.0,바나타이거,양산점,3110879,,15.571428571428571,4.3428571428571425,
MA010120220812936847,1120011400,656.0,1214.0,오카보카커피,,3120050,,31.0,4.8,68617468.24801633
MA010120220813466674,1144012000,358.0,53.0,더앨리,홍대점,3130190,,0.0,,240836599.6326531
MA010120220805037015,1117012400,104.0,2.0,텐티북스,,3110076,,119.0,3.615,113456506.2989324
MA0101202309A0026548,1117012900,301.0,154.0,아비삭베이글,,3130058,,17.0,4.6,24667164.06661921
MA0101202406A0326897,1129013300,266.0,94.0,필링커피,,3130118,,0.0,,11723322.5
MA0101202311A0102365,1138010800,33.0,2.0,카페달,,3110468,,0.0,,15878838.669642858
MA010120220806700247,1126010100,496.0,17.0,탐앤탐스사가정역점,,3120068,,32.0,2.955,259860785.59905347
MA0101202411A0081318,1120011200,1192.0,,하삼동금호역점,,3120048,,0.0,5.0,30248666.857142862
MA010120220813699361,1168010400,119.0,8.0,인터내셔널티컴퍼니,,3120208,,0.0,,94421277.97058824
MA010120220803148675,1144012300,399.0,36.0,슬라브,,3110544,,113.0,4.82,43909458.838720925
MA010120220813656456,1156013200,2365.0,,별와플,,3130258,,0.0,,8498492.0
MA010120220809207218,1126010600,312.0,1.0,더그린,,3110271,,0.0,,
MA010120220803098669,1168010400,70.0,11.0,카페글락,,3110990,,0.0,,33081774.21428571
MA0106202201A0153173,1117013000,123.0,33.0,커피빈이태원점,코리아,3120046,,34.0,3.63,9816725.90270631
MA010120220807386355,1162010100,862.0,1.0,자작나무,,3120159,,20.333333333333332,4.058333333333333,60464435.711773604
MA010120220801138917,1162010100,862.0,1.0,브로커피앤쥬스,,3120159,,0.0,4.38,42920834.87557604
MA0106202303A2117369,1117012400,231.0,23.0,돌상cafe돌상카페,,3120044,,0.0,,25513714.192546576
MA010120220808581989,1168010700,645.0,15.0,꼴라보하우스도산,,3110962,,0.0,4.4,
MA010120220808485009,1147010300,98.0,36.0,와다당,,3110597,,0.0,5.0,
MA0101202409A0189004,1111016500,10.0,5.0,타미,,3110028,,9.0,5.0,43365103.509559676
MA010120220811794135,1114011300,18.0,9.0,투썸플레이스,,3120022,,32.945945945945944,3.016216216216216,55814018.91170701
MA0101202310A0036144,1117010200,1.0,62.0,오랑오랑,,3130060,,835.0,4.085,337546543.71973366
MA010120220805156221,1154510300,244.0,50.0,로스티드바이,,3110755,,26.0,4.915,54771103.387715764
MA010120220806610132,1114016200,193.0,2.0,마피아백다방,,3130050,,0.0,,
MA010120220812118389,1114016200,193.0,2.0,별다방,,3130050,,0.0,4.09,
MA010120220805243579,1114016200,193.0,2.0,이트커피,,3130050,,0.0,4.32,
MA010120220807821180,1111017400,436.0,78.0,비바라비다,,3130016,,23.0,4.895,
MA010120220803495685,1114016200,846.0,,카페달콤한오늘,,3130051,,6.0,4.83,50547936.129310355
MA0101202406A0132772,1129011600,2.0,16.0,그라미,성신여대점,3120072,,16.0,5.0,36271823.58894246
MA010120220808569664,1121510400,245.0,8.0,예설스페이스,,3110179,,20.0,4.1,1109805303.9020805
MA010120220809788368,1111016400,228.0,13.0,하나원컴퍼니,,3110026,,0.0,,
MA0101202409A0101727,1129013500,82.0,43.0,봉명동내커피,성북점,3110314,,11.333333333333334,4.533333333333333,154972241.12176692
MA010120220813750887,1165010200,120.0,10.0,할루카연구소,,3110938,,0.0,4.5,99111727.71428572
MA010120220813713548,1114012500,49.0,4.0,아리스타충무로점,,3120030,,42.0,3.675,268765091.76686937
MA010120220813996290,1132010600,675.0,16.0,오살랑마켓,,3110402,,0.0,,
MA0101202409A0232651,1138010700,117.0,16.0,오늘의커피,,3110470,,0.0,4.88,8420106.714285713
MA010120220800440925,1156013200,4346.0,3.0,라온,,3110812,,236.66666666666666,4.391666666666667,450332702.7966699
MA0101202406A0088328,1153010600,51.0,18.0,메가엠지씨커피구로고척,시장점,3130227,,0.0,2.3,22797450.96428571
MA010120220814228547,1153010600,51.0,18.0,한국영파머스클럽,,3130227,,0.0,,22797450.96428571
MA010120220808021896,1111017400,461.0,2.0,차차티클럽,,3120016,,253.0,4.0,28436134.53242107
MA0101202307A0053635,1141011200,34.0,25.0,카페너와,,3130178,,9.0,5.0,559532.9174205409
MA010120220805062732,1171010400,39.0,15.0,리프커피바,,3111013,,1169.0,4.26,211697110.41016474
MA0101202210A0042933,1126010600,666.0,,홍콩다방중랑,구청점,3130113,,29.0,5.0,16245407.857446812
MA0101202308A0043289,1126010600,666.0,,빽다방중랑,구청점,3130113,,31.0,3.89,17146678.75106383
MA010120220802889192,1126010600,666.0,,바리스타폴커피칸타타,,3130113,,0.0,4.4,3176979.8999999994
MA010120220803226363,1126010600,666.0,,커피베이중랑,구청점,3130113,,0.0,4.49,3176979.8999999994
MA0101202411A0036766,1126010600,666.0,,공차중랑,구청점,3130113,,34.0,5.0,18498585.091489363
MA010120220805010295,1165010100,2732.0,41.0,향기나는굴뚝,,3110909,,5.0,5.0,47066422.07142857
MA0101202406A0480611,1130510400,73.0,69.0,커피바102,,3110346,,0.0,,113147382.06122446
MA010120220811971488,1117010200,1.0,502.0,피프틴커피,,3130060,,0.0,,0.0
MA010120220802972446,1130510100,460.0,79.0,카페소소,,3110371,,22.0,4.8,11527460.714285715
MA0101202308A0092339,1123010400,295.0,431.0,구하니커피,,3130099,,0.0,,0.0
MA010120220806928741,1171011200,10.0,3.0,이디야커피오금,중앙점,3111032,,11.0,4.055,17705157.448641766
MA0101202409A0034113,1159010900,708.0,,자몽자몽,신대방점,3120151,,2.0,5.0,44967314.05116796
MA010120220812296005,1159010900,708.0,,매머드익스프레스보라매공원점,,3120151,,12.0,4.0,81695594.68831816
MA010120220808440153,1159010900,708.0,,카페,,3120151,,152.25,4.058333333333334,596809730.6243497
MA0101202406A0342283,1159010900,708.0,,칼도에스프레소바,,3120151,,18.0,4.1,103732563.07060827
MA010120220809806690,1159010900,708.0,,마리크루아상,,3120151,,257.0,4.6,981538470.2984979
MA0101202211A0099165,1159010900,708.0,,그로비,,3120151,,0.0,5.0,37621657.92373791
MA0106202301A1337298,1159010900,708.0,,체크커피,,3120151,,37.0,4.4975000000000005,173516296.2811936
MA010120220806658531,1165010800,1673.0,2.0,투썸플레이스,교대역점,3120173,,32.945945945945944,3.016216216216216,161184998.09685722
MA010120220804546617,1117013000,44.0,23.0,피컨트,,3110082,,28.0,4.859999999999999,166069812.9100991
MA010120220805491881,1120011400,13.0,316.0,소적두,성수점,3130070,,70.0,4.0,86045207.13451083
MA010120220800023103,1111012800,23.0,,수요일,,3120008,,225.0,3.915,439276154.4518294
MA0101202406A0168573,1129012200,1.0,1.0,카페코르안암점,,3110304,,0.0,,0.0
MA010120220806425665,1165010100,327.0,6.0,메종인디아트래블앤북스,,3110916,,0.0,,37382910.514285706
MA010120220814008682,1141011700,715.0,3.0,이알커피연희,,3110510,,0.0,5.0,68232211.28571428
MA010120220814085021,1174010100,110.0,,채one,,3111086,,1.0,4.6899999999999995,52876656.51355661
MA0101202409A0024377,1150010300,1074.0,12.0,컴포즈커피,화곡역점,3120120,,9.941176470588236,3.5500000000000003,151178487.50475782
MA010120220800938547,1154510300,888.0,1.0,석커피숍,,3130235,,0.0,4.25,69444683.0892857
MA0101202301A0103400,1153010700,181.0,5.0,빽다방개봉역,북부점,3110703,,14.0,4.045,126420208.5316268
MA010120220801045304,1168010300,1207.0,11.0,커피더주다,,3110983,,0.0,,59037718.5
MA0101202406A0116985,1162010200,751.0,2.0,오늘의당도,,3110857,,5.0,5.0,
MA010120220804760460,1159010100,232.0,136.0,델링유,,3110832,,0.0,,
MA010120220812276273,1165010100,528.0,15.0,리프레셔스,,3120163,,414.0,4.375,52677503.57216394
MA010120220811805866,1114016200,292.0,84.0,크로플로신당점,,3130049,,7.0,5.0,
MA0101202406A0371539,1165010800,1596.0,6.0,풀떼기,,3120172,,29.0,5.0,131746943.45549093
MA010120220808019542,1117010200,1.0,508.0,타자기,,3130060,,689.0,4.3,278526429.4884988
MA0101202411A0068711,1135010600,503.0,,오즈커피&맥주,,3130155,,2.0,5.0,
MA0101202406A0417205,1135010600,503.0,,지금;여기커피앤비어,,3130155,,0.0,,
MA010120220813913200,1135010600,503.0,,커피_#샵,,3130155,,0.0,4.38,
MA010120220812336066,1144012400,254.0,8.0,렌테,,3110562,,152.0,4.880000000000001,45615137.42697689
MA010120220804546755,1144012400,254.0,8.0,조앤도슨,,3110562,,2353.0,4.49,404447634.551733
MA010120220800336756,1156012200,18.0,16.0,별다방,,3110759,,0.0,4.09,0.0
MA010120220800971924,1165010200,120.0,11.0,커피할루카,,3110938,,0.0,4.62,99111727.71428572
MA0101202209A0088960,1117010200,1.0,53.0,단희,,3130060,,0.0,,0.0
MA010120220813751830,1111010600,91.0,50.0,쎄이썸띵,,3120002,,0.0,,0.0
MA0101202411A0083973,1144010800,548.0,,아이키친,마포점,3110577,,44.0,4.5,74627658.67039694
MA010120220807385540,1159010700,66.0,29.0,레인드랍이수점,,3110851,,10.0,2.5,
MA0101202306A0031713,1165010100,1001.0,29.0,더치앤빈서울고,사거리점,3120168,,27.0,5.0,46909813.99570243
MA010120220804877707,1162010200,1422.0,38.0,메가엠지씨커피신림역,사거리점,3120157,,32.0,3.205,118261614.16589251
MA0101202311A0071823,1174010100,338.0,18.0,팥고당명일명성점,,3111080,,30.0,3.7,255849439.9005495
MA010120220800034347,1111016600,195.0,17.0,카페효제눅,,3120013,,268.0,4.56,52009856.89371673
MA0101202209A0086786,1144012000,474.0,1.0,홈스윗홈,,3110554,,0.0,,18695808.037267074
MA010120220814232627,1135010600,141.0,,설빙상계역점,,3110431,,60.0,4.335,235769781.98010623
MA0106202201A0153123,1141011600,18.0,29.0,커피빈신촌점,코리아,3130175,,146.0,4.45,545720248.7634852
MA010120220810483784,1111015800,2.0,1.0,대복상회,,3130007,,18.0,5.0,42188245.23347107
MA010120220802913004,1141011200,34.0,30.0,명동커피숍,,3130178,,3485.0,4.41,268297976.7257793
MA0101202411A0074790,1159010800,405.0,2.0,할리스신대방삼거리역점,,3120152,,19.0,4.2,61301823.84208658
MA010120220805413720,1120011400,685.0,420.0,인치스,,3110120,,501.0,5.0,16210989.487295313
MA0101202411A0059219,1111010600,109.0,,동감,,3120002,,77.0,4.5,251004456.35036612
MA010120220805498519,1114016200,217.0,102.0,만랩커피동평화패션타운점,,3130048,,0.0,,0.0
MA010120220806908623,1174010700,504.0,1.0,티하우스,,3111054,,3.0,5.0,
MA0101202406A0345615,1114012700,54.0,31.0,코코버블티명동,중앙점,3120028,,82.0,3.25,146919860.84010583
MA0101202411A0008696,1130510100,1339.0,6.0,달리는커피서울삼각산점,,3110354,,34.0,4.5,217683616.26086956
MA010120220808128152,1165010800,1348.0,13.0,카페클라라,,3110935,,7.0,3.9,
