상권_코드,총_유동인구,상권_카페수,상권명,행정동,성공률,상권_면적_m2,인구_밀집도(명/500m2),카페_밀집도(개/500m2),성공률_표시,인구_밀집도_표시,카페_밀집도_표시,최대_월세,최대_보증금,최대_면적,평균_성공확률
3110010,167513.3333333333,8.0,평창동서측,평창동,40.9,369415.0,226.7,0.011,40.9%,226.7명/500m²,0.011개/500m² (총 8개),800.0,900000.0,615.0,0.40874126338219235
3110012,430959.75,8.0,성곡미술관,사직동,57.5,124348.0,1732.9,0.032,57.5%,1732.9명/500m²,0.032개/500m² (총 8개),630.0,235000.0,881.0,0.5750463154953667
3110013,0.0,2.0,체부동홍종문가옥,사직동,65.9,17064.0,0.0,0.059,65.9%,0.0명/500m²,0.059개/500m² (총 2개),250.0,3000.0,111.0,0.6587837290368712
3110014,28368.0,7.0,경복고등학교,청운효자동,57.1,63411.0,223.7,0.055,57.1%,223.7명/500m²,0.055개/500m² (총 7개),650.0,400000.0,312.0,0.5705151710929617
3110015,14872.25,4.0,청와대사랑채,청운효자동,71.3,69399.0,107.2,0.029,71.3%,107.2명/500m²,0.029개/500m² (총 4개),200.0,3000.0,80.0,0.7126722185655046
3110017,110693.5,4.0,정독도서관,가회동,73.2,83855.0,660.0,0.024,73.2%,660.0명/500m²,0.024개/500m² (총 4개),600.0,10000.0,164.0,0.7316104587404105
3110018,298411.23529411765,17.0,중앙고등학교,가회동,57.6,166872.0,894.1,0.051,57.6%,894.1명/500m²,0.051개/500m² (총 17개),500.0,30000.0,217.0,0.5763253736415336
3110019,275955.8666666667,15.0,창덕궁,종로1.2.3.4가동,62.4,40999.0,3365.4,0.183,62.4%,3365.4명/500m²,0.183개/500m² (총 15개),600.0,10000.0,231.0,0.6238484606228704
3110020,1076050.0,10.0,서울국제고등학교,혜화동,60.7,133692.0,4024.4,0.037,60.7%,4024.4명/500m²,0.037개/500m² (총 10개),150.0,80000.0,71.0,0.6073807671692016
3110021,768858.5,14.0,성균관대학교,혜화동,63.0,77655.0,4950.5,0.09,63.0%,4950.5명/500m²,0.09개/500m² (총 14개),500.0,8000.0,133.0,0.6298384861727512
3110022,492915.5,8.0,경신고등학교,혜화동,59.1,60182.0,4095.2,0.066,59.1%,4095.2명/500m²,0.066개/500m² (총 8개),250.0,70000.0,117.0,0.5912421087937497
3110023,773298.0,6.0,서울대병원,이화동,49.0,15969.0,24212.5,0.188,49.0%,24212.5명/500m²,0.188개/500m² (총 6개),720.0,15000.0,190.0,0.49002324653067664
3110024,61454.66666666666,9.0,혜회동주민센터,혜화동,64.6,52850.0,581.4,0.085,64.6%,581.4명/500m²,0.085개/500m² (총 9개),1000.0,20000.0,382.0,0.6459411500544812
3110025,0.0,2.0,충신시장옆,종로5.6가동,54.9,39184.0,0.0,0.026,54.9%,0.0명/500m²,0.026개/500m² (총 2개),130.0,2000.0,27.0,0.5488864216588262
3110027,239762.0909090909,11.0,혜화역 1번,이화동,61.5,117673.0,1018.8,0.047,61.5%,1018.8명/500m²,0.047개/500m² (총 11개),690.0,10000.0,291.0,0.6148044118556315
3110028,932200.4444444444,10.0,이화달팽이길,이화동,52.0,159124.0,2929.2,0.031,52.0%,2929.2명/500m²,0.031개/500m² (총 10개),1600.0,39000.0,350.0,0.5203766736384872
3110029,0.0,7.0,동대문역 1번,창신2동,51.5,153230.0,0.0,0.023,51.5%,0.0명/500m²,0.023개/500m² (총 7개),200.0,180000.0,120.0,0.5153376183394027
3110030,,,,,27.7,,,,27.7%,,,170.0,2000.0,83.0,0.2774807886904513
3110031,0.0,3.0,창신역 1번,창신3동,42.2,32878.0,0.0,0.046,42.2%,0.0명/500m²,0.046개/500m² (총 3개),200.0,3000.0,133.0,0.42187794429159403
3110033,407937.0,2.0,창신역 4번,숭인1동,34.4,77869.0,2619.4,0.013,34.4%,2619.4명/500m²,0.013개/500m² (총 2개),750.0,400000.0,494.0,0.34357256089423516
3110035,516938.0,5.0,동묘앞역 2번,숭인2동,57.8,95779.0,2698.6,0.026,57.8%,2698.6명/500m²,0.026개/500m² (총 5개),300.0,4000.0,126.0,0.5775039453875354
3110036,0.0,3.0,동묘앞역 3번,숭인2동,57.0,18431.0,0.0,0.081,57.0%,0.0명/500m²,0.081개/500m² (총 3개),750.0,8000.0,198.0,0.5703383578738412
3110037,239118.5,5.0,신설동역 12번,숭인2동,48.1,55232.0,2164.7,0.045,48.1%,2164.7명/500m²,0.045개/500m² (총 5개),1215.0,90000.0,291.0,0.4807643480781973
3110038,20295.1,12.0,경향신문사,소공동,64.9,36893.0,275.1,0.163,64.9%,275.1명/500m²,0.163개/500m² (총 12개),450.0,5000.0,115.0,0.6488063286889202
3110041,168063.8888888889,11.0,남산케이블카,명동,50.6,130560.0,643.6,0.042,50.6%,643.6명/500m²,0.042개/500m² (총 11개),800.0,580000.0,364.0,0.5063999434055559
3110042,0.0,5.0,남산골공원옆,필동,63.3,72607.0,0.0,0.034,63.3%,0.0명/500m²,0.034개/500m² (총 5개),600.0,10000.0,165.0,0.6331794846091757
3110043,428013.5,14.0,충무초등학교,장충동,56.0,110058.0,1944.5,0.064,56.0%,1944.5명/500m²,0.064개/500m² (총 14개),650.0,530000.0,275.0,0.5602264250707437
3110045,201033.0,4.0,동대문역사문화공원역 5번,장충동,61.2,44820.0,2242.7,0.045,61.2%,2242.7명/500m²,0.045개/500m² (총 4개),,105000.0,49.0,0.6122106330336283
3110046,,,,,40.4,,,,40.4%,,,110.0,120000.0,124.0,0.4044902453228032
3110047,0.0,4.0,다산성곽길,다산동,43.7,85386.0,0.0,0.023,43.7%,0.0명/500m²,0.023개/500m² (총 4개),180.0,3000.0,91.0,0.4369776511689044
3110048,615045.0,5.0,장충동주민센터,다산동,47.4,135606.0,2267.8,0.018,47.4%,2267.8명/500m²,0.018개/500m² (총 5개),1400.0,20000.0,494.0,0.47410862768989237
3110049,408560.5384615384,13.0,장충단 고개,다산동,55.7,70693.0,2889.7,0.092,55.7%,2889.7명/500m²,0.092개/500m² (총 13개),700.0,75000.0,167.0,0.557413994368879
3110051,465908.5,2.0,한양공고앞 교차로,신당동,54.0,44893.0,5189.1,0.022,54.0%,5189.1명/500m²,0.022개/500m² (총 2개),120.0,600.0,20.0,0.5397669552936992
3110052,611347.0,1.0,장충초등학교,다산동,51.4,68893.0,4436.9,0.007,51.4%,4436.9명/500m²,0.007개/500m² (총 1개),820.0,15000.0,183.0,0.5143117747963737
3110053,0.0,3.0,청구역 1번,신당동,53.1,85550.0,0.0,0.018,53.1%,0.0명/500m²,0.018개/500m² (총 3개),280.0,126000.0,86.0,0.5308106966130667
3110054,792450.8333333333,6.0,청구역 3번,청구동,55.1,69155.0,5729.5,0.043,55.1%,5729.5명/500m²,0.043개/500m² (총 6개),1000.0,20000.0,245.0,0.5511268661021032
3110055,0.0,2.0,황학동벼룩시장,황학동,41.7,27575.0,0.0,0.036,41.7%,0.0명/500m²,0.036개/500m² (총 2개),770.0,10000.0,232.0,0.4171052506610887
3110056,843107.7777777778,9.0,신당역 3번,신당5동,51.7,129607.0,3252.6,0.035,51.7%,3252.6명/500m²,0.035개/500m² (총 9개),550.0,195000.0,337.0,0.5167601512962389
3110057,414094.5,4.0,황학코아루아파트,황학동,52.4,30230.0,6849.1,0.066,52.4%,6849.1명/500m²,0.066개/500m² (총 4개),3000.0,620000.0,1871.0,0.524317492022281
3110058,1588739.0,9.0,성심여자고등학교,원효로2동,50.6,135620.0,5857.3,0.033,50.6%,5857.3명/500m²,0.033개/500m² (총 9개),1000.0,80000.0,297.0,0.5058197216123702
3110059,628671.0,3.0,새남터성지,이촌2동,49.3,56970.0,5517.6,0.026,49.3%,5517.6명/500m²,0.026개/500m² (총 3개),180.0,170000.0,137.0,0.4930139242146043
3110060,686105.0,8.0,효창공원앞역 6번,용문동,55.3,94719.0,3621.8,0.042,55.3%,3621.8명/500m²,0.042개/500m² (총 8개),350.0,390000.0,307.0,0.5528758520755919
3110061,814070.6666666665,7.0,효창동주민센터,효창동,35.2,100249.0,4060.2,0.035,35.2%,4060.2명/500m²,0.035개/500m² (총 7개),320.0,5000.0,188.0,0.3522334541223811
3110062,625332.2580645161,31.0,한강로동땡땡거리(은행나무길),한강로동,52.7,132684.0,2356.5,0.117,52.7%,2356.5명/500m²,0.117개/500m² (총 31개),1200.0,650000.0,347.0,0.5274255066022199
3110063,568341.75,8.0,효창공원앞역 5번,원효로1동,60.6,110329.0,2575.7,0.036,60.6%,2575.7명/500m²,0.036개/500m² (총 8개),550.0,76000.0,203.0,0.6061944391651447
3110064,1384197.0,10.0,효창공원앞역 2번,효창동,47.6,131550.0,5261.1,0.038,47.6%,5261.1명/500m²,0.038개/500m² (총 10개),500.0,270000.0,197.0,0.47611671627126817
3110065,0.0,1.0,남정초등학교,원효로1동,62.0,18065.0,0.0,0.028,62.0%,0.0명/500m²,0.028개/500m² (총 1개),,520000.0,144.0,0.6196419633549829
3110066,1304493.333333333,12.0,서울역 15번,청파동,57.9,133737.0,4877.1,0.045,57.9%,4877.1명/500m²,0.045개/500m² (총 12개),1500.0,270000.0,684.0,0.5790609545848806
3110067,1681707.125,8.0,배문고등학교,청파동,59.1,204936.0,4103.0,0.02,59.1%,4103.0명/500m²,0.02개/500m² (총 8개),400.0,70000.0,145.0,0.5911180451088838
3110068,1168547.3333333333,18.0,남영역 1번,원효로1동,53.9,145312.0,4020.8,0.062,53.9%,4020.8명/500m²,0.062개/500m² (총 18개),1200.0,199900.0,277.0,0.5388473553198763
3110069,2350877.6,46.0,숙대입구,청파동,53.8,173542.0,6773.2,0.133,53.8%,6773.2명/500m²,0.133개/500m² (총 46개),800.0,350000.0,289.0,0.5375120276308349
3110070,0.0,1.0,용산세무서,한강로동,52.9,8437.0,0.0,0.059,52.9%,0.0명/500m²,0.059개/500m² (총 1개),500.0,6000.0,127.0,0.5286865708118303
3110071,0.0,1.0,한강미주맨션아파트,이촌1동,55.2,27783.0,0.0,0.018,55.2%,0.0명/500m²,0.018개/500m² (총 1개),,480000.0,78.0,0.5520421049763045
3110072,0.0,7.0,열정도,원효로1동,63.5,18090.0,0.0,0.193,63.5%,0.0명/500m²,0.193개/500m² (총 7개),170.0,3000.0,24.0,0.6350147635337129
3110073,0.0,9.0,삼각지역 3번,한강로동,59.0,41421.0,0.0,0.109,59.0%,0.0명/500m²,0.109개/500m² (총 9개),1100.0,380000.0,176.0,0.5898794138461587
3110074,423473.3333333334,16.0,서울역 12번,남영동,51.3,105922.0,1999.0,0.076,51.3%,1999.0명/500m²,0.076개/500m² (총 16개),400.0,5000.0,99.0,0.5132142554519488
3110075,702954.1538461539,14.0,숙대입구역 1번,남영동,52.8,128905.0,2726.6,0.054,52.8%,2726.6명/500m²,0.054개/500m² (총 14개),650.0,1050000.0,783.0,0.5284814000628758
3110077,452784.0,5.0,삼광초등학교,후암동,61.3,45797.0,4943.4,0.055,61.3%,4943.4명/500m²,0.055개/500m² (총 5개),350.0,5000.0,144.0,0.6128971484361395
3110078,0.0,2.0,이촌동점보아파트,이촌1동,54.7,14864.0,0.0,0.067,54.7%,0.0명/500m²,0.067개/500m² (총 2개),500.0,95000.0,127.0,0.5468197939033167
3110079,1584158.7333333332,31.0,후암동주민센터,후암동,49.5,293041.0,2703.0,0.053,49.5%,2703.0명/500m²,0.053개/500m² (총 31개),500.0,220000.0,170.0,0.4950385926931811
3110080,1679304.9999999998,14.0,해방촌예술마을,용산2가동,53.3,134562.0,6239.9,0.052,53.3%,6239.9명/500m²,0.052개/500m² (총 14개),500.0,125000.0,125.0,0.5331854775385271
3110081,1470576.7741935484,31.0,해방촌 남동측,용산2가동,56.5,105010.0,7002.1,0.148,56.5%,7002.1명/500m²,0.148개/500m² (총 31개),1980.0,850000.0,689.0,0.5648931662209228
3110083,80500.0,4.0,서빙고역 1번,서빙고동,60.0,58652.0,686.3,0.034,60.0%,686.3명/500m²,0.034개/500m² (총 4개),250.0,3000.0,40.0,0.5995851175196947
3110084,834473.3333333335,18.0,경리단길북측,이태원2동,50.2,225725.0,1848.4,0.04,50.2%,1848.4명/500m²,0.04개/500m² (총 18개),5000.0,1050000.0,721.0,0.5016535765793708
3110085,1124173.0,24.0,경리단길남측,이태원2동,50.4,181830.0,3091.3,0.066,50.4%,3091.3명/500m²,0.066개/500m² (총 24개),800.0,220000.0,191.0,0.5042129907278003
3110086,0.0,2.0,이태원역 북측,이태원2동,63.9,133757.0,0.0,0.007,63.9%,0.0명/500m²,0.007개/500m² (총 2개),700.0,10000.0,299.0,0.6393165103503555
3110087,200711.0,6.0,이태원엔틱가구거리,이태원1동,52.4,52542.0,1910.0,0.057,52.4%,1910.0명/500m²,0.057개/500m² (총 6개),3000.0,2000.0,325.0,0.523577618765278
3110088,0.0,4.0,오산고등학교,서빙고동,54.0,96560.0,0.0,0.021,54.0%,0.0명/500m²,0.021개/500m² (총 4개),180.0,3000.0,80.0,0.5404932358824153
3110089,0.0,4.0,서빙고동주민센터,서빙고동,55.6,105979.0,0.0,0.019,55.6%,0.0명/500m²,0.019개/500m² (총 4개),250.0,5000.0,182.0,0.5555782540457325
3110091,247911.0,6.0,리움미술관,한남동,62.4,55141.0,2248.0,0.054,62.4%,2248.0명/500m²,0.054개/500m² (총 6개),7220.0,86640.0,631.0,0.6242757266402612
3110093,1416642.1111111112,19.0,우사단길,한남동,48.4,234768.0,3017.1,0.04,48.4%,3017.1명/500m²,0.04개/500m² (총 19개),700.0,1600000.0,466.0,0.48432931020617326
3110094,52585.0,1.0,오산중학교,보광동,45.3,21603.0,1217.1,0.023,45.3%,1217.1명/500m²,0.023개/500m² (총 1개),160.0,2000.0,122.0,0.4533096243610597
3110095,361980.63157894736,21.0,한강진역 3번,한남동,51.8,149192.0,1213.1,0.07,51.8%,1213.1명/500m²,0.07개/500m² (총 21개),1860.0,50000.0,497.0,0.5177340765982658
3110096,237589.00000000003,7.0,한남힐사이드아파트,한남동,51.6,50068.0,2372.7,0.07,51.6%,2372.7명/500m²,0.07개/500m² (총 7개),4800.0,230000.0,574.0,0.516154833781055
3110097,,,,,46.3,,,,46.3%,,,360.0,5000.0,112.0,0.46256928034045397
3110098,95242.0,5.0,서울독일학교,한남동,52.5,41414.0,1149.9,0.06,52.5%,1149.9명/500m²,0.06개/500m² (총 5개),3000.0,100000.0,556.0,0.5246166366292979
3110099,0.0,2.0,유엔빌리지길,한남동,40.5,263187.0,0.0,0.004,40.5%,0.0명/500m²,0.004개/500m² (총 2개),5000.0,370000.0,929.0,0.40521690145319844
3110100,,,,,23.6,,,,23.6%,,,210.0,3000.0,62.0,0.2357624109277067
3110101,124307.33333333331,3.0,옥정중학교,옥수동,59.6,23818.0,2609.5,0.063,59.6%,2609.5명/500m²,0.063개/500m² (총 3개),500.0,5000.0,133.0,0.5962844818428553
3110102,233876.4,11.0,옥수역 6번,옥수동,53.7,34682.0,3371.7,0.159,53.7%,3371.7명/500m²,0.159개/500m² (총 11개),700.0,221400.0,140.0,0.5368857940966167
3110103,0.0,1.0,옥수터널,옥수동,28.8,19057.0,0.0,0.026,28.8%,0.0명/500m²,0.026개/500m² (총 1개),180.0,3000.0,76.0,0.2877223527192371
3110104,468466.0,2.0,신금호역 4번,금호2.3가동,54.3,66838.0,3504.5,0.015,54.3%,3504.5명/500m²,0.015개/500m² (총 2개),1800.0,30000.0,344.0,0.542903606075753
3110105,384107.00000000006,6.0,금동어린이공원,금호2.3가동,45.6,69009.0,2783.0,0.043,45.6%,2783.0명/500m²,0.043개/500m² (총 6개),280.0,5000.0,142.0,0.45645679681935436
3110106,0.0,2.0,금북초등학교,금호1가동,60.8,21366.0,0.0,0.047,60.8%,0.0명/500m²,0.047개/500m² (총 2개),300.0,3000.0,213.0,0.6076119098928768
3110107,16059.75,5.0,금호사거리,금호4가동,39.8,22191.0,361.9,0.113,39.8%,361.9명/500m²,0.113개/500m² (총 5개),780.0,10000.0,336.0,0.3981745824470903
3110109,187108.5,7.0,금호삼성래미안아파트,금호1가동,40.5,29788.0,3140.7,0.117,40.5%,3140.7명/500m²,0.117개/500m² (총 7개),2000.0,130000.0,530.0,0.40524166659368865
3110110,532104.0,4.0,상왕십리역 6번,왕십리2동,44.6,51942.0,5122.1,0.039,44.6%,5122.1명/500m²,0.039개/500m² (총 4개),250.0,170000.0,266.0,0.44567523411728166
3110112,720076.0,5.0,행당역 2번,행당1동,58.9,68591.0,5249.1,0.036,58.9%,5249.1명/500m²,0.036개/500m² (총 5개),320.0,5000.0,264.0,0.5894702883166346
3110113,0.0,1.0,응봉산,응봉동,27.3,89115.0,0.0,0.006,27.3%,0.0명/500m²,0.006개/500m² (총 1개),250.0,5000.0,70.0,0.2725654582457045
3110114,0.0,2.0,왕십리파출소,왕십리도선동,36.8,27058.0,0.0,0.037,36.8%,0.0명/500m²,0.037개/500m² (총 2개),300.0,400000.0,852.0,0.36838747231312674
3110115,510829.4545454546,12.0,상왕십리역 3번,왕십리도선동,53.4,80878.0,3158.0,0.074,53.4%,3158.0명/500m²,0.074개/500m² (총 12개),600.0,35000.0,261.0,0.5343719599826098
3110116,0.0,2.0,청계천박물관,마장동,53.9,98083.0,0.0,0.01,53.9%,0.0명/500m²,0.01개/500m² (총 2개),160.0,2000.0,140.0,0.5390328984968259
3110117,0.0,1.0,성동구보건소,마장동,38.0,49735.0,0.0,0.01,38.0%,0.0명/500m²,0.01개/500m² (총 1개),200.0,3000.0,115.0,0.3795522733186587
3110118,1548499.0,4.0,왕십리역 9번,행당1동,57.1,63575.0,12178.5,0.031,57.1%,12178.5명/500m²,0.031개/500m² (총 4개),450.0,5000.0,253.0,0.570578187377843
3110119,0.0,1.0,마장지하차도,마장동,42.3,22524.0,0.0,0.022,42.3%,0.0명/500m²,0.022개/500m² (총 1개),350.0,870000.0,982.0,0.4226778189242699
3110120,233370.54545454547,23.0,서울숲카페거리,성수1가2동,60.1,34852.0,3348.0,0.33,60.1%,3348.0명/500m²,0.33개/500m² (총 23개),2400.0,30000.0,265.0,0.6008618519822814
3110121,50091.25,4.0,한양대역 4번,사근동,43.4,29267.0,855.8,0.068,43.4%,855.8명/500m²,0.068개/500m² (총 4개),1500.0,20000.0,736.0,0.4341559517452849
3110122,147478.2,5.0,마장역 2번,마장동,39.6,80335.0,917.9,0.031,39.6%,917.9명/500m²,0.031개/500m² (총 5개),520.0,7000.0,178.0,0.3959238943363832
3110123,0.0,3.0,마장역 3번,마장동,44.2,169553.0,0.0,0.009,44.2%,0.0명/500m²,0.009개/500m² (총 3개),550.0,20000.0,231.0,0.44153219942779526
3110124,150941.875,10.0,뚝섬역교차로,성수1가2동,58.8,79596.0,948.2,0.063,58.8%,948.2명/500m²,0.063개/500m² (총 10개),25000.0,300000.0,2639.0,0.5881828752463357
3110125,689383.5454545455,11.0,사근동살곶이상점가,사근동,63.2,128923.0,2673.6,0.043,63.2%,2673.6명/500m²,0.043개/500m² (총 11개),235.0,3000.0,79.0,0.6322295409542186
3110126,238751.3333333333,10.0,서울숲역 1번,성수1가1동,61.4,18531.0,6441.9,0.27,61.4%,6441.9명/500m²,0.27개/500m² (총 10개),4500.0,60000.0,692.0,0.6135795595507271
3110127,110746.0,7.0,성수1가1동주민센터,성수1가1동,61.9,38774.0,1428.1,0.09,61.9%,1428.1명/500m²,0.09개/500m² (총 7개),1200.0,12000.0,416.0,0.6187798758684958
3110128,513663.9375,16.0,성원중학교,성수1가1동,52.5,247340.0,1038.4,0.032,52.5%,1038.4명/500m²,0.032개/500m² (총 16개),2000.0,30000.0,565.0,0.5247465807344777
3110129,97461.0,17.0,성원어린이공원,성수1가2동,57.2,70693.0,689.3,0.12,57.2%,689.3명/500m²,0.12개/500m² (총 17개),830.0,146100.0,208.0,0.5715197803688813
3110130,0.0,1.0,답십리역 6번,용답동,42.0,43065.0,0.0,0.012,42.0%,0.0명/500m²,0.012개/500m² (총 1개),130.0,2000.0,84.0,0.42029523547425895
3110131,809186.9230769232,28.0,성수동카페거리,성수2가1동,59.5,131865.0,3068.2,0.106,59.5%,3068.2명/500m²,0.106개/500m² (총 28개),27000.0,300000.0,1223.0,0.5949379646203738
3110132,337441.80000000005,10.0,성수2가3동주민센터,성수2가3동,56.4,76450.0,2206.9,0.065,56.4%,2206.9명/500m²,0.065개/500m² (총 10개),2800.0,40000.0,716.0,0.5644936573403658
3110133,197307.5,2.0,서울교통공사,용답동,44.2,80187.0,1230.3,0.012,44.2%,1230.3명/500m²,0.012개/500m² (총 2개),210.0,2000.0,87.0,0.4423616957268976
3110134,664857.375,16.0,성수119안전센터,성수2가1동,51.8,222826.0,1491.9,0.036,51.8%,1491.9명/500m²,0.036개/500m² (총 16개),900.0,10000.0,394.0,0.5184804910888163
3110135,52896.0,7.0,성동세무서,송정동,54.2,136762.0,193.4,0.026,54.2%,193.4명/500m²,0.026개/500m² (총 7개),340.0,5000.0,200.0,0.541698746336409
3110136,618268.7499999999,28.0,경수초등학교,성수2가1동,59.7,260628.0,1186.1,0.054,59.7%,1186.1명/500m²,0.054개/500m² (총 28개),15000.0,2120000.0,2852.0,0.5967326441992359
3110137,975102.818181818,33.0,성수초등학교,성수2가3동,60.7,330983.0,1473.0,0.05,60.7%,1473.0명/500m²,0.05개/500m² (총 33개),6000.0,110000.0,1153.0,0.6074822388230833
3110138,191291.83333333337,7.0,송정체육공원,송정동,55.4,102074.0,937.0,0.034,55.4%,937.0명/500m²,0.034개/500m² (총 7개),480.0,221500.0,175.0,0.5539997371202225
3110139,0.0,18.0,자양4동주민센터,자양4동,47.6,155861.0,0.0,0.058,47.6%,0.0명/500m²,0.058개/500m² (총 18개),400.0,9000.0,255.0,0.4761706725460247
3110140,1972958.823529412,17.0,건대입구역 6번,자양4동,58.9,179746.0,5488.2,0.047,58.9%,5488.2명/500m²,0.047개/500m² (총 17개),1000.0,180000.0,488.0,0.5894794034443872
3110141,1845461.0,9.0,건대입구역 1번,화양동,60.5,67458.0,13678.6,0.067,60.5%,13678.6명/500m²,0.067개/500m² (총 9개),1090.0,20000.0,469.0,0.6051841718354848
3110142,1921263.0,17.0,화양사거리,화양동,58.4,116892.0,8218.1,0.073,58.4%,8218.1명/500m²,0.073개/500m² (총 17개),600000.0,20000.0,429.0,0.5836152693104565
3110143,0.0,2.0,뚝섬유원지역 1번,자양3동,35.3,8061.0,0.0,0.124,35.3%,0.0명/500m²,0.124개/500m² (총 2개),200.0,3000.0,27.0,0.3529705581757714
3110144,301993.22222222225,9.0,어린이대공원역 4번,화양동,65.6,42830.0,3525.5,0.105,65.6%,3525.5명/500m²,0.105개/500m² (총 9개),300.0,5000.0,192.0,0.6559133856506756
3110145,229040.25,4.0,장안초등학교,군자동,64.3,14956.0,7657.1,0.134,64.3%,7657.1명/500m²,0.134개/500m² (총 4개),97.0,1000.0,39.0,0.6432433273526406
3110146,1386514.0,9.0,신자초등학교,자양3동,49.1,106885.0,6486.0,0.042,49.1%,6486.0명/500m²,0.042개/500m² (총 9개),350.0,120000.0,321.0,0.49060443482078747
3110147,931189.0,7.0,능동우편취급국,군자동,48.5,157029.0,2965.0,0.022,48.5%,2965.0명/500m²,0.022개/500m² (총 7개),550.0,35000.0,264.0,0.4845935632224548
3110148,778053.0,9.0,어린이대공원역 3번,화양동,58.5,45757.0,8502.0,0.098,58.5%,8502.0명/500m²,0.098개/500m² (총 9개),260.0,5000.0,148.0,0.5847323822772766
3110149,0.0,3.0,세종대학교,군자동,39.6,45957.0,0.0,0.033,39.6%,0.0명/500m²,0.033개/500m² (총 3개),370.0,10000.0,125.0,0.3964684769087636
3110150,1756661.0,10.0,중곡1동 마을마당,중곡1동,58.0,159510.0,5506.4,0.031,58.0%,5506.4명/500m²,0.031개/500m² (총 10개),170.0,2000.0,149.0,0.580036720792567
3110151,1349794.0,10.0,자양한강도서관,자양2동,48.8,107574.0,6273.8,0.046,48.8%,6273.8명/500m²,0.046개/500m² (총 10개),550.0,10000.0,221.0,0.4875734122074744
3110152,217454.0,2.0,중곡어린이공원,중곡1동,59.4,50806.0,2140.0,0.02,59.4%,2140.0명/500m²,0.02개/500m² (총 2개),150.0,3000.0,85.0,0.5942405344909657
3110153,,,,,45.3,,,,45.3%,,,140.0,2000.0,50.0,0.4526138990643438
3110154,1725742.0,9.0,광진정말공원,자양1동,51.5,102102.0,8451.1,0.044,51.5%,8451.1명/500m²,0.044개/500m² (총 9개),700.0,12000.0,176.0,0.5147114849032145
3110155,1034700.0,7.0,광진구청,자양1동,49.8,97314.0,5316.3,0.036,49.8%,5316.3명/500m²,0.036개/500m² (총 7개),1800.0,20000.0,730.0,0.4976153230227127
3110156,938656.0,8.0,군자역 5번,능동,62.0,153696.0,3053.6,0.026,62.0%,3053.6명/500m²,0.026개/500m² (총 8개),700.0,10000.0,132.0,0.6203498825803158
3110157,1398949.0,11.0,자양동우체국,자양2동,52.8,115158.0,6074.0,0.048,52.8%,6074.0명/500m²,0.048개/500m² (총 11개),650.0,10000.0,226.0,0.5283066492350041
3110158,3090011.0,6.0,중곡3동주민센터,중곡3동,44.6,166799.0,9262.7,0.018,44.6%,9262.7명/500m²,0.018개/500m² (총 6개),270.0,45000.0,198.0,0.4463751464242683
3110159,3558945.999999999,14.0,구의역 4번,자양1동,51.1,210895.0,8437.7,0.033,51.1%,8437.7명/500m²,0.033개/500m² (총 14개),1240.0,30000.0,327.0,0.5113205373538491
3110160,0.0,4.0,광진경찰서,구의1동,55.2,47848.0,0.0,0.042,55.2%,0.0명/500m²,0.042개/500m² (총 4개),500.0,5000.0,148.0,0.5521318402953982
