상권_코드,총_유동인구,상권_카페수,상권명,행정동,성공률,상권_면적_m2,인구_밀집도(명/500m2),카페_밀집도(개/500m2),성공률_표시,인구_밀집도_표시,카페_밀집도_표시,최대_월세,최대_보증금,최대_면적,최대_성공확률
3110039,0.0,2,회현역 1번,회현동,29.0,9928.0,0.0,0.101,29.0%,0.0명/500m²,0.101개/500m² (총 2개),,,,
3110040,103810.66666666667,3,중구회현체육센터(정화예술대남산캠퍼스),회현동,0.0,76242.0,680.8,0.02,0.0%,680.8명/500m²,0.02개/500m² (총 3개),,,,
3110041,168063.8888888889,11,남산케이블카,명동,36.4,130560.0,643.6,0.042,36.4%,643.6명/500m²,0.042개/500m² (총 11개),800.0,580000.0,364.0,0.6684891590806533
3110042,0.0,5,남산골공원옆,필동,29.0,72607.0,0.0,0.034,29.0%,0.0명/500m²,0.034개/500m² (총 5개),600.0,10000.0,165.0,0.6711357137005509
3110043,428013.5,14,충무초등학교,장충동,12.5,110058.0,1944.5,0.064,12.5%,1944.5명/500m²,0.064개/500m² (총 14개),650.0,60000.0,195.0,0.7084190872128852
3110045,201033.0,4,동대문역사문화공원역 5번,장충동,50.0,44820.0,2242.7,0.045,50.0%,2242.7명/500m²,0.045개/500m² (총 4개),,105000.0,49.0,0.6122106330336283
3110047,0.0,4,다산성곽길,다산동,29.0,85386.0,0.0,0.023,29.0%,0.0명/500m²,0.023개/500m² (총 4개),180.0,3000.0,91.0,0.4369776511689044
3110048,615045.0,5,장충동주민센터,다산동,80.0,135606.0,2267.8,0.018,80.0%,2267.8명/500m²,0.018개/500m² (총 5개),1400.0,20000.0,494.0,0.5433794168968796
3110049,408560.53846153844,13,장충단 고개,다산동,23.1,70693.0,2889.7,0.092,23.1%,2889.7명/500m²,0.092개/500m² (총 13개),700.0,75000.0,167.0,0.6645743452503464
3110050,0.0,1,약수역 7번,약수동,29.0,34553.0,0.0,0.014,29.0%,0.0명/500m²,0.014개/500m² (총 1개),,,,
3110051,465908.5,2,한양공고앞 교차로,신당동,0.0,44893.0,5189.1,0.022,0.0%,5189.1명/500m²,0.022개/500m² (총 2개),120.0,600.0,20.0,0.5444950512262633
3110052,611347.0,1,장충초등학교,다산동,0.0,68893.0,4436.9,0.007,0.0%,4436.9명/500m²,0.007개/500m² (총 1개),820.0,15000.0,183.0,0.6525158016928565
3110053,0.0,3,청구역 1번,신당동,29.0,85550.0,0.0,0.018,29.0%,0.0명/500m²,0.018개/500m² (총 3개),280.0,126000.0,86.0,0.6305768288464667
3110054,792450.8333333333,6,청구역 3번,청구동,50.0,69155.0,5729.5,0.043,50.0%,5729.5명/500m²,0.043개/500m² (총 6개),1000.0,20000.0,245.0,0.656967673004853
3110055,0.0,2,황학동벼룩시장,황학동,29.0,27575.0,0.0,0.036,29.0%,0.0명/500m²,0.036개/500m² (총 2개),770.0,10000.0,232.0,0.5004634230307103
3110056,843107.7777777778,9,신당역 3번,신당5동,33.3,129607.0,3252.6,0.035,33.3%,3252.6명/500m²,0.035개/500m² (총 9개),550.0,195000.0,337.0,0.6620298868095537
3110057,414094.5,4,황학코아루아파트,황학동,25.0,30230.0,6849.1,0.066,25.0%,6849.1명/500m²,0.066개/500m² (총 4개),500.0,620000.0,1871.0,0.5274673307464558
3110058,1588739.0,9,성심여자고등학교,원효로2동,22.2,135620.0,5857.3,0.033,22.2%,5857.3명/500m²,0.033개/500m² (총 9개),1000.0,80000.0,297.0,0.6501827414412982
3110059,628671.0,3,새남터성지,이촌2동,33.3,56970.0,5517.6,0.026,33.3%,5517.6명/500m²,0.026개/500m² (총 3개),180.0,170000.0,137.0,0.7098690499417946
3110060,686105.0,8,효창공원앞역 6번,용문동,62.5,94719.0,3621.8,0.042,62.5%,3621.8명/500m²,0.042개/500m² (총 8개),350.0,390000.0,307.0,0.6690781277497877
3110061,814070.6666666665,7,효창동주민센터,효창동,20.0,100249.0,4060.2,0.035,20.0%,4060.2명/500m²,0.035개/500m² (총 7개),320.0,5000.0,188.0,0.6612002216169232
3110062,625332.2580645161,31,한강로동땡땡거리(은행나무길),한강로동,39.3,132684.0,2356.5,0.117,39.3%,2356.5명/500m²,0.117개/500m² (총 31개),1200.0,650000.0,347.0,0.6991468756754384
3110063,568341.75,8,효창공원앞역 5번,원효로1동,42.9,110329.0,2575.7,0.036,42.9%,2575.7명/500m²,0.036개/500m² (총 8개),550.0,76000.0,203.0,0.7095974192088176
3110064,1384197.0,10,효창공원앞역 2번,효창동,30.0,131550.0,5261.1,0.038,30.0%,5261.1명/500m²,0.038개/500m² (총 10개),500.0,270000.0,197.0,0.6238200847433613
3110065,0.0,1,남정초등학교,원효로1동,29.0,18065.0,0.0,0.028,29.0%,0.0명/500m²,0.028개/500m² (총 1개),,520000.0,144.0,0.639500896803742
3110066,1304493.333333333,12,서울역 15번,청파동,41.7,133737.0,4877.1,0.045,41.7%,4877.1명/500m²,0.045개/500m² (총 12개),1500.0,270000.0,684.0,0.6973106416505764
3110067,1681707.125,8,배문고등학교,청파동,37.5,204936.0,4103.0,0.02,37.5%,4103.0명/500m²,0.02개/500m² (총 8개),400.0,70000.0,145.0,0.6936582755660449
3110068,1168547.3333333333,18,남영역 1번,원효로1동,46.7,145312.0,4020.8,0.062,46.7%,4020.8명/500m²,0.062개/500m² (총 18개),1200.0,199900.0,277.0,0.6928716393792858
3110069,2350877.6,46,숙대입구,청파동,37.8,173542.0,6773.2,0.133,37.8%,6773.2명/500m²,0.133개/500m² (총 46개),800.0,350000.0,289.0,0.7032844833641717
3110070,0.0,1,용산세무서,한강로동,29.0,8437.0,0.0,0.059,29.0%,0.0명/500m²,0.059개/500m² (총 1개),500.0,6000.0,127.0,0.6093734440628114
3110071,0.0,1,한강미주맨션아파트,이촌1동,29.0,27783.0,0.0,0.018,29.0%,0.0명/500m²,0.018개/500m² (총 1개),,480000.0,78.0,0.7219097486837808
3110072,0.0,7,열정도,원효로1동,29.0,18090.0,0.0,0.193,29.0%,0.0명/500m²,0.193개/500m² (총 7개),170.0,3000.0,24.0,0.6350147635337129
3110073,0.0,9,삼각지역 3번,한강로동,29.0,41421.0,0.0,0.109,29.0%,0.0명/500m²,0.109개/500m² (총 9개),1100.0,380000.0,176.0,0.6771929198295858
3110074,423473.3333333334,16,서울역 12번,남영동,31.2,105922.0,1999.0,0.076,31.2%,1999.0명/500m²,0.076개/500m² (총 16개),400.0,5000.0,99.0,0.6476170340115245
3110075,702954.1538461539,14,숙대입구역 1번,남영동,42.9,128905.0,2726.6,0.054,42.9%,2726.6명/500m²,0.054개/500m² (총 14개),650.0,1050000.0,783.0,0.6983805785412296
3110076,52600.66666666666,3,삼각지역 14번,한강로동,0.0,8989.0,2925.8,0.167,0.0%,2925.8명/500m²,0.167개/500m² (총 3개),,,,
3110077,452784.0,5,삼광초등학교,후암동,75.0,45797.0,4943.4,0.055,75.0%,4943.4명/500m²,0.055개/500m² (총 5개),350.0,5000.0,144.0,0.6598256202173292
3110078,0.0,2,이촌동점보아파트,이촌1동,29.0,14864.0,0.0,0.067,29.0%,0.0명/500m²,0.067개/500m² (총 2개),500.0,95000.0,127.0,0.5565127532793449
3110079,1584158.7333333332,31,후암동주민센터,후암동,35.7,293041.0,2703.0,0.053,35.7%,2703.0명/500m²,0.053개/500m² (총 31개),500.0,220000.0,170.0,0.6511898566900353
3110080,1679304.9999999998,14,해방촌예술마을,용산2가동,50.0,134562.0,6239.9,0.052,50.0%,6239.9명/500m²,0.052개/500m² (총 14개),500.0,125000.0,125.0,0.7080226641068335
3110081,1470576.7741935484,31,해방촌 남동측,용산2가동,30.0,105010.0,7002.1,0.148,30.0%,7002.1명/500m²,0.148개/500m² (총 31개),1980.0,850000.0,689.0,0.6695306756122146
3110082,308464.0,20,용산구청,이태원1동,45.0,71140.0,2168.0,0.141,45.0%,2168.0명/500m²,0.141개/500m² (총 20개),,,,
3110083,80500.0,4,서빙고역 1번,서빙고동,50.0,58652.0,686.3,0.034,50.0%,686.3명/500m²,0.034개/500m² (총 4개),250.0,3000.0,40.0,0.5995851175196947
3110084,834473.3333333335,18,경리단길북측,이태원2동,26.7,225725.0,1848.4,0.04,26.7%,1848.4명/500m²,0.04개/500m² (총 18개),5000.0,1050000.0,721.0,0.6405086817008558
3110085,1124173.0,24,경리단길남측,이태원2동,21.7,181830.0,3091.3,0.066,21.7%,3091.3명/500m²,0.066개/500m² (총 24개),2800.0,220000.0,721.0,0.7139467590679625
3110086,0.0,2,이태원역 북측,이태원2동,29.0,133757.0,0.0,0.007,29.0%,0.0명/500m²,0.007개/500m² (총 2개),700.0,10000.0,299.0,0.721043266609805
3110087,200711.0,6,이태원엔틱가구거리,이태원1동,50.0,52542.0,1910.0,0.057,50.0%,1910.0명/500m²,0.057개/500m² (총 6개),3000.0,2000.0,325.0,0.6963849390063127
3110088,0.0,4,오산고등학교,서빙고동,29.0,96560.0,0.0,0.021,29.0%,0.0명/500m²,0.021개/500m² (총 4개),180.0,3000.0,80.0,0.5799976440167108
3110089,0.0,4,서빙고동주민센터,서빙고동,29.0,105979.0,0.0,0.019,29.0%,0.0명/500m²,0.019개/500m² (총 4개),250.0,5000.0,182.0,0.6386558083955237
3110090,607255.0,3,한국폴리텍대학서울정수캠퍼스,보광동,0.0,97059.0,3128.3,0.015,0.0%,3128.3명/500m²,0.015개/500m² (총 3개),,,,
3110091,247911.0,6,리움미술관,한남동,60.0,55141.0,2248.0,0.054,60.0%,2248.0명/500m²,0.054개/500m² (총 6개),7220.0,86640.0,631.0,0.7214445796695803
3110092,0.0,1,NH농협은행 보광동지점,보광동,29.0,105153.0,0.0,0.005,29.0%,0.0명/500m²,0.005개/500m² (총 1개),,,,
3110093,1416642.1111111112,19,우사단길,한남동,12.5,234768.0,3017.1,0.04,12.5%,3017.1명/500m²,0.04개/500m² (총 19개),700.0,1600000.0,466.0,0.6773769960765118
3110094,52585.0,1,오산중학교,보광동,0.0,21603.0,1217.1,0.023,0.0%,1217.1명/500m²,0.023개/500m² (총 1개),160.0,2000.0,122.0,0.5217831644613544
3110095,361980.63157894736,21,한강진역 3번,한남동,33.3,149192.0,1213.1,0.07,33.3%,1213.1명/500m²,0.07개/500m² (총 21개),1860.0,50000.0,497.0,0.618149122800181
3110096,237589.00000000003,7,한남힐사이드아파트,한남동,50.0,50068.0,2372.7,0.07,50.0%,2372.7명/500m²,0.07개/500m² (총 7개),400.0,230000.0,348.0,0.604267073043202
3110098,95242.0,5,서울독일학교,한남동,25.0,41414.0,1149.9,0.06,25.0%,1149.9명/500m²,0.06개/500m² (총 5개),3000.0,100000.0,556.0,0.6364619987914375
3110099,0.0,2,유엔빌리지길,한남동,29.0,263187.0,0.0,0.004,29.0%,0.0명/500m²,0.004개/500m² (총 2개),5000.0,370000.0,929.0,0.6026311839037853
3110101,124307.33333333331,3,옥정중학교,옥수동,0.0,23818.0,2609.5,0.063,0.0%,2609.5명/500m²,0.063개/500m² (총 3개),500.0,5000.0,133.0,0.7134690698526539
3110102,233876.40000000002,11,옥수역 6번,옥수동,45.5,34682.0,3371.7,0.159,45.5%,3371.7명/500m²,0.159개/500m² (총 11개),700.0,221400.0,140.0,0.6841353927939366
3110103,0.0,1,옥수터널,옥수동,0.0,19057.0,0.0,0.026,0.0%,0.0명/500m²,0.026개/500m² (총 1개),180.0,3000.0,76.0,0.3304120178584845
3110104,468466.0,2,신금호역 4번,금호2.3가동,0.0,66838.0,3504.5,0.015,0.0%,3504.5명/500m²,0.015개/500m² (총 2개),1800.0,30000.0,344.0,0.6884386943208909
3110105,384107.00000000006,6,금동어린이공원,금호2.3가동,0.0,69009.0,2783.0,0.043,0.0%,2783.0명/500m²,0.043개/500m² (총 6개),280.0,5000.0,134.0,0.6784171145649296
3110106,0.0,2,금북초등학교,금호1가동,29.0,21366.0,0.0,0.047,29.0%,0.0명/500m²,0.047개/500m² (총 2개),300.0,3000.0,213.0,0.7645609666530868
3110107,16059.75,5,금호사거리,금호4가동,25.0,22191.0,361.9,0.113,25.0%,361.9명/500m²,0.113개/500m² (총 5개),780.0,10000.0,336.0,0.425951997706006
3110109,187108.5,7,금호삼성래미안아파트,금호1가동,40.0,29788.0,3140.7,0.117,40.0%,3140.7명/500m²,0.117개/500m² (총 7개),2000.0,130000.0,530.0,0.4972356247895568
3110110,532104.0,4,상왕십리역 6번,왕십리2동,25.0,51942.0,5122.1,0.039,25.0%,5122.1명/500m²,0.039개/500m² (총 4개),200.0,170000.0,266.0,0.6946184283076122
3110111,0.0,1,대현산장미원,응봉동,29.0,19485.0,0.0,0.026,29.0%,0.0명/500m²,0.026개/500m² (총 1개),,,,
3110112,720076.0,5,행당역 2번,행당1동,60.0,68591.0,5249.1,0.036,60.0%,5249.1명/500m²,0.036개/500m² (총 5개),320.0,5000.0,264.0,0.6506319568146515
3110113,0.0,1,응봉산,응봉동,0.0,89115.0,0.0,0.006,0.0%,0.0명/500m²,0.006개/500m² (총 1개),250.0,5000.0,70.0,0.3215886237055097
3110114,0.0,2,왕십리파출소,왕십리도선동,29.0,27058.0,0.0,0.037,29.0%,0.0명/500m²,0.037개/500m² (총 2개),300.0,400000.0,852.0,0.51186031268761
3110115,510829.4545454546,12,상왕십리역 3번,왕십리도선동,16.7,80878.0,3158.0,0.074,16.7%,3158.0명/500m²,0.074개/500m² (총 12개),600.0,35000.0,261.0,0.672642547764096
3110116,0.0,2,청계천박물관,마장동,29.0,98083.0,0.0,0.01,29.0%,0.0명/500m²,0.01개/500m² (총 2개),160.0,2000.0,140.0,0.6255946293563391
3110117,0.0,1,성동구보건소,마장동,29.0,49735.0,0.0,0.01,29.0%,0.0명/500m²,0.01개/500m² (총 1개),200.0,3000.0,115.0,0.4798231741780855
3110118,1548499.0,4,왕십리역 9번,행당1동,25.0,63575.0,12178.5,0.031,25.0%,12178.5명/500m²,0.031개/500m² (총 4개),450.0,5000.0,253.0,0.6516705686259476
3110119,0.0,1,마장지하차도,마장동,29.0,22524.0,0.0,0.022,29.0%,0.0명/500m²,0.022개/500m² (총 1개),350.0,870000.0,982.0,0.5174348331526553
3110120,233370.54545454547,23,서울숲카페거리,성수1가2동,22.7,34852.0,3348.0,0.33,22.7%,3348.0명/500m²,0.33개/500m² (총 23개),2400.0,30000.0,265.0,0.7093328554417988
3110121,50091.25,4,한양대역 4번,사근동,25.0,29267.0,855.8,0.068,25.0%,855.8명/500m²,0.068개/500m² (총 4개),1500.0,20000.0,736.0,0.5427722367643193
3110122,147478.2,5,마장역 2번,마장동,0.0,80335.0,917.9,0.031,0.0%,917.9명/500m²,0.031개/500m² (총 5개),520.0,7000.0,178.0,0.461932023536028
3110123,0.0,3,마장역 3번,마장동,29.0,169553.0,0.0,0.009,29.0%,0.0명/500m²,0.009개/500m² (총 3개),550.0,20000.0,231.0,0.6447648656603316
3110124,150941.875,10,뚝섬역교차로,성수1가2동,50.0,79596.0,948.2,0.063,50.0%,948.2명/500m²,0.063개/500m² (총 10개),25000.0,300000.0,2639.0,0.7135054031659509
3110125,689383.5454545455,11,사근동살곶이상점가,사근동,30.0,128923.0,2673.6,0.043,30.0%,2673.6명/500m²,0.043개/500m² (총 11개),235.0,3000.0,79.0,0.6728393987788454
3110126,238751.33333333334,10,서울숲역 1번,성수1가1동,55.6,18531.0,6441.9,0.27,55.6%,6441.9명/500m²,0.27개/500m² (총 10개),4500.0,60000.0,692.0,0.6938885651755755
3110127,110746.0,7,성수1가1동주민센터,성수1가1동,50.0,38774.0,1428.1,0.09,50.0%,1428.1명/500m²,0.09개/500m² (총 7개),1200.0,12000.0,416.0,0.7088309182891137
3110128,513663.9375,16,성원중학교,성수1가1동,37.5,247340.0,1038.4,0.032,37.5%,1038.4명/500m²,0.032개/500m² (총 16개),2000.0,30000.0,565.0,0.6623969850963582
3110129,97461.0,17,성원어린이공원,성수1가2동,63.6,70693.0,689.3,0.12,63.6%,689.3명/500m²,0.12개/500m² (총 17개),760.0,146100.0,206.0,0.7203145208628398
3110130,0.0,1,답십리역 6번,용답동,29.0,43065.0,0.0,0.012,29.0%,0.0명/500m²,0.012개/500m² (총 1개),130.0,2000.0,84.0,0.5135096755618199
3110131,809186.9230769232,28,성수동카페거리,성수2가1동,35.7,131865.0,3068.2,0.106,35.7%,3068.2명/500m²,0.106개/500m² (총 28개),27000.0,300000.0,1223.0,0.7404948206810876
3110132,337441.80000000005,10,성수2가3동주민센터,성수2가3동,50.0,76450.0,2206.9,0.065,50.0%,2206.9명/500m²,0.065개/500m² (총 10개),2800.0,40000.0,716.0,0.7004147560404166
3110133,197307.5,2,서울교통공사,용답동,0.0,80187.0,1230.3,0.012,0.0%,1230.3명/500m²,0.012개/500m² (총 2개),210.0,2000.0,87.0,0.4500691388465881
3110134,664857.375,16,성수119안전센터,성수2가1동,68.8,222826.0,1491.9,0.036,68.8%,1491.9명/500m²,0.036개/500m² (총 16개),900.0,10000.0,394.0,0.6519194831370094
3110135,52896.0,7,성동세무서,송정동,14.3,136762.0,193.4,0.026,14.3%,193.4명/500m²,0.026개/500m² (총 7개),340.0,5000.0,200.0,0.6873705099155876
3110136,618268.7499999999,28,경수초등학교,성수2가1동,25.0,260628.0,1186.1,0.054,25.0%,1186.1명/500m²,0.054개/500m² (총 28개),15000.0,2120000.0,2852.0,0.7428936558572833
3110137,975102.8181818181,33,성수초등학교,성수2가3동,20.7,330983.0,1473.0,0.05,20.7%,1473.0명/500m²,0.05개/500m² (총 33개),6000.0,110000.0,1153.0,0.7024953878597147
3110138,191291.83333333337,7,송정체육공원,송정동,50.0,102074.0,937.0,0.034,50.0%,937.0명/500m²,0.034개/500m² (총 7개),480.0,221500.0,175.0,0.6873705099155876
3110139,0.0,18,자양4동주민센터,자양4동,29.0,155861.0,0.0,0.058,29.0%,0.0명/500m²,0.058개/500m² (총 18개),400.0,9000.0,255.0,0.6414364154449208
3110140,1972958.8235294118,17,건대입구역 6번,자양4동,28.6,179746.0,5488.2,0.047,28.6%,5488.2명/500m²,0.047개/500m² (총 17개),1000.0,180000.0,488.0,0.7520575087455053
3110141,1845461.0,9,건대입구역 1번,화양동,33.3,67458.0,13678.6,0.067,33.3%,13678.6명/500m²,0.067개/500m² (총 9개),1090.0,20000.0,469.0,0.7105004513552502
3110142,1921263.0,17,화양사거리,화양동,37.5,116892.0,8218.1,0.073,37.5%,8218.1명/500m²,0.073개/500m² (총 17개),600000.0,20000.0,429.0,0.7047048370015422
3110143,0.0,2,뚝섬유원지역 1번,자양3동,29.0,8061.0,0.0,0.124,29.0%,0.0명/500m²,0.124개/500m² (총 2개),200.0,3000.0,27.0,0.3529705581757714
3110144,301993.22222222225,9,어린이대공원역 4번,화양동,44.4,42830.0,3525.5,0.105,44.4%,3525.5명/500m²,0.105개/500m² (총 9개),300.0,5000.0,192.0,0.7357101024289644
3110145,229040.25,4,장안초등학교,군자동,33.3,14956.0,7657.1,0.134,33.3%,7657.1명/500m²,0.134개/500m² (총 4개),97.0,1000.0,39.0,0.6539817761004201
3110146,1386514.0,9,신자초등학교,자양3동,50.0,106885.0,6486.0,0.042,50.0%,6486.0명/500m²,0.042개/500m² (총 9개),350.0,120000.0,321.0,0.7056622464138088
3110147,931189.0,7,능동우편취급국,군자동,57.1,157029.0,2965.0,0.022,57.1%,2965.0명/500m²,0.022개/500m² (총 7개),550.0,35000.0,264.0,0.7083469657791204
3110148,778053.0,9,어린이대공원역 3번,화양동,33.3,45757.0,8502.0,0.098,33.3%,8502.0명/500m²,0.098개/500m² (총 9개),250.0,5000.0,148.0,0.6668416772710668
3110149,0.0,3,세종대학교,군자동,29.0,45957.0,0.0,0.033,29.0%,0.0명/500m²,0.033개/500m² (총 3개),370.0,10000.0,125.0,0.5544994742033592
3110150,1756661.0,10,중곡1동 마을마당,중곡1동,50.0,159510.0,5506.4,0.031,50.0%,5506.4명/500m²,0.031개/500m² (총 10개),170.0,2000.0,149.0,0.7054110386111225
3110151,1349794.0,10,자양한강도서관,자양2동,33.3,107574.0,6273.8,0.046,33.3%,6273.8명/500m²,0.046개/500m² (총 10개),550.0,10000.0,221.0,0.6717560673549151
3110152,217454.0,2,중곡어린이공원,중곡1동,0.0,50806.0,2140.0,0.02,0.0%,2140.0명/500m²,0.02개/500m² (총 2개),150.0,3000.0,85.0,0.697669953934175
