상가업소번호,상호명,지점명,TRDAR_CD,법정동코드,지번본번지,지번부번지,건물관리번호,지번,고유번호,연면적,건축물면적(㎡),커버건축물면적,커버연면적
MA0106202406A2465517,스타벅스,신촌,3130175,1141011600,18,55,,18-55,1.1410116001001801e+18,2003.33,155.04,155.04,2003.33
MA010120220803658119,이디야사가정점,,3120068,1126010100,496,18,1126010100104960018025507,496-18,1.12601010010496e+18,295.4,70.36,70.36,295.4
MA010120220810433268,로스토,,3110037,1111017500,365,0,1111017500103650000001440,365,1.11101750010365e+18,351.75,122.55,61.275,175.875
MA0101202311A0016316,청림무역,,3110037,1111017500,365,0,1111017500103650000001440,365,1.11101750010365e+18,351.75,122.55,61.275,175.875
MA010120220812360152,9카페,,3120066,1123010600,416,5,1123010600104160005017809,416-5,1.12301060010416e+18,4204.84,523.89,523.89,4204.84
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,1165010700,52,2,1165010700100520002016593,52-2,1.16501070010052e+18,1478.62,190.72,190.72,1478.62
MA0101202305A0094771,몹시,,3120002,1111010600,108,0,1111010600101080000028859,108,1.11101060010108e+18,1126.7,260.7,260.7,1126.7
MA010120220800795375,마룬여유,,3110517,1141011700,75,3,1141011700100750003017855,75-3,1.14101170010075e+18,458.32,112.25,112.25,458.32
MA0101202212A0069021,탐앤탐스홍제역점,,3130176,1141011100,294,46,1141011100102940001014466,294-46,1.14101110010294e+18,0.0,0.0,0.0,0.0
MA010120220810013229,홍제동냇길,,3130176,1141011100,294,46,1141011100102940001014466,294-46,1.14101110010294e+18,0.0,0.0,0.0,0.0
MA010120220804670501,아케디뜨,,3130060,1117010200,1,490,1117010200100010490000001,1-490,1.1170102001000105e+18,3247.61,0.0,0.0,3247.61
MA0101202210A0069909,잇푸쿠,,3110553,1144012600,254,0,1144012600102540000018444,254,1.14401260010254e+18,492.23,110.23,110.23,492.23
MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,1132010700,750,2,1132010700107500002019042,750-2,1.1320107001075e+18,5629.88,676.91,676.91,5629.88
MA010120220811453534,까페캠퍼,잠실점,3111004,1171010100,233,0,1171010100102330000001349,233,1.17101010010233e+18,526.21,0.0,0.0,526.21
MA010120220806570363,설빙,,3120151,1162010100,729,32,1162010100107290032000001,729-32,1.16201010010729e+18,46850.174,2411.37,803.79,15616.724666666667
MA0101202308A0030688,매머드익스프레스보라매대교점,,3120151,1162010100,729,32,1162010100107290032000001,729-32,1.16201010010729e+18,46850.174,2411.37,803.79,15616.724666666667
MA0101202303A0088204,커피앤김밥,,3120151,1162010100,729,32,1162010100107290032000001,729-32,1.16201010010729e+18,46850.174,2411.37,803.79,15616.724666666667
MA0101202212A0063472,원두볶는사람들,,3111050,1174010800,534,18,1174010800105340018006783,534-18,1.17401080010534e+18,490.83,113.52,113.52,490.83
MA0101202406A0348730,이디야커피창동학원가점,,3110409,1132010700,288,40,1132010700102880040013969,288-40,1.13201070010288e+18,495.83,110.83,110.83,495.83
MA0106202406A2465527,스타벅스,고대,3110313,1129012500,104,30,,104-30,1.12901250010104e+18,4832.56,649.77,649.77,4832.56
MA010120220800594420,앨리스,,3130178,1141011200,34,23,1141011200100340023023629,34-23,1.14101120010034e+18,263.8,62.51,62.51,263.8
MA010120220814090613,아키비스트,,3110015,1111010400,164,7,1111010400101640007029823,164-7,1.1110104001016401e+18,206.91,0.0,0.0,206.91
MA010120220812595540,멜로드,,3130268,1159010200,465,16,1159010200104650016019846,465-16,1.15901020010465e+18,757.36,175.45,175.45,757.36
MA0101202307A0029658,요거요거요거트,,3110671,1150010200,643,1,1150010200106430001026622,643-1,1.15001020010643e+18,230.88,77.76,77.76,230.88
MA010120220807372753,바스크,,3110306,1129013400,1171,14,1129013400111710000025751,1171-14,1.12901340011171e+18,358.85,0.0,0.0,358.85
MA010120220804283432,커피인페르노,,3111042,1171011300,135,19,1171011300101350019000001,135-19,1.1710113001013501e+18,883.76,187.36,187.36,883.76
MA010120220811802533,커피볶는김여사,,3110525,1141011800,36,3,1141011800100360003013459,36-3,1.1410118001003601e+18,87.81,47.28,47.28,87.81
MA010120220813194426,구루구루,,3110842,1159010500,43,38,1159010500100430038015819,43-38,1.15901050010043e+18,171.5,90.71,90.71,171.5
MA0101202308A0087121,미쉐,,3130190,1144012000,365,17,1144012000103650017010336,365-17,1.14401200010365e+18,60.55,20.51,20.51,60.55
MA010120220814138033,디자인정인플러스,,3110283,1129010100,125,6,1129010100101250006053122,125-6,1.12901010010125e+18,199.84,74.84,74.84,199.84
MA0101202306A0098791,봉명동내커피,,3110438,1135010300,408,26,1135010300104080026014663,408-26,1.13501030010408e+18,310.0,84.65,84.65,310.0
MA0101202310A0014635,이디야팀이공사점,,3130046,1114016200,204,48,1114016200102040079009591,204-48,1.11401620010204e+18,9966.27,611.99,611.99,9966.27
MA010120220804369500,메가엠지씨커피창동역점,,3130153,1132010700,4,0,1132010700100040000000001,4,1.13201070010004e+18,3374.41,388.0,388.0,3374.41
MA010120220813450022,공활,,3110630,1150010900,615,54,1150010900106150054002197,615-54,1.15001090010615e+18,153.45,112.57,112.57,153.45
MA010120220800992852,어깨동무,,3110753,1154510300,924,10,1154510300109240010001088,924-10,1.15451030010924e+18,299.97,97.02,97.02,299.97
MA010120220812381987,커피온리,교대역점,3120173,1165010800,1673,1,1165010800116730001024644,1673-1,1.16501080011673e+18,3754.41,206.25,206.25,3754.41
MA0101202406A0006355,메가엠지씨커피남부터미널역점,,3120175,1165010800,1445,1,1165010800114450001000002,1445-1,1.16501080011445e+18,0.0,0.0,0.0,0.0
MA010120220803746048,카페다인,,3130067,1120010400,185,27,1120010400101850027000001,185-27,1.12001040010185e+18,151.67,47.67,47.67,151.67
MA010120220805528341,남산#52LAB,,3120027,1114012300,9,15,1114012300100090015020145,9-15,1.11401230010009e+18,66.56,20.27,20.27,66.56
MA010120220812223813,베비아모,,3110433,1135010300,513,47,1135010300105130047016004,513-47,1.13501030010513e+18,338.22,70.46,70.46,338.22
MA010120220813622947,오루베,,3110110,1120010200,890,381,1120010200108900381023968,890-381,1.1200102001089004e+18,141.12,0.0,0.0,141.12
MA010120220812249653,프리커피,,3110900,1162010100,196,114,1162010100101960114024317,196-114,1.1620101001019602e+18,231.64,81.98,81.98,231.64
MA0101202210A0089507,노브.,,3110405,1132010600,650,3,1132010600106500004002784,650-3,1.1320106001065e+18,643.1,193.17,193.17,643.1
MA010120220810325777,히든아일렛,,3120022,1114011300,18,7,1114011300100180007022528,18-7,1.11401130010018e+18,222.34,0.0,0.0,222.34
MA010120220812816297,피카워크샵,,3110129,1120011400,13,384,1120011400100130384007570,13-384,1.1200114001001304e+18,328.03,63.91,63.91,328.03
MA010120220812692268,셀렉토커피방학역점,,3110410,1132010600,719,2,1132010600107190002003966,719-2,1.13201060010719e+18,23824.0,1521.66,1521.66,23824.0
MA010120220814131733,미러볼커피스탠드,,3120010,1111015900,84,2,1111015900100840002016063,84-2,1.1110159001008401e+18,103.22,0.0,0.0,103.22
MA010120220808471611,단미제과,,3110359,1130510300,28,18,1130510300100280018006987,28-18,1.13051030010028e+18,476.12,89.34,89.34,476.12
MA010120220806750334,파크사이드,,3110576,1144010800,241,40,1144010800102410040021548,241-40,1.14401080010241e+18,148.23,62.59,62.59,148.23
MA010120220807072648,코지,,3120229,1171011100,64,6,1171011100100640006015763,64-6,1.17101110010064e+18,1972.27,269.2,269.2,1972.27
MA010120220805629360,데이데이,,3120072,1129011600,2,2,1129011600100020002044993,2-2,1.12901160010002e+18,83.8,83.8,83.8,83.8
MA010120220803903262,라운드테이블,,3110300,1129012100,9,0,1129012100100090000041906,9,1.12901210010009e+18,307.4,62.22,62.22,307.4
MA010120220812684551,리예몬,,3130100,1123010500,70,9,1123010500100700009021360,70-9,1.1230105001007e+18,170.73,0.0,0.0,170.73
MA0101202406A0003591,미학당,,3110838,1159010200,485,1,1159010200104850001020861,485-1,1.15901020010485e+18,1155.64,234.52,234.52,1155.64
MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,,3110019,1111013100,171,6,1111013100101710006000001,171-6,1.11101310010171e+18,298.82,101.31,101.31,298.82
MA0101202306A0081109,컴포즈커피숭실대점,,3130269,1159010200,488,0,1159010200104880000020705,488,1.15901020010488e+18,5936.33,981.02,981.02,5936.33
MA010120220812045492,집생로커피,,3110166,1121510300,248,87,1121510300102480087021624,248-87,1.1215103001024801e+18,489.42,96.2,96.2,489.42
MA010120220805502965,에그허그,,3110179,1121510400,245,7,1121510400102450007010539,245-7,1.12151040010245e+18,527.88,118.32,118.32,527.88
MA010120220804498801,뷰파트너스주,,3120187,1168010800,201,16,1168010800102010016009377,201-16,1.16801080010201e+18,0.0,0.0,0.0,0.0
MA0101202212A0097331,현욱기획,,3130308,1168010400,134,20,1168010400101340020019007,134-20,1.16801040010134e+18,0.0,0.0,0.0,0.0
MA0106202201A0722612,커피를만드는사람들,,3130308,1168010400,134,20,1168010400101340020019007,134-20,1.16801040010134e+18,0.0,0.0,0.0,0.0
MA010120220803865372,카페오,,3130081,1121510500,620,17,1121510500106200017012940,620-17,1.1215105001062e+18,168.95,82.08,82.08,168.95
MA0101202409A0141583,퐁치커피익스프레스,공릉점,3110434,1135010300,592,7,1135010300105920007016413,592-7,1.13501030010592e+18,888.75,191.19,191.19,888.75
MA0106202406A2464980,스타벅스,강남역신분당역사,3120192,1168010100,858,0,,858,1.16801010010858e+18,0.0,0.0,0.0,0.0
MA010120220812515182,하우스브란트,,3110908,1165010700,1313,0,1165010700113130000018783,1313,1.16501070011313e+18,23710.03,1765.16,588.3866666666667,7903.343333333333
MA010120220806653613,카페301,,3110908,1165010700,1313,0,1165010700113130000018783,1313,1.16501070011313e+18,23710.03,1765.16,588.3866666666667,7903.343333333333
MA010120220803675047,퀼트카페인,,3110908,1165010700,1313,0,1165010700113130000018783,1313,1.16501070011313e+18,23710.03,1765.16,588.3866666666667,7903.343333333333
MA0101202406A0075604,컴포즈양천신곡점,,3130205,1147010300,575,1,1147010300105750001008561,575-1,1.14701030010575e+18,1377.71,321.36,321.36,1377.71
MA0101202311A0105550,스타트카페,,3130024,1114011200,33,1,1114011200100330086000001,33-1,,,,,
MA010120220800117732,커피집,,3130024,1114011200,33,1,1114011200100330086000001,33-1,,,,,
MA010120220814124659,나를위한하루날위한커피,사당점,3110851,1159010700,68,1,1159010700100680001013276,68-1,1.15901070010068e+18,328.43,69.61,69.61,328.43
MA010120220806848914,카페크레프리,,3110383,1132010500,422,80,1132010500104220080008477,422-80,1.13201050010422e+18,998.61,235.4,235.4,998.61
MA010120220806476231,커피프릭COFFEEFREAK,,3130198,1144010100,332,7,1144010100103320007000485,332-7,1.14401010010332e+18,95.67,39.04,39.04,95.67
MA010120220802780322,골목카페,,3120009,1111015300,95,0,1111015300100950000014273,95,1.11101530010095e+18,207.9,103.95,103.95,207.9
MA010120220806496281,구움블루스,,3120113,1147010200,405,241,1147010200104050241021067,405-241,1.1470102001040503e+18,485.1,95.06,95.06,485.1
MA0101202302A0078446,메가엠지씨커피방배카페,거리점,3120162,1165010100,760,2,1165010100107600002015591,760-2,1.1650101001076001e+18,974.92,494.95,494.95,974.92
MA0101202310A0029065,네스트앤드위스탠연남마포지점,,3110564,1144012100,113,92,1144012100101130092021786,113-92,,,,,
MA0101202301A0001083,카페청량,,3130095,1123010300,478,5,1123010300104780005000001,478-5,1.12301030010478e+18,36.36,0.0,0.0,36.36
MA0101202406A0524166,문보드레,,3110608,1147010300,480,18,1147010300104800018013302,480-18,1.1470103001048e+18,229.32,114.66,114.66,229.32
MA010120220802054670,커피도가헤리티지,,3130179,1141011200,56,28,1141011200100560028023899,56-28,1.14101120010056e+18,2193.93,192.67,192.67,2193.93
MA0101202309A0037814,꾸에바마테라,,3130060,1117010200,1,46,1117010200100010046024939,1-46,,,,,
MA010120220800854284,매머드익스프레스,여의도점,3120148,1156011000,14,35,1156011000100140035031116,14-35,1.15601100010014e+18,6931.76,443.84,443.84,6931.76
MA010120220807773162,더로비,,3110393,1132010600,670,1,1132010600106700001000403,670-1,1.1320106001067e+18,299.27,90.0,90.0,299.27
MA0101202301A0080507,바바아시,,3110177,1121510300,33,8,1121510300100330008006942,33-8,1.12151030010033e+18,665.67,134.16,134.16,665.67
MA0101202406A0459675,수유상점101,,3130138,1130510300,63,0,1130510300100630000013735,63,1.13051030010063e+18,20953.72,1177.68,588.84,10476.86
MA0101202306A0054244,커피마마퀸,,3130138,1130510300,63,0,1130510300100630000013735,63,1.13051030010063e+18,20953.72,1177.68,588.84,10476.86
MA0101202210A0034673,업사이드커피을지로,,3120033,1114015000,39,1,1114015000100390001012587,39-1,1.11401500010039e+18,0.0,0.0,0.0,0.0
MA010120220804108887,그랑카페,,3111055,1174010700,506,2,1174010700105060003015431,506-2,1.17401070010506e+18,1083.49,222.42,222.42,1083.49
MA0101202305A0146430,이디야커피망우역점,,3110265,1126010200,172,0,1126010200100530003016550,172,1.12601020010172e+18,6350.42,5055.4,5055.4,6350.42
MA010120220814019498,트래버틴용산,,3110062,1117012800,40,317,1117012800100400317012261,40-317,1.1170128001004003e+18,40.93,40.93,40.93,40.93
MA010120220807721966,디저트39,,3120109,1147010100,1018,1,1147010100110180001006332,1018-1,1.14701010011018e+18,1451.36,233.33,233.33,1451.36
MA010120220811871907,사랑방,,3130250,1156010600,20,62,1156010600100200062033898,20-62,1.1560106001002e+18,558.28,343.8,171.9,279.14
MA010120220808832530,로타리휴계실,,3130250,1156010600,20,62,1156010600100200062033898,20-62,1.1560106001002e+18,558.28,343.8,171.9,279.14
MA0101202308A0016993,삼이일공커피공장,,3110938,1165010200,119,1,1165010200101190001007710,119-1,1.16501020010119e+18,49.0,49.0,49.0,49.0
MA010120220810577365,토마토,,3110577,1144010800,542,0,1144010800105420000005525,542,1.14401080010542e+18,931.46,173.13,173.13,931.46
MA0101202406A0046626,수빈70,,3110177,1121510300,33,1,1121510300100330001006937,33-1,1.12151030010033e+18,592.07,135.2,135.2,592.07
MA010120220803980265,커피오리진,,3110364,1130510100,783,1,1130510100107830001030931,783-1,1.13051010010783e+18,888.22,190.45,190.45,888.22
MA010120220803674019,메가엠지씨커피강동역점,,3111068,1174010500,445,1,1174010500104450001000001,445-1,1.17401050010445e+18,24707.79,981.57,981.57,24707.79
MA010120220806880475,카페502호,,3130107,1126010200,129,9,1126010200101290009016359,129-9,1.12601020010129e+18,3472.37,2721.2,2721.2,3472.37
MA010120220803878389,이앤에스에스,,3110559,1144012200,360,1,1144012200103600001012361,360-1,1.1440122001036e+18,349.29,108.28,108.28,349.29
MA010120220805703628,건강한농부사회적협동조합,,3110734,1154510300,995,18,1154510300109950018004551,995-18,1.15451030010995e+18,814.24,305.79,305.79,814.24
MA010120220813342186,크레마노,해방촌점,3130060,1117010200,1,45,1117010200100010043024925,1-45,,,,,
MA0101202406A0061679,카페인중독,문정점,3111026,1171010800,67,8,1171010800100670008004688,67-8,1.17101080010067e+18,694.1,0.0,0.0,694.1
MA010120220813711418,카페보보,,3110424,1135010500,389,237,1135010500103890237007142,389-237,1.1350105001038902e+18,290.84,57.48,57.48,290.84
MA010120220812329257,금호알베르,,3110107,1120011200,173,9,1120011200101730009012612,173-9,1.12001120010173e+18,544.32,0.0,0.0,272.16
MA010120220805446012,알베르금호,,3110107,1120011200,173,9,1120011200101730009012612,173-9,1.12001120010173e+18,544.32,0.0,0.0,272.16
MA010120220802964354,다나제과,,3130178,1141011200,34,22,1141011200100340022023658,34-22,1.14101120010034e+18,340.52,80.19,80.19,340.52
MA010120220806478777,커피베이성수세종,타워점,3130071,1120011500,284,62,1120011500102840062004190,284-62,1.12001150010284e+18,0.0,0.0,0.0,0.0
MA010120220800219104,메르센,,3130192,1144012400,227,15,1144012400102270015015488,227-15,1.14401240010227e+18,186.94,108.89,36.29666666666667,62.31333333333333
MA010120220808123411,카페네이,,3130192,1144012400,227,15,1144012400102270015015488,227-15,1.14401240010227e+18,186.94,108.89,36.29666666666667,62.31333333333333
MA010120220800209837,카페리브레,,3130192,1144012400,227,15,1144012400102270015015488,227-15,1.14401240010227e+18,186.94,108.89,36.29666666666667,62.31333333333333
MA0106202201A0153478,커피빈순화점,코리아,3120019,1114016800,214,0,1114016800102140000000001,214,1.11401680010214e+18,34332.14,1305.3838,1305.3838,34332.14
MA010120220805376837,커피에반하다,,3130196,1144010200,256,13,1144010200102560013002355,256-13,1.14401020010256e+18,23382.24,1035.88,345.29333333333335,7794.080000000001
MA0101202307A0051907,컴포즈커피,공덕역점,3130196,1144010200,256,13,1144010200102560013002355,256-13,1.14401020010256e+18,23382.24,1035.88,345.29333333333335,7794.080000000001
MA010120220809331537,쥬씨,공덕점,3130196,1144010200,256,13,1144010200102560013002355,256-13,1.14401020010256e+18,23382.24,1035.88,345.29333333333335,7794.080000000001
MA010120220806528090,빌리지,,3110096,1117013100,790,8,1117013100107900008004505,790-8,1.1170131001079e+18,121.14,63.56,63.56,121.14
MA0106202201A1608036,MAAT커피브루어스,,3110132,1120011500,299,56,1120011500102990056003646,299-56,1.1200115001029901e+18,566.24,132.23,132.23,566.24
MA0101202311A0063989,퓨쳐마인드,,3110924,1165010700,551,36,1165010700105510036016501,551-36,1.1650107001055101e+18,385.77,107.59,107.59,385.77
MA010120220814335806,좋은피플,,3130101,1123010500,488,100,1123010500104880100041296,488-100,1.1230105001048801e+18,25.97,25.97,25.97,25.97
MA0101202311A0057925,컴포즈커피가양초점,,3110674,1150010400,1488,8,1150010400114880008009547,1488-8,1.15001040011488e+18,3803.48,592.2,592.2,3803.48
MA0101202406A0496575,효녀가수이효정네한방찻집,,3110576,1144010800,241,22,1144010800102410022005267,241-22,1.14401080010241e+18,189.28,56.38,56.38,189.28
MA010120220800189855,쿠나,,3130191,1144012000,331,13,1144012000103310013013144,331-13,1.14401200010331e+18,322.62,96.6,96.6,322.62
MA010120220803540686,OMG도넛앤커피,,3130293,1162010100,32,2,1162010100100320002026330,32-2,1.16201010010032e+18,1107.44,1107.44,1107.44,1107.44
MA0101202409A0015864,카페메디치,,3120157,1162010200,1422,5,1162010200114220005013856,1422-5,1.16201020011422e+18,22986.82,1125.59,562.795,11493.41
MA010120220813228155,카페메디치,,3120157,1162010200,1422,5,1162010200114220005013856,1422-5,1.16201020011422e+18,22986.82,1125.59,562.795,11493.41
MA010120220813289327,스탠다드,,3120039,1114016300,114,0,1114016300101140000009862,114,1.11401630010114e+18,185.63,0.0,0.0,185.63
MA010120220811770920,써밋,,3110435,1135010300,437,4,1135010300104370004020167,437-4,1.13501030010437e+18,1680.92,356.76,178.38,840.46
MA010120220804426732,엠에스씨커피,,3111020,1171011100,222,4,1171011100102220004017778,222-4,1.17101110010222e+18,698.49,0.0,0.0,698.49
MA010120220803544182,을지다방,,3120031,1114015500,315,3,1114015500103150002000001,315-3,1.11401550010315e+18,253.38,84.46,84.46,253.38
MA0101202309A0079520,매머드커피강남,구청점,3120203,1168010800,242,18,1168010800102420018006271,242-18,1.16801080010242e+18,616.25,123.25,123.25,616.25
MA010120220811982063,고스트요거트,,3130178,1141011200,34,29,1141011200100340029023690,34-29,1.14101120010034e+18,209.68,0.0,0.0,209.68
MA010120220803832299,할리스,,3120053,1121510700,7,12,1121510700100070012025566,7-12,1.12151070010007e+18,2761.27,310.09,155.045,1380.635
MA010120220813329261,다빈치보드게임,,3120053,1121510700,7,12,1121510700100070012025566,7-12,1.12151070010007e+18,2761.27,310.09,155.045,1380.635
MA010120220811946517,헬카페,,3110068,1117011200,34,0,1117011200100340000018489,34,1.11701120010034e+18,599.55,106.68,106.68,599.55
MA0101202305A0182284,바나타이거,양산점,3110879,1162010200,403,9,1162010200104030009010278,403-9,1.16201020010403e+18,169.59,0.0,0.0,169.59
MA010120220812936847,오카보카커피,,3120050,1120011400,656,1214,1120011400106561214008941,656-1214,1.1200114001065612e+18,209.31,63.81,63.81,209.31
MA010120220813466674,더앨리,홍대점,3130190,1144012000,358,53,1144012000103580053018968,358-53,1.14401200010358e+18,582.44,125.12,125.12,582.44
MA010120220805037015,텐티북스,,3110076,1117012400,104,2,1117012400101040002014422,104-2,,,,,
MA0101202309A0026548,아비삭베이글,,3130058,1117012900,301,154,1117012900103010154011146,301-154,1.1170129001030102e+18,889.26,287.44,287.44,889.26
MA0101202406A0326897,필링커피,,3130118,1129013300,266,94,1129013300102660094027664,266-94,1.1290133001026601e+18,619.93,180.63,180.63,619.93
MA0101202311A0102365,카페달,,3110468,1138010800,33,2,1138010800100330002018709,33-2,1.13801080010033e+18,1975.23,382.46,382.46,1975.23
MA010120220806700247,탐앤탐스사가정역점,,3120068,1126010100,496,17,1126010100104960017025884,496-17,1.12601010010496e+18,202.8,59.59,59.59,202.8
MA0101202411A0081318,하삼동금호역점,,3120048,1120011200,1192,0,1120011200111930000011743,1192,1.12001120011192e+18,1934.38,198.52,198.52,1934.38
MA010120220813699361,인터내셔널티컴퍼니,,3120208,1168010400,119,8,1168010400101190008017734,119-8,1.16801040010119e+18,858.37,127.62,127.62,858.37
MA010120220803148675,슬라브,,3110544,1144012300,399,36,1144012300103990036013986,399-36,1.14401230010399e+18,673.8,134.76,134.76,673.8
MA010120220813656456,별와플,,3130258,1156013200,2365,0,1156013200123650000008240,2365,1.15601320012365e+18,2481.63,1698.78,1698.78,2481.63
MA010120220809207218,더그린,,3110271,1126010600,312,1,1126010600103120001000001,312-1,,,,,
MA010120220803098669,카페글락,,3110990,1168010400,70,11,1168010400100700017018711,70-11,1.1680104001007e+18,1204.69,274.84,274.84,1204.69
MA0106202201A0153173,커피빈이태원점,코리아,3120046,1117013000,123,33,1117013000101230023009515,123-33,1.1170130001012301e+18,0.0,0.0,0.0,0.0
MA010120220807386355,자작나무,,3120159,1162010100,862,1,1162010100108620018040811,862-1,1.16201010010862e+18,26450.99,1149.03,574.515,13225.495
MA010120220801138917,브로커피앤쥬스,,3120159,1162010100,862,1,1162010100108620018040811,862-1,1.16201010010862e+18,26450.99,1149.03,574.515,13225.495
MA0106202303A2117369,돌상cafe돌상카페,,3120044,1117012400,231,23,1117012400102310023014763,231-23,1.11701240010231e+18,3335.3,1511.0,1511.0,3335.3
MA010120220808581989,꼴라보하우스도산,,3110962,1168010700,645,15,1168010700106450015010116,645-15,1.16801070010645e+18,316.64,144.65,144.65,316.64
MA010120220808485009,와다당,,3110597,1147010300,98,36,1147010300100980036014288,98-36,1.1470103001009801e+18,173.87,62.45,62.45,173.87
MA0101202409A0189004,타미,,3110028,1111016500,10,5,1111016500100100005010438,10-5,1.1110165001001e+18,97.8,37.62,37.62,97.8
MA010120220811794135,투썸플레이스,,3120022,1114011300,18,9,1114011300100180009022917,18-9,1.11401130010018e+18,0.0,0.0,0.0,0.0
MA0101202310A0036144,오랑오랑,,3130060,1117010200,1,62,1117010200100010484024970,1-62,1.1170102001000101e+18,3304.85,0.0,0.0,3304.85
