상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호,카카오맵ID
MA010120220803865372,카페오,,3130081,자양골목전통시장(자양골목시장),서울특별시 광진구 자양로13나길 27,37.5341740814199,127.079707971849,서울특별시 광진구 자양동 620-17,5062,
MA010120220812515182,하우스브란트,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 반포동 1313,6502,
MA010120220806653613,카페301,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 반포동 1313,6502,
MA010120220803675047,퀼트카페인,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,37.5021425556459,126.98690384767,서울특별시 서초구 반포동 1313,6502,
MA010120220814124659,나를위한하루날위한커피,사당점,3110851,경문고등학교(동작동성당),서울특별시 동작구 동작대로35길 53,37.4918700726253,126.979759152172,서울특별시 동작구 사당동 68-1,6991,
MA010120220806476231,커피프릭COFFEEFREAK,,3130198,아현시장,서울특별시 마포구 굴레방로7길 22,37.5563476980944,126.95427741415,서울특별시 마포구 아현동 332-7,4115,
MA0101202302A0078446,메가엠지씨커피방배카페,거리점,3120162,방배동카페골목,서울특별시 서초구 방배중앙로 188,37.4956822235035,126.985887227875,서울특별시 서초구 방배동 760-2,6553,
MA0101202310A0029065,네스트앤드위스탠연남마포지점,,3110564,홍대입구역 3번,서울특별시 마포구 연희로1길 18,37.5598380358557,126.925674699619,서울특별시 마포구 동교동 113-92,3985,
MA010120220811871907,사랑방,,3130250,삼구시장(로타리상가),서울특별시 영등포구 영등포로 219,37.5201437930117,126.905759725524,서울특별시 영등포구 영등포동5가 20-62,7250,
MA010120220808832530,로타리휴계실,,3130250,삼구시장(로타리상가),서울특별시 영등포구 영등포로 219,37.5201437930117,126.905759725524,서울특별시 영등포구 영등포동5가 20-62,7250,
MA010120220803674019,메가엠지씨커피강동역점,,3111068,강동성심병원,서울특별시 강동구 천호대로 1107,37.5358534763436,127.135229367316,서울특별시 강동구 길동 445-1,5355,
MA010120220806880475,카페502호,,3130107,중랑동부시장(중랑교종합상가),서울특별시 중랑구 망우로32길 23,37.5929477807347,127.077121031046,서울특별시 중랑구 상봉동 129-9,2121,
MA010120220803878389,이앤에스에스,,3110559,성산중학교,서울특별시 마포구 독막로6길 27,37.5467409081422,126.917212008765,서울특별시 마포구 합정동 360-1,4072,
MA010120220805703628,건강한농부사회적협동조합,,3110734,금천파출소,서울특별시 금천구 시흥대로61길 31,37.4535537269632,126.898994348611,서울특별시 금천구 시흥동 995-18,8632,
MA010120220800219104,메르센,,3130192,동진시장,서울특별시 마포구 성미산로 198,37.5623795306971,126.926770057942,서울특별시 마포구 연남동 227-15,3982,
MA010120220808123411,카페네이,,3130192,동진시장,서울특별시 마포구 성미산로 198,37.5623795306971,126.926770057942,서울특별시 마포구 연남동 227-15,3982,
MA010120220800209837,카페리브레,,3130192,동진시장,서울특별시 마포구 성미산로 198,37.5623795306971,126.926770057942,서울특별시 마포구 연남동 227-15,3982,
MA010120220814335806,좋은피플,,3130101,답십리현대시장,서울특별시 동대문구 전농로4가길 8,37.5669108229274,127.058349803248,서울특별시 동대문구 답십리동 488-100,2620,
MA0101202406A0496575,효녀가수이효정네한방찻집,,3110576,대흥역 3번,서울특별시 마포구 백범로16안길 29,37.5463240355812,126.943714434758,서울특별시 마포구 대흥동 241-22,4149,
MA010120220803540686,OMG도넛앤커피,,3130293,봉천중앙시장,서울특별시 관악구 관악로 211,37.4842224378074,126.954344016731,서울특별시 관악구 봉천동 32-2,8744,
MA010120220804426732,엠에스씨커피,,3111020,방이동고분군(방산고등학교),서울특별시 송파구 오금로27길 8,37.5071002616892,127.12065541033,서울특별시 송파구 방이동 222-4,5645,
MA010120220811946517,헬카페,,3110068,남영역 1번,서울특별시 용산구 원효로89길 33,37.5407467038843,126.967220116557,서울특별시 용산구 원효로1가 34,4316,
MA0101202406A0326897,필링커피,,3130118,정릉골 골목형상점가,서울특별시 성북구 보국문로16길 60,37.6124249293421,127.010068782668,서울특별시 성북구 정릉동 266-94,2717,
MA010120220813699361,인터내셔널티컴퍼니,,3120208,청담사거리(청담동명품거리),서울특별시 강남구 압구정로79길 8,37.5249560566101,127.047762337007,서울특별시 강남구 청담동 119-8,6011,
MA010120220809207218,더그린,,3110271,신내역 1번,서울특별시 중랑구 용마산로139길 49,37.6154473133881,127.09885700881,서울특별시 중랑구 신내동 312-1,2052,
MA010120220803098669,카페글락,,3110990,청담역 12번,서울특별시 강남구 영동대로131길 16,37.5205650680003,127.054908762415,서울특별시 강남구 청담동 70-11,6072,
MA0106202303A2117369,돌상cafe돌상카페,,3120044,삼각지역,서울특별시 용산구 한강대로62길 26,37.5337925193793,126.973332754222,서울특별시 용산구 한강로1가 231-23,4382,
MA010120220805243579,이트커피,,3130050,청평화시장,서울특별시 중구 다산로 293,37.569158760397,127.01498689902,서울특별시 중구 신당동 193-2,4568,
MA010120220807821180,비바라비다,,3130016,동대문상가B동,서울특별시 종로구 청계천로 307,37.5700781230359,127.011942124491,서울특별시 종로구 창신동 436-78,3119,
MA010120220813713548,아리스타충무로점,,3120030,중부경찰서(영화인의거리),서울특별시 중구 수표로 15-1,37.5626721342094,126.990209559195,서울특별시 중구 충무로2가 49-4,4553,
MA010120220813996290,오살랑마켓,,3110402,도봉구 정병원,서울특별시 도봉구 도봉로143길 50,37.661891908391,127.039293160568,서울특별시 도봉구 방학동 675-16,1390,
MA010120220814228547,한국영파머스클럽,,3130227,고척골목시장상점가(그라운드 고척),서울특별시 구로구 경인로47길 107,37.5034341097422,126.863641632124,서울특별시 구로구 고척동 51-18,8223,
MA010120220811971488,피프틴커피,,3130060,신흥시장,서울특별시 용산구 신흥로 97-1,37.5453634106516,126.984938655222,서울특별시 용산구 용산동2가 1-502,4337,
MA0101202308A0092339,구하니커피,,3130099,전농로터리시장,서울특별시 동대문구 전농로15길 21,37.5777866983363,127.056569616146,서울특별시 동대문구 전농동 295-431,2547,
MA0101202211A0099165,그로비,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,37.4911901694335,126.924849471525,서울특별시 동작구 신대방동 708,7071,
MA010120220806425665,메종인디아트래블앤북스,,3110916,내방역 4번,서울특별시 서초구 방배로23길 31-43,37.4850959711305,126.992220979928,서울특별시 서초구 방배동 327-6,6680,
MA010120220804760460,델링유,,3110832,노량진초등학교,서울특별시 동작구 장승배기로24길 32,37.510111853339,126.941807544255,서울특별시 동작구 노량진동 232-136,6923,
MA010120220813913200,커피_#샵,,3130155,시영B상가(중계 그린아파트 B 상가),서울특별시 노원구 동일로 1279,37.6430685694466,127.064006644339,서울특별시 노원구 중계동 503,1778,
MA0101202209A0088960,단희,,3130060,신흥시장,서울특별시 용산구 소월로20길 32-1,37.5451201723645,126.985187651195,서울특별시 용산구 용산동2가 1-53,4337,
MA010120220800544081,유니토스엔카페주,,3110667,가양역 10번,서울특별시 강서구 양천로 476,37.5615992911932,126.853281354363,서울특별시 강서구 등촌동 73-1,7575,
MA010120220812135593,카마노,코리아,3110667,가양역 10번,서울특별시 강서구 양천로 476,37.5615992911932,126.853281354363,서울특별시 강서구 등촌동 73-1,7575,
MA0106202201A0963655,롯데컬처웍스㈜롯데시네마가양,,3110667,가양역 10번,서울특별시 강서구 양천로 476,37.5615992911932,126.853281354363,서울특별시 강서구 등촌동 73-1,7575,
MA010120220803750599,Webconey,,3120052,성수역,서울특별시 성동구 아차산로 113,37.5446388751146,127.056895346082,서울특별시 성동구 성수동2가 300-1,4794,
MA010120220813482205,씽씽커피,,3130324,길동복조리시장,서울특별시 강동구 천중로52길 37,37.5390779391966,127.143800533772,서울특별시 강동구 길동 360-4,5344,
MA0101202406A0387719,카페보스,신길점,3110805,신길새마을금고신길4동지점,서울특별시 영등포구 신길로38길 16,37.5056249689119,126.912733510357,서울특별시 영등포구 신길동 235-6,7362,
MA010120220804686815,비브릿지,,3120064,경희대학교(경희대),서울특별시 동대문구 경희대로 9-1,37.5925649821084,127.052232786522,서울특별시 동대문구 회기동 42-84,2454,
MA010120220808496271,차밍디쉬,,3120186,가로수길,서울특별시 강남구 가로수길 41,37.5206747465921,127.022771220475,서울특별시 강남구 신사동 534-20,6028,
MA010120220807096965,정정,,3130042,약수시장,서울특별시 중구 동호로7길 17,37.5530133284502,127.011090628447,서울특별시 중구 신당동 372-49,4596,
MA010120220808607182,카페아에,강남점,3110967,역삼역 8번,서울특별시 강남구 논현로98길 34,37.5044346278199,127.038328338773,서울특별시 강남구 역삼동 671-31,6140,
MA010120220811698001,민스가베,,3130288,신림현대종합상가,서울특별시 관악구 신림로29길 3-20,37.4746259744075,126.933797117011,서울특별시 관악구 신림동 1694,8845,
MA010120220814348210,카페529,,3110824,대방역 3번,서울특별시 동작구 여의대방로54길 14,37.5119234980486,126.926740206836,서울특별시 동작구 대방동 344-1,6939,
MA0101202305A0102437,끼,,3130060,신흥시장,서울특별시 용산구 신흥로 97-6,37.5451922106797,126.984859479168,서울특별시 용산구 용산동2가 1-510,4337,
MA010120220812228674,백스트로크,,3110787,신길3동주민센터,서울특별시 영등포구 가마산로61나길 11,37.5068180691499,126.905912199454,서울특별시 영등포구 신길동 315-8,7383,
MA0101202212A0039773,세드릭커피컴퍼니,,3110096,한남힐사이드아파트,서울특별시 용산구 한남대로42가길 10,37.5432830317163,127.002704403746,서울특별시 용산구 한남동 790-12,4417,
MA0106202201A0655138,원피앤에스,,3120204,르네상스호텔사거리,서울특별시 강남구 테헤란로 301,37.5031175274922,127.043066317303,서울특별시 강남구 역삼동 701-2,6152,
MA010120220810290434,스위트이스트,,3130061,이태원시장,서울특별시 용산구 녹사평대로32길 9,37.5336779253053,126.989410053435,서울특별시 용산구 이태원동 34-91,4390,
MA010120220809696895,피카롱,,3111069,천호1동주민센터,서울특별시 강동구 구천면로42가길 6-2,37.5445376204579,127.136523723653,서울특별시 강동구 천호동 87-4,5311,
MA010120220800375718,샌드데이,미성점,3130278,미성동 도깨비시장 골목형상점가,서울특별시 관악구 미성길 10,37.474587827083,126.916274199955,서울특별시 관악구 신림동 755-14,8864,
MA010120220800323883,빅벨에프앤비,,3130062,보광시장,서울특별시 용산구 보광로 34,37.5274524800855,127.00002262621,서울특별시 용산구 보광동 260-7,4415,
MA010120220802902996,신천비버리지,,3120225,잠실새내역(신천),서울특별시 송파구 백제고분로7길 34,37.5106919377365,127.082646364503,서울특별시 송파구 잠실동 188,5560,
MA010120220808462068,에이치지케이그룹이태원지점,,3120046,이태원(이태원역),서울특별시 용산구 이태원로 187,37.5347144364643,126.994795467046,서울특별시 용산구 이태원동 123-32,4350,
MA010120220803496779,은정,,3130032,인현시장,서울특별시 중구 퇴계로41가길 11-1,37.5630418427203,126.994997229799,서울특별시 중구 인현동2가 189-22,4556,
MA0101202210A0062380,모크커피;MOCC,,3130278,미성동 도깨비시장 골목형상점가,서울특별시 관악구 미성길 7,37.4745519467154,126.91650034245,서울특별시 관악구 신림동 727-15,8864,
MA0101202307A0099353,골든볼,,3110073,삼각지역 3번,서울특별시 용산구 한강대로50길 31,37.5314046561374,126.972417194563,서울특별시 용산구 한강로2가 53-4,4382,
MA0106202411A0018078,채가/구테로이테,사당점,3120160,사당역(사당),서울특별시 서초구 방배천로 5-6,37.4773101455314,126.982046799204,서울특별시 서초구 방배동 444-8,6693,
MA010120220800823163,페라주,,3120160,사당역(사당),서울특별시 서초구 방배천로 11,37.477697608672,126.982238901719,서울특별시 서초구 방배동 444-3,6693,
MA010120220802633659,이루리,,3110096,한남힐사이드아파트,서울특별시 용산구 한남대로42길 31,37.5435443175578,127.002874146229,서울특별시 용산구 한남동 790-4,4417,
MA010120220813578096,죠아찌쥬스,,3130283,신원시장,서울특별시 관악구 신원로5길 33,37.4824427834637,126.927085577052,서울특별시 관악구 신림동 1596-1,8774,
MA010120220800623752,한국농아인협회서울특별시협회은평구지회사,,3110449,증산역 3번,서울특별시 은평구 증산서길 82,37.5835839067762,126.906834614075,서울특별시 은평구 증산동 186-11,3499,
MA010120220806991297,위드미건대입구역점,,3120053,건대입구역(건대),서울특별시 광진구 아차산로 243,37.5404156461388,127.069168978837,서울특별시 광진구 화양동 7-3,5017,
MA010120220808677562,스톡드!,,3110062,한강로동땡땡거리(은행나무길),서울특별시 용산구 한강대로7길 18-13,37.5250858321946,126.962283299566,서울특별시 용산구 한강로3가 40-309,4379,
MA0101202409A0058767,텐퍼센트스페셜티커피서초역점,,3120169,서초역,서울특별시 서초구 서초대로 240,37.4915831894297,127.008345077448,서울특별시 서초구 서초동 1542-1,6647,
MA010120220808609228,휘게릿,,3110912,방배동사이길,서울특별시 서초구 방배로 234,37.4941238948734,126.989924504237,서울특별시 서초구 방배동 773-17,6584,
MA010120220812225091,버치커피,코리아,3110136,경수초등학교,서울특별시 성동구 성수이로16길 27,37.5405379550726,127.059675739599,서울특별시 성동구 성수동2가 269-185,4785,
MA010120220812895797,은정다방,,3110055,황학동벼룩시장,서울특별시 중구 마장로9길 43-30,37.5699331488651,127.018303675663,서울특별시 중구 황학동 29,4571,
MA010120220812338416,골든타임,,3130046,team204(팀204),서울특별시 중구 마장로 34,37.5678074445908,127.013515131547,서울특별시 중구 신당동 204-1,4566,
MA0101202406A0549136,센트럴모굴,,3110120,서울숲카페거리,서울특별시 성동구 서울숲2길 19-18,37.5474385024749,127.041168061689,서울특별시 성동구 성수동1가 685-325,4768,
MA010120220803385477,카토&카토베이커리,,3110062,한강로동땡땡거리(은행나무길),서울특별시 용산구 한강대로7길 22-7,37.5250406074322,126.961740310799,서울특별시 용산구 한강로3가 40-224,4379,
MA010120220806556594,야한생두,,3110127,성수1가1동주민센터,서울특별시 성동구 뚝섬로3길 13,37.5413897152677,127.049221165,서울특별시 성동구 성수동1가 72-71,4780,
MA0101202311A0008437,더오캄더OKLM,,3111080,굽은다리역 3번,서울특별시 강동구 양재대로134길 49,37.5478595979353,127.146306961333,서울특별시 강동구 명일동 339-21,5294,
MA010120220806801868,칠이핫도그,,3110043,충무초등학교,서울특별시 중구 퇴계로50길 43,37.5607894518627,127.001109178101,서울특별시 중구 묵정동 25-17,4618,
MA0101202305A0106484,서서울호수빌딩,,3110596,서서울호수공원,서울특별시 양천구 남부순환로58길 37,37.5291526051051,126.831713804085,서울특별시 양천구 신월동 205-36,7915,
MA010120220813365066,로스터투바리스타,,3130148,방학동도깨비시장,서울특별시 도봉구 도당로13다길 3-29,37.6653890332948,127.035112755394,서울특별시 도봉구 방학동 632-60,1357,
MA010120220805388403,메르씨,,3110043,충무초등학교,서울특별시 중구 퇴계로50길 53,37.5603299432477,127.001131807438,서울특별시 중구 묵정동 22-22,4618,
MA0101202406A0268039,재:주문리-오-더,,3110616,양목초등학교,서울특별시 양천구 목동로9길 22,37.5228219954536,126.862169680332,서울특별시 양천구 신정동 1011-5,8023,
MA010120220813197234,카페리바체,,3110272,신내1동주민센터,서울특별시 중랑구 봉화산로56길 60,37.6061317040269,127.098119878646,서울특별시 중랑구 신내동 410-9,2067,
MA010120220813840104,가배랑솜인사동카페,,3120008,인사동,서울특별시 종로구 인사동길 37,37.5736637576927,126.985181999619,서울특별시 종로구 관훈동 192-35,3149,
MA010120220810051902,극단예술마루,,3120008,인사동,서울특별시 종로구 인사동길 34-1,37.5738710314128,126.985544202494,서울특별시 종로구 관훈동 21,3148,
MA010120220803143190,북바이북,,3120003,광화문역,서울특별시 종로구 새문안로5길 19,37.5720310877557,126.97429263251,서울특별시 종로구 당주동 5,3173,
MA010120220805357787,SGH한방차보감,,3120003,광화문역,서울특별시 종로구 새문안로5길 19,37.5720310877557,126.97429263251,서울특별시 종로구 당주동 5,3173,
MA010120220812577676,오거트,,3130070,뚝섬역상점가,서울특별시 성동구 상원6나길 10,37.5484174265266,127.049418162373,서울특별시 성동구 성수동1가 13-307,4790,
MA0106202206A1265960,벨가우프라,,3110912,방배동사이길,서울특별시 서초구 방배로 232,37.4939617251042,126.990060222641,서울특별시 서초구 방배동 796-1,6584,
MA010120220803245963,찰스커피컴퍼니,,3130166,응암시장(신응암시장),서울특별시 은평구 응암로22길 5-6,37.5941163896275,126.918880678108,서울특별시 은평구 응암동 427-108,3466,
MA0101202301A0021218,스탠퍼독,,3110389,한일병원,서울특별시 도봉구 우이천로 296,37.6442174343094,127.029698000628,서울특별시 도봉구 쌍문동 103-247,1452,
MA010120220811967536,좋은날,,3110797,KT대방빌딩,서울특별시 영등포구 신길로8길 3,37.495675093621,126.909058581355,서울특별시 영등포구 신길동 4750,7436,
MA010120220804967141,래디언트101,,3120012,대학로(혜화역),서울특별시 종로구 대학로 127,37.582566499801,127.001562358702,서울특별시 종로구 명륜4가 30-4,3078,
MA010120220811705624,메이킹유니언,,3110042,남산골공원옆,서울특별시 중구 퇴계로36가길 89,37.5564105178942,126.995314562637,서울특별시 중구 필동2가 122-1,4626,
MA010120220812812489,타오파크,,3120064,경희대학교(경희대),서울특별시 동대문구 경희대로 7-1,37.5923217193841,127.052221293588,서울특별시 동대문구 회기동 16-72,2454,
MA010120220809656504,유캔두잇,수유점,3130136,수유재래시장,서울특별시 강북구 수유로4길 58,37.6320738979418,127.021706260663,서울특별시 강북구 수유동 52-21,1115,
MA0101202302A0059001,박스프레소약수점,,3130042,약수시장,서울특별시 중구 다산로8길 21,37.552842180479,127.010637925409,서울특별시 중구 신당동 366-1,4597,
MA0101202305A0181241,홍카페HONGCAFE,,3110858,신대방역 1번,서울특별시 관악구 신사로10길 9,37.4872278378565,126.914677110636,서울특별시 관악구 신림동 499-54,8702,
MA010120220800437383,실로암,,3110812,신길6동주민센터,서울특별시 영등포구 여의대방로 99,37.4976544967685,126.917503708996,서울특별시 영등포구 신길동 4303,7433,
MA010120220812448273,스포애니불광역커피마마,,3130170,제일시장,서울특별시 은평구 통일로 727-3,37.6102508747877,126.929395995538,서울특별시 은평구 대조동 14-19,3397,
MA0101202409A0246297,보사노바수유역점,,3120076,수유역,서울특별시 강북구 도봉로85길 8,37.6378486309271,127.024676354073,서울특별시 강북구 수유동 229-40,1073,
MA010120220808448882,푸딩카페,,3130285,서원동상점가,서울특별시 관악구 신림로59길 11,37.4829935621185,126.928995822759,서울특별시 관악구 신림동 1638-26,8776,
MA010120220813398437,그릭데이고려대점,,3110313,안암역 3번,서울특별시 성북구 고려대로24길 45,37.5842386506802,127.029583583725,서울특별시 성북구 안암동5가 103-101,2856,
MA0106202204A1098714,달리셔스,,3120198,구역삼세무서,서울특별시 강남구 역삼로 169,37.4955419498777,127.037543521687,서울특별시 강남구 역삼동 747-3,6247,
MA0101202409A0193747,카페동묘,,3130018,동대문문구완구거리(동대문문구완구시장),서울특별시 종로구 종로54길 19,37.5715645213067,127.014149717788,서울특별시 종로구 창신동 330-46,3121,
MA0101202406A0145761,세수대야왕빙수,신림점,3110871,신원동주민센터,서울특별시 관악구 신원로3가길 23,37.4806587243614,126.926985556246,서울특별시 관악구 신림동 1604-22,8774,
MA010120220812380581,파이나무,,3110801,신풍역 6번(신길6동공영주차장),서울특별시 영등포구 신길로 114-1,37.5024608449748,126.910599729805,서울특별시 영등포구 신길동 3485,7393,
MA0101202210A0014161,희망카페신목신협점,,3120110,목동역 8번출구,서울특별시 양천구 오목로 217,37.5260019294436,126.861654750561,서울특별시 양천구 신정동 902-18,7945,
MA010120220807175582,보나때때공방,,3110292,정릉역 2번,서울특별시 성북구 정릉로26길 20,37.6039374893885,127.01136997655,서울특별시 성북구 정릉동 464-23,2814,
MA0101202305A0047302,아도리커피,시흥점,3110742,KT금천빌딩(금천구시설관리공단),서울특별시 금천구 시흥대로39길 8,37.4472857162705,126.902619101826,서울특별시 금천구 시흥동 985-9,8638,
MA010120220800948143,CAFE가끔,,3110742,KT금천빌딩(금천구시설관리공단),서울특별시 금천구 시흥대로39길 8,37.4472857162705,126.902619101826,서울특별시 금천구 시흥동 985-9,8638,
MA0101202406A0179062,리안,,3130216,화곡중앙시장,서울특별시 강서구 월정로30길 52,37.5346405810918,126.838806777303,서울특별시 강서구 화곡동 362-43,7767,
MA010120220813464352,디어다온,,3110564,홍대입구역 3번,서울특별시 마포구 연희로1길 28,37.5602073801233,126.92557247025,서울특별시 마포구 동교동 113-29,3985,
MA010120220806786599,쌈바플스방,,3130318,로데오거리상점가,서울특별시 강동구 올림픽로70길 60,37.5389441930234,127.126850657194,서울특별시 강동구 천호동 454-59,5329,
MA010120220806677482,플랫카페,,3110160,광진경찰서,서울특별시 광진구 자양로23길 73,37.5435957780468,127.083701072073,서울특별시 광진구 구의동 635-2,5023,
MA010120220803049570,라일락,,3120172,교대입구교차로,서울특별시 서초구 사임당로 19,37.4878526788451,127.012234315396,서울특별시 서초구 서초동 1580-8,6649,
MA010120220813493682,더함,,3110482,연신초등학교,서울특별시 은평구 연서로41길 13-3,37.6257918363069,126.927614132023,서울특별시 은평구 불광동 92-5,3343,
MA0101202211A0043391,카페그날,,3110880,신림역 1번,서울특별시 관악구 남부순환로186길 12,37.48405915318,126.933110401036,서울특별시 관악구 신림동 10-277,8779,
MA0101202409A0141880,베오밤,,3110255,상봉역 4번,서울특별시 중랑구 동일로114길 38,37.5935478395484,127.082454830579,서울특별시 중랑구 상봉동 122-18,2139,
MA0101202210A0024050,소서원,,3110082,용산구청,서울특별시 용산구 이태원로14길 45,37.5325157990058,126.991446714334,서울특별시 용산구 이태원동 63-41,4391,
MA0101202211A0055080,고망고경희대점,,3120064,경희대학교(경희대),서울특별시 동대문구 경희대로 8,37.5922404541361,127.052617538443,서울특별시 동대문구 회기동 16-51,2453,
MA0106202308A0047308,토프레소오!커피랩을지로,입구점,3120026,을지로입구역,서울특별시 중구 남대문로 116,37.5674646188863,126.983021269362,서울특별시 중구 남대문로1가 20,4540,
MA010120220814354041,커피를그리다,,3120121,까치산역,서울특별시 강서구 강서로 21,37.529876861673,126.847528393704,서울특별시 강서구 화곡동 898-16,7778,
MA0101202305A0172799,초가집,,3111025,경찰병원역 3번,서울특별시 송파구 동남로13길 41,37.4942288469958,127.125508485645,서울특별시 송파구 가락동 130,5827,
MA0101202302A0112809,과일101,,3110031,창신역 1번,서울특별시 종로구 지봉로 101,37.5792318773402,127.015022880619,서울특별시 종로구 창신동 20-9,3094,
MA010120220812332511,좋은날,,3110075,숙대입구역 1번,서울특별시 용산구 한강대로96길 44,37.5467851013028,126.974063668206,서울특별시 용산구 갈월동 7-77,4334,
MA0101202406A0375990,카페네이슨,,3110934,우면주공아파트,서울특별시 서초구 바우뫼로 23,37.470407073255,127.025254258099,서울특별시 서초구 우면동 64-2,6762,
MA010120220809794554,카페네이슨,,3110934,우면주공아파트,서울특별시 서초구 바우뫼로 23,37.470407073255,127.025254258099,서울특별시 서초구 우면동 64-2,6762,
MA010120220803145491,냥카페묘연,,3110742,KT금천빌딩(금천구시설관리공단),서울특별시 금천구 시흥대로 149,37.4473760871308,126.902946714611,서울특별시 금천구 시흥동 985-8,8638,
MA0101202406A0435658,릴띵스,,3110858,신대방역 1번,서울특별시 관악구 난곡로78길 27,37.4870659335865,126.915061733074,서울특별시 관악구 신림동 499-44,8702,
MA010120220801070827,메이트아이엔씨주,,3120244,암사역,서울특별시 강동구 올림픽로 783,37.5511429000472,127.127606912707,서울특별시 강동구 암사동 502-21,5241,
MA010120220810190917,가배공방,,3130009,마전교지하쇼핑센터(구 한일상가),서울특별시 종로구 동호로38길 18,37.5703219541594,127.003135525378,서울특별시 종로구 종로5가 314-2,3196,
MA010120220806764276,놀숲PC,,3110069,숙대입구,서울특별시 용산구 청파로47길 52,37.5449725097695,126.967648264903,서울특별시 용산구 청파동2가 71-88,4309,
MA010120220813700446,코다,,3110675,화곡4동주민센터,서울특별시 강서구 등촌로13길 59,37.5360374167529,126.860244543144,서울특별시 강서구 화곡동 814-3,7739,
MA0101202305A0072756,선호커피바,,3111011,잠실나루역,서울특별시 송파구 올림픽로37길 130,37.5207748720398,127.104501136051,서울특별시 송파구 신천동 17-4,5507,
MA0101202305A0169282,아쿠아산타서울숲카페,,3130070,뚝섬역상점가,서울특별시 성동구 상원6길 5-1,37.5486879568009,127.04886384165,서울특별시 성동구 성수동1가 13-191,4790,
MA010120220805332886,디커피:DCOFFEE,,3130295,인헌시장(원당종합시장),서울특별시 관악구 인헌6길 16,37.4740990244425,126.966005689879,서울특별시 관악구 봉천동 1638-22,8793,
MA0101202301A0007720,래빗,,3110655,발산역 5번,서울특별시 강서구 공항대로42길 54-35,37.5568731071185,126.842437099303,서울특별시 강서구 내발산동 658-7,7651,
