상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,estimated_population,estimated_population_total
MA010120220800600549,이디아,,3120094,"신촌역(신촌역, 신촌로터리)",서울특별시 서대문구 신촌로 87-20,55064,55064
MA0101202409A0021931,에나꼬레,,3130173,백련시장,서울특별시 서대문구 가재울로6길 53-87,74191,74191
MA010120220810199262,태무든TAEMOODEN,,3110525,홍은종합사회복지관,서울특별시 서대문구 세검정로1길 105,49794,49794
MA0101202311A0083488,두번째디저트,,3110852,이수역 9번,서울특별시 동작구 사당로28길 13,82742,82742
MA0106202406A2465517,스타벅스,신촌,3130175,신촌 상인회(신촌상점가),서울특별시 서대문구 연세로 10-1,16809,16809
MA010120220803658119,이디야사가정점,,3120068,사가정역,서울특별시 중랑구 면목로 325,20231,20231
MA010120220810433268,로스토,,3110037,신설동역 12번,서울특별시 종로구 숭인동길 68,191294,382588
MA0101202311A0016316,청림무역,,3110037,신설동역 12번,서울특별시 종로구 숭인동길 68,191294,382588
MA010120220812360152,9카페,,3120066,장한평역(장한평),서울특별시 동대문구 장한로 3,35096,35096
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,삼호가든사거리,서울특별시 서초구 고무래로10길 5,107294,107294
MA0101202305A0094771,몹시,,3120002,서촌(경복궁역),서울특별시 종로구 자하문로 36,22612,22612
MA010120220800795375,마룬여유,,3110517,서대문소방서,서울특별시 서대문구 연희로26가길 14,115609,115609
MA0101202212A0069021,탐앤탐스홍제역점,,3130176,유진상가,서울특별시 서대문구 통일로 484,10137,20274
MA010120220810013229,홍제동냇길,,3130176,유진상가,서울특별시 서대문구 통일로 484,10137,20274
MA010120220804670501,아케디뜨,,3130060,신흥시장,서울특별시 용산구 신흥로 95-15,34195,34195
MA0101202210A0069909,잇푸쿠,,3110553,가좌역 2번,서울특별시 마포구 성암로3길 34,154891,154891
MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,가인초등학교,서울특별시 도봉구 도봉로136가길 4,35319,35319
MA010120220811453534,까페캠퍼,잠실점,3111004,삼전역 1번,서울특별시 송파구 백제고분로15길 16,106040,106040
MA010120220806570363,설빙,,3120151,보라매공원,서울특별시 관악구 보라매로3길 29,33198,99594
MA0101202308A0030688,매머드익스프레스보라매대교점,,3120151,보라매공원,서울특별시 관악구 보라매로3길 29,33198,99594
MA0101202303A0088204,커피앤김밥,,3120151,보라매공원,서울특별시 관악구 보라매로3길 29,33198,99594
MA0101202212A0063472,원두볶는사람들,,3111050,강동구청(강동구청역 2번),서울특별시 강동구 성내로9길 45,52258,52258
MA0101202406A0348730,이디야커피창동학원가점,,3110409,창동역 2번,서울특별시 도봉구 해등로16길 61,38451,38451
MA0106202406A2465527,스타벅스,고대,3110313,안암역 3번,서울특별시 성북구 고려대로24길 51,80366,80366
MA010120220800594420,앨리스,,3130178,이대 앞 스타트업 상점가,서울특별시 서대문구 이화여대길 52-31,7910,7910
MA010120220814090613,아키비스트,,3110015,청와대사랑채,서울특별시 종로구 효자로13길 52,14872,14872
MA010120220812595540,멜로드,,3130268,상도전통시장,서울특별시 동작구 상도로49길 7,34115,34115
MA0101202307A0029658,요거요거요거트,,3110671,등촌1동주민센터,서울특별시 강서구 공항대로53가길 54,58847,58847
MA010120220807372753,바스크,,3110306,미아초등학교,서울특별시 성북구 삼양로9길 10-2,49874,49874
MA010120220804283432,커피인페르노,,3111042,거여역 1번(거여공원),서울특별시 송파구 거마로9길 24,234871,234871
MA010120220811802533,커피볶는김여사,,3110525,홍은종합사회복지관,서울특별시 서대문구 세검정로1길 107,49794,49794
MA010120220813194426,구루구루,,3110842,흑리단길,서울특별시 동작구 서달로14길 42,20720,20720
MA0101202308A0087121,미쉐,,3130190,홍대소상공인상점가,서울특별시 마포구 홍익로3길 35,22691,22691
MA010120220814138033,디자인정인플러스,,3110283,성북초등학교앞,서울특별시 성북구 성북로15길 32,34187,34187
MA0101202306A0098791,봉명동내커피,,3110438,경춘선숲길 우측,서울특별시 노원구 공릉로41나길 31,89899,89899
MA0101202310A0014635,이디야팀이공사점,,3130046,team204(팀204),서울특별시 중구 마장로 30,34842,34842
MA010120220804369500,메가엠지씨커피창동역점,,3130153,창동역상점가,서울특별시 도봉구 마들로11가길 13,24923,24923
MA010120220813450022,공활,,3110630,공항시장역 1번,서울특별시 강서구 개화동로27나길 43,121001,121001
MA010120220800992852,어깨동무,,3110753,시흥동 은행나무사거리,서울특별시 금천구 금하로24길 46,104989,104989
MA010120220812381987,커피온리,교대역점,3120173,교대역(법원.검찰청),서울특별시 서초구 서초대로 302,50486,50486
MA0101202406A0006355,메가엠지씨커피남부터미널역점,,3120175,남부터미널역,서울특별시 서초구 효령로 310,30446,30446
MA010120220803746048,카페다인,,3130067,왕십리도선동상점가,서울특별시 성동구 왕십리로24길 19,92509,92509
MA010120220805528341,남산#52LAB,,3120027,명동역(명동재미로),서울특별시 중구 퇴계로14길 19,23439,23439
MA010120220812223813,베비아모,,3110433,공릉역 2번,서울특별시 노원구 동일로184길 37,66567,66567
MA010120220813622947,오루베,,3110110,상왕십리역 6번,서울특별시 성동구 왕십리로31길 8,266052,266052
MA010120220812249653,프리커피,,3110900,낙성대역 1번(관악구민 종합체육센터),서울특별시 관악구 낙성대역길 88,194781,194781
MA0101202210A0089507,노브.,,3110405,방학역 1번,서울특별시 도봉구 도당로27길 38,160865,160865
MA010120220810325777,히든아일렛,,3120022,북창동(시청역_6번),서울특별시 중구 세종대로14길 17-5,46754,46754
MA010120220812816297,피카워크샵,,3110129,성원어린이공원,서울특별시 성동구 상원10길 23,9626,9626
MA010120220812692268,셀렉토커피방학역점,,3110410,방학역 2번,서울특별시 도봉구 도봉로152길 16,65209,65209
MA010120220814131733,미러볼커피스탠드,,3120010,원남동사거리,서울특별시 종로구 창경궁로 142,68841,68841
MA010120220808471611,단미제과,,3110359,수유시장옆,서울특별시 강북구 삼양로98길 49,255040,255040
MA010120220806750334,파크사이드,,3110576,대흥역 3번,서울특별시 마포구 백범로16안길 31,36465,36465
MA010120220807072648,코지,,3120229,방이동먹자골목,서울특별시 송파구 올림픽로32길 18,98528,98528
MA010120220805629360,데이데이,,3120072,성신여대,서울특별시 성북구 동소문로22길 14,28257,28257
MA010120220803903262,라운드테이블,,3110300,삼선동주민센터,서울특별시 성북구 보문로30길 40-2,129755,129755
MA010120220812684551,리예몬,,3130100,답십리시장,서울특별시 동대문구 답십리로 159-16,82151,82151
MA0101202406A0003591,미학당,,3110838,상도1동주민센터앞,서울특별시 동작구 상도로37길 81,33334,33334
MA0101202406A0354707,커피베이베이크앤비스트로서순라길점,,3110019,창덕궁,서울특별시 종로구 율곡로10길 27-13,36960,36960
MA0101202306A0081109,컴포즈커피숭실대점,,3130269,강남시장(동작구 강남시장),서울특별시 동작구 상도로 357,44533,44533
MA010120220812045492,집생로커피,,3110166,구의1동주민센터,서울특별시 광진구 아차산로51길 90,136037,136037
MA010120220805502965,에그허그,,3110179,광나루역 1번,서울특별시 광진구 천호대로143길 8-5,67396,67396
MA010120220804498801,뷰파트너스주,,3120187,신논현역,서울특별시 강남구 봉은사로 107,40750,40750
MA0101202212A0097331,현욱기획,,3130308,청담삼익시장,서울특별시 강남구 학동로101길 26,10440,20880
MA0106202201A0722612,커피를만드는사람들,,3130308,청담삼익시장,서울특별시 강남구 학동로101길 26,10440,20880
MA010120220803865372,카페오,,3130081,자양골목전통시장(자양골목시장),서울특별시 광진구 자양로13나길 27,372106,372106
MA0101202409A0141583,퐁치커피익스프레스,공릉점,3110434,태릉입구역 4번,서울특별시 노원구 동일로176길 19-20,60359,60359
MA0106202406A2464980,스타벅스,강남역신분당역사,3120192,뱅뱅사거리,서울특별시 강남구 강남대로 302-2,35592,35592
MA010120220812515182,하우스브란트,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,5809,17427
MA010120220806653613,카페301,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,5809,17427
MA010120220803675047,퀼트카페인,,3110908,구반포역,서울특별시 서초구 신반포로3길 8,5809,17427
MA0101202406A0075604,컴포즈양천신곡점,,3130205,신곡종합시장(신월6동 골목시장),서울특별시 양천구 신월로 170,12357,12357
MA0101202311A0105550,스타트카페,,3130024,남대문시장(자유상가),서울특별시 중구 남대문시장4길 9,56368,112736
MA010120220800117732,커피집,,3130024,남대문시장(자유상가),서울특별시 중구 남대문시장4길 9,56368,112736
MA010120220814124659,나를위한하루날위한커피,사당점,3110851,경문고등학교(동작동성당),서울특별시 동작구 동작대로35길 53,276288,276288
MA010120220806848914,카페크레프리,,3110383,덕성여대시반거리,서울특별시 도봉구 삼양로144길 18,5372,5372
MA010120220806476231,커피프릭COFFEEFREAK,,3130198,아현시장,서울특별시 마포구 굴레방로7길 22,91180,91180
MA010120220802780322,골목카페,,3120009,종로3가역,서울특별시 종로구 돈화문로9길 17,50481,50481
MA010120220806496281,구움블루스,,3120113,오목교역,서울특별시 양천구 오목로56길 5,73040,73040
MA0101202302A0078446,메가엠지씨커피방배카페,거리점,3120162,방배동카페골목,서울특별시 서초구 방배중앙로 188,35022,35022
MA0101202310A0029065,네스트앤드위스탠연남마포지점,,3110564,홍대입구역 3번,서울특별시 마포구 연희로1길 18,33532,33532
MA0101202301A0001083,카페청량,,3130095,청량리전통시장,서울특별시 동대문구 홍릉로3길 18,113102,113102
MA0101202406A0524166,문보드레,,3110608,신월2동주민센터,서울특별시 양천구 오목로15길 22,154908,154908
MA010120220802054670,커피도가헤리티지,,3130179,"이화여대 3,5,7길 상점가",서울특별시 서대문구 이화여대5길 9,28604,28604
MA0101202309A0037814,꾸에바마테라,,3130060,신흥시장,서울특별시 용산구 소월로20길 28-1,34195,34195
MA010120220800854284,매머드익스프레스,여의도점,3120148,국회의사당역(국회의사당),서울특별시 영등포구 국회대로70길 22,4533,4533
MA010120220807773162,더로비,,3110393,국민은행방학지점,서울특별시 도봉구 방학로 171-5,12241,12241
MA0101202301A0080507,바바아시,,3110177,동의초등학교,서울특별시 광진구 자양로50길 48,28594,28594
MA0101202406A0459675,수유상점101,,3130138,수유프라자,서울특별시 강북구 도봉로 261,12280,24560
MA0101202306A0054244,커피마마퀸,,3130138,수유프라자,서울특별시 강북구 도봉로 261,12280,24560
MA0101202210A0034673,업사이드커피을지로,,3120033,을지로4가역,서울특별시 중구 을지로 167,39346,39346
MA010120220804108887,그랑카페,,3111055,선사초등학교,서울특별시 강동구 고덕로3길 10,32095,32095
MA0101202305A0146430,이디야커피망우역점,,3110265,망우역 1번,서울특별시 중랑구 망우로55길 11-10,66423,66423
MA010120220814019498,트래버틴용산,,3110062,한강로동땡땡거리(은행나무길),서울특별시 용산구 한강대로7길 18-7,25013,25013
MA010120220807721966,디저트39,,3120109,서울남부지방법원,서울특별시 양천구 신월로 350,29755,29755
MA010120220811871907,사랑방,,3130250,삼구시장(로타리상가),서울특별시 영등포구 영등포로 219,28267,56534
MA010120220808832530,로타리휴계실,,3130250,삼구시장(로타리상가),서울특별시 영등포구 영등포로 219,28267,56534
MA0101202308A0016993,삼이일공커피공장,,3110938,바우뫼공원,서울특별시 서초구 양재천로11길 11,31678,31678
MA010120220810577365,토마토,,3110577,용강동주민센터,서울특별시 마포구 토정로31길 63,83538,83538
MA0101202406A0046626,수빈70,,3110177,동의초등학교,서울특별시 광진구 자양로50길 54,28594,28594
MA010120220803980265,커피오리진,,3110364,미아역 8번,서울특별시 강북구 솔매로41길 39,613922,613922
MA010120220803674019,메가엠지씨커피강동역점,,3111068,강동성심병원,서울특별시 강동구 천호대로 1107,91059,91059
MA010120220806880475,카페502호,,3130107,중랑동부시장(중랑교종합상가),서울특별시 중랑구 망우로32길 23,38554,38554
MA010120220803878389,이앤에스에스,,3110559,성산중학교,서울특별시 마포구 독막로6길 27,31236,31236
MA010120220805703628,건강한농부사회적협동조합,,3110734,금천파출소,서울특별시 금천구 시흥대로61길 31,35656,35656
MA010120220813342186,크레마노,해방촌점,3130060,신흥시장,서울특별시 용산구 소월로20길 28,34195,34195
MA0101202406A0061679,카페인중독,문정점,3111026,문정역 2번,서울특별시 송파구 문정로4길 26,69024,69024
MA010120220813711418,카페보보,,3110424,상계초등학교,서울특별시 노원구 상계로9가길 26,228092,228092
MA010120220812329257,금호알베르,,3110107,금호사거리,서울특별시 성동구 금호로3길 14,12848,25696
MA010120220805446012,알베르금호,,3110107,금호사거리,서울특별시 성동구 금호로3길 14,12848,25696
MA010120220802964354,다나제과,,3130178,이대 앞 스타트업 상점가,서울특별시 서대문구 이화여대길 52-33,7910,7910
MA010120220806478777,커피베이성수세종,타워점,3130071,성수역 골목형상점가,서울특별시 성동구 성수일로10길 26,52705,52705
MA010120220800219104,메르센,,3130192,동진시장,서울특별시 마포구 성미산로 198,11490,34470
MA010120220808123411,카페네이,,3130192,동진시장,서울특별시 마포구 성미산로 198,11490,34470
MA010120220800209837,카페리브레,,3130192,동진시장,서울특별시 마포구 성미산로 198,11490,34470
MA0106202201A0153478,커피빈순화점,코리아,3120019,경찰청앞교차로,서울특별시 중구 통일로 78,23975,23975
MA010120220805376837,커피에반하다,,3130196,공덕시장,서울특별시 마포구 만리재로 15,13925,41775
MA0101202307A0051907,컴포즈커피,공덕역점,3130196,공덕시장,서울특별시 마포구 만리재로 15,13925,41775
MA010120220809331537,쥬씨,공덕점,3130196,공덕시장,서울특별시 마포구 만리재로 15,13925,41775
MA010120220806528090,빌리지,,3110096,한남힐사이드아파트,서울특별시 용산구 한남대로42길 23,33941,33941
MA0106202201A1608036,MAAT커피브루어스,,3110132,성수2가3동주민센터,서울특별시 성동구 광나루로4길 9,56240,56240
MA0101202311A0063989,퓨쳐마인드,,3110924,반포4동주민센터(몽마르뜨공원),서울특별시 서초구 동광로49길 88,210004,210004
MA010120220814335806,좋은피플,,3130101,답십리현대시장,서울특별시 동대문구 전농로4가길 8,500872,500872
MA0101202311A0057925,컴포즈커피가양초점,,3110674,강서구청가양동별관,서울특별시 강서구 양천로59길 46,21445,21445
MA0101202406A0496575,효녀가수이효정네한방찻집,,3110576,대흥역 3번,서울특별시 마포구 백범로16안길 29,36465,36465
MA010120220800189855,쿠나,,3130191,홍대 걷고싶은 거리,서울특별시 마포구 어울마당로 136-3,11956,11956
MA010120220803540686,OMG도넛앤커피,,3130293,봉천중앙시장,서울특별시 관악구 관악로 211,39622,39622
MA0101202409A0015864,카페메디치,,3120157,신림역(신림),서울특별시 관악구 신림로 340,111500,223000
MA010120220813228155,카페메디치,,3120157,신림역(신림),서울특별시 관악구 신림로 340,111500,223000
MA010120220813289327,스탠다드,,3120039,신당역,서울특별시 중구 퇴계로 397,89237,89237
MA010120220811770920,써밋,,3110435,서울과학기술대,서울특별시 노원구 공릉로 229-1,12583,25166
MA010120220804426732,엠에스씨커피,,3111020,방이동고분군(방산고등학교),서울특별시 송파구 오금로27길 8,27541,27541
MA010120220803544182,을지다방,,3120031,을지로3가역,서울특별시 중구 을지로 124-1,30032,30032
MA0101202309A0079520,매머드커피강남,구청점,3120203,강남구청역,서울특별시 강남구 선릉로129길 11,37098,37098
MA010120220811982063,고스트요거트,,3130178,이대 앞 스타트업 상점가,서울특별시 서대문구 이화여대길 52-15,7910,7910
MA010120220803832299,할리스,,3120053,건대입구역(건대),서울특별시 광진구 아차산로 235,27030,54060
MA010120220813329261,다빈치보드게임,,3120053,건대입구역(건대),서울특별시 광진구 아차산로 235,27030,54060
MA010120220811946517,헬카페,,3110068,남영역 1번,서울특별시 용산구 원효로89길 33,97379,97379
MA0101202305A0182284,바나타이거,양산점,3110879,신림현대아파트,서울특별시 관악구 양산길 1,70194,70194
MA010120220812936847,오카보카커피,,3120050,서울숲역,서울특별시 성동구 성수일로1길 18,19873,19873
MA010120220813466674,더앨리,홍대점,3130190,홍대소상공인상점가,서울특별시 마포구 어울마당로 88,22691,22691
MA010120220805037015,텐티북스,,3110076,삼각지역 14번,서울특별시 용산구 이태원로 4,26300,26300
MA0101202309A0026548,아비삭베이글,,3130058,이촌종합시장,서울특별시 용산구 이촌로75길 16-9,31943,31943
MA0101202406A0326897,필링커피,,3130118,정릉골 골목형상점가,서울특별시 성북구 보국문로16길 60,99808,99808
MA0101202311A0102365,카페달,,3110468,응암역 3번,서울특별시 은평구 진흥로1나길 2,120740,120740
MA010120220806700247,탐앤탐스사가정역점,,3120068,사가정역,서울특별시 중랑구 면목로45길 3-10,20231,20231
MA0101202411A0081318,하삼동금호역점,,3120048,금호역,서울특별시 성동구 장터길 34,128826,128826
MA010120220813699361,인터내셔널티컴퍼니,,3120208,청담사거리(청담동명품거리),서울특별시 강남구 압구정로79길 8,32974,32974
MA010120220803148675,슬라브,,3110544,망리단길,서울특별시 마포구 포은로 87,47615,47615
MA010120220813656456,별와플,,3130258,영진시장A동,서울특별시 영등포구 신풍로 87,19257,19257
MA010120220809207218,더그린,,3110271,신내역 1번,서울특별시 중랑구 용마산로139길 49,43535,43535
MA010120220803098669,카페글락,,3110990,청담역 12번,서울특별시 강남구 영동대로131길 16,28484,28484
MA0106202201A0153173,커피빈이태원점,코리아,3120046,이태원(이태원역),서울특별시 용산구 이태원로 189,39608,39608
MA010120220807386355,자작나무,,3120159,서울대입구역,서울특별시 관악구 남부순환로 1820,73837,147674
MA010120220801138917,브로커피앤쥬스,,3120159,서울대입구역,서울특별시 관악구 남부순환로 1820,73837,147674
MA0106202303A2117369,돌상cafe돌상카페,,3120044,삼각지역,서울특별시 용산구 한강대로62길 26,28380,28380
MA010120220808581989,꼴라보하우스도산,,3110962,도산공원북측,서울특별시 강남구 언주로164길 21-3,42981,42981
MA010120220808485009,와다당,,3110597,신월1동주민센터,서울특별시 양천구 곰달래로5길 60,225553,225553
MA0101202409A0189004,타미,,3110028,이화달팽이길,서울특별시 종로구 율곡로23길 38-5,209748,209748
MA010120220811794135,투썸플레이스,,3120022,북창동(시청역_6번),서울특별시 중구 세종대로14길 15,46754,46754
MA0101202310A0036144,오랑오랑,,3130060,신흥시장,서울특별시 용산구 소월로20길 26-14,34195,34195
MA010120220805156221,로스티드바이,,3110755,동일여자고등학교,서울특별시 금천구 금하로29길 22,62791,62791
MA010120220806610132,마피아백다방,,3130050,청평화시장,서울특별시 중구 다산로 293,19787,59361
MA010120220812118389,별다방,,3130050,청평화시장,서울특별시 중구 다산로 293,19787,59361
MA010120220805243579,이트커피,,3130050,청평화시장,서울특별시 중구 다산로 293,19787,59361
MA010120220807821180,비바라비다,,3130016,동대문상가B동,서울특별시 종로구 청계천로 307,35018,35018
MA010120220803495685,카페달콤한오늘,,3130051,동화동 골목형상점가,서울특별시 중구 다산로42나길 46,184875,184875
MA0101202406A0132772,그라미,성신여대점,3120072,성신여대,서울특별시 성북구 동소문로22길 16,28257,28257
MA010120220808569664,예설스페이스,,3110179,광나루역 1번,서울특별시 광진구 아차산로73길 25,67396,67396
MA010120220809788368,하나원컴퍼니,,3110026,종로5가역 4번,서울특별시 종로구 종로41가길 12-10,263831,263831
MA0101202409A0101727,봉명동내커피,성북점,3110314,종암경찰서,서울특별시 성북구 종암로21길 67,81592,81592
MA010120220813750887,할루카연구소,,3110938,바우뫼공원,서울특별시 서초구 양재천로11길 12,31679,31679
MA010120220813713548,아리스타충무로점,,3120030,중부경찰서(영화인의거리),서울특별시 중구 수표로 15-1,39106,39106
MA010120220813996290,오살랑마켓,,3110402,도봉구 정병원,서울특별시 도봉구 도봉로143길 50,47960,47960
MA0101202409A0232651,오늘의커피,,3110470,신진과학기술고등학교,서울특별시 은평구 은평로8길 35-2,150976,150976
MA010120220800440925,라온,,3110812,신길6동주민센터,서울특별시 영등포구 여의대방로19길 4-1,78753,78753
MA0101202406A0088328,메가엠지씨커피구로고척,시장점,3130227,고척골목시장상점가(그라운드 고척),서울특별시 구로구 경인로47길 107,26398,52796
MA010120220814228547,한국영파머스클럽,,3130227,고척골목시장상점가(그라운드 고척),서울특별시 구로구 경인로47길 107,26398,52796
MA010120220808021896,차차티클럽,,3120016,동대문역,서울특별시 종로구 종로46가길 13,104667,104667
MA0101202307A0053635,카페너와,,3130178,이대 앞 스타트업 상점가,서울특별시 서대문구 이화여대길 72-6,7910,7910
MA010120220805062732,리프커피바,,3111013,송파나루역 1번(송리단길),서울특별시 송파구 백제고분로43길 24,41624,41624
MA0101202210A0042933,홍콩다방중랑,구청점,3130113,신아타운,서울특별시 중랑구 봉화산로 194,8308,41540
MA0101202308A0043289,빽다방중랑,구청점,3130113,신아타운,서울특별시 중랑구 봉화산로 194,8308,41540
MA010120220802889192,바리스타폴커피칸타타,,3130113,신아타운,서울특별시 중랑구 봉화산로 194,8308,41540
MA010120220803226363,커피베이중랑,구청점,3130113,신아타운,서울특별시 중랑구 봉화산로 194,8308,41540
MA0101202411A0036766,공차중랑,구청점,3130113,신아타운,서울특별시 중랑구 봉화산로 194,8308,41540
MA010120220805010295,향기나는굴뚝,,3110909,남태령역(서울전자고등학교),서울특별시 서초구 전원말안1길 3-3,21669,21669
MA0101202406A0480611,커피바102,,3110346,4.19민주묘지역 2번,서울특별시 강북구 삼양로141길 15-13,118927,118927
MA010120220811971488,피프틴커피,,3130060,신흥시장,서울특별시 용산구 신흥로 97-1,34195,34195
MA010120220802972446,카페소소,,3110371,삼양입구사거리,서울특별시 강북구 솔샘로64길 21,146753,146753
MA0101202308A0092339,구하니커피,,3130099,전농로터리시장,서울특별시 동대문구 전농로15길 21,93263,93263
MA010120220806928741,이디야커피오금,중앙점,3111032,방이역 1번,서울특별시 송파구 위례성대로22길 18,59040,59040
MA0101202409A0034113,자몽자몽,신대방점,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA010120220812296005,매머드익스프레스보라매공원점,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA010120220808440153,카페,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA0101202406A0342283,칼도에스프레소바,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA010120220809806690,마리크루아상,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA0101202211A0099165,그로비,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA0106202301A1337298,체크커피,,3120151,보라매공원,서울특별시 동작구 보라매로3길 29,33198,232386
MA010120220806658531,투썸플레이스,교대역점,3120173,교대역(법원.검찰청),서울특별시 서초구 서초대로 304,50485,50485
MA010120220804546617,피컨트,,3110082,용산구청,서울특별시 용산구 녹사평대로32길 57,17351,17351
MA010120220805491881,소적두,성수점,3130070,뚝섬역상점가,서울특별시 성동구 상원6길 8,19729,19729
MA010120220800023103,수요일,,3120008,인사동,서울특별시 종로구 인사동길 36,20766,20766
MA0101202406A0168573,카페코르안암점,,3110304,보문역 4번,서울특별시 성북구 보문로26길 40,121112,121112
MA010120220806425665,메종인디아트래블앤북스,,3110916,내방역 4번,서울특별시 서초구 방배로23길 31-43,122923,122923
MA010120220814008682,이알커피연희,,3110510,홍연시장,서울특별시 서대문구 홍연길 80,278981,278981
MA010120220814085021,채one,,3111086,한영중고,서울특별시 강동구 동남로65길 26,30141,30141
MA0101202409A0024377,컴포즈커피,화곡역점,3120120,화곡역,서울특별시 강서구 화곡로 154,69234,69234
MA010120220800938547,석커피숍,,3130235,대명여울빛거리시장(대명시장),서울특별시 금천구 시흥대로52길 46,27492,27492
MA0101202301A0103400,빽다방개봉역,북부점,3110703,개봉역,서울특별시 구로구 경인로40길 41,80460,80460
MA010120220801045304,커피더주다,,3110983,국립국악고등학교,서울특별시 강남구 개포로28길 19,113121,113121
MA0101202406A0116985,오늘의당도,,3110857,미성동주민센터,서울특별시 관악구 문성로16가길 40,368851,368851
MA010120220804760460,델링유,,3110832,노량진초등학교,서울특별시 동작구 장승배기로24길 32,132397,132397
MA010120220812276273,리프레셔스,,3120163,사당역 11번(사당역먹자골목),서울특별시 서초구 청두곶6길 8,240961,240961
MA010120220811805866,크로플로신당점,,3130049,신당 미래유산 먹거리 골목형상점가,서울특별시 중구 다산로 219,79593,79593
MA0101202406A0371539,풀떼기,,3120172,교대입구교차로,서울특별시 서초구 효령로53길 67,62899,62899
MA010120220808019542,타자기,,3130060,신흥시장,서울특별시 용산구 신흥로 97-5,34195,34195
MA0101202411A0068711,오즈커피&맥주,,3130155,시영B상가(중계 그린아파트 B 상가),서울특별시 노원구 동일로 1279,14028,42084
MA0101202406A0417205,지금;여기커피앤비어,,3130155,시영B상가(중계 그린아파트 B 상가),서울특별시 노원구 동일로 1279,14028,42084
MA010120220813913200,커피_#샵,,3130155,시영B상가(중계 그린아파트 B 상가),서울특별시 노원구 동일로 1279,14028,42084
MA010120220812336066,렌테,,3110562,연트럴파크(연남동주민센터),서울특별시 마포구 동교로41길 31,19745,39490
