상가업소번호,상호명,지점명,kakao_score,kakao_reviewCount,naver_score,naver_reviewCount
MA0101202411A0167985,고품격커피공장서일점,,3.7,3.0,4.88,5
MA0101202211A0096342,고품격커피공장이수점,,4.3,10.0,,30
MA0101202406A0092451,고품격커피공장포이,사거리점,,,,0
MA010120220806432998,고호재롯데월드몰점,,4.1,35.0,,87
MA010120220804757987,고희,,4.6,28.0,,82
MA010120220806860993,곤트란쉐리에,금천구청역점,3.1,13.0,,87
MA0101202406A0575196,곤트란쉐리에,대치점,3.5,17.0,,87
MA010120220804785986,골드버튼커피,,3.9,30.0,,429
MA0101202411A0105461,골드빈,,,,4.47,26
MA010120220812308742,골드윤네일앤뷰티,,,,,
MA010120220813878622,골든라이언,,4.1,17.0,,160
MA0101202307A0099353,골든볼,,,,4.57,1
MA0101202406A0310881,골든볼더현대서울점,,3.3,9.0,,
MA010120220800511498,골든서울호텔커피숍투썸플레이스,,3.8,32.0,,
MA010120220804275478,골든커피로스터스,,4.0,12.0,4.34,65
MA010120220809637567,골든크레마,,2.3,42.0,4.31,147
MA010120220812338416,골든타임,,,,4.44,0
MA010120220804386922,골든트리개발,,,,,
MA0101202406A0571500,골든피스더현대팝업점,,,,,
MA0101202310A0019204,골든피스팝업점,,,,,
MA0101202406A0422821,골목,,,,,12
MA010120220810169514,골목길카페,,,,,0
MA010120220808167732,골목숲,,,,4.8,22
MA010120220802780322,골목카페,,,,4.47,888
MA010120220800085352,골목카페,,,,4.47,888
MA010120220805173809,골목카페,,4.0,3.0,4.47,888
MA010120220800152764,골목커피,,5.0,2.0,4.53,2
MA010120220800299608,골프인에스프레소,,,,4.15,2
MA010120220805810603,골프존뉴딘,,,,,
MA0101202212A0041848,곰곰다방,,4.7,6.0,4.86,28
MA0101202309A0086654,곰돌카페,,5.0,1.0,,37
MA010120220809716573,곰미커피,,3.8,6.0,4.37,39
MA010120220809680100,곰발커피,,3.8,25.0,4.42,88
MA0101202309A0026278,곰발커피후암동점,,4.9,15.0,4.49,45
MA010120220813246286,곰숲카페,,5.0,5.0,,10
MA010120220800363609,곰식，s카페,,3.3,6.0,,
MA0101202306A0035594,곰양,,3.0,4.0,,1
MA010120220814090403,곰작,,2.7,6.0,4.44,35
MA010120220800508988,곰작가네꿀커피,,,,,
MA010120220813265763,곰탱이커피,,5.0,1.0,,2
MA010120220811124532,곳온니플레이스MOFAT,,4.1,32.0,,201
MA010120220800219010,공간,,3.7,7.0,4.83,298
MA010120220806681991,공간,,,,4.83,298
MA010120220812292694,공간,,5.0,2.0,4.83,298
MA010120220804260700,공간,,,,4.83,298
MA010120220812984038,공간,,4.7,3.0,4.83,298
MA0101202411A0133684,공간&아지트커피,,,,3.2,1
MA010120220807053319,공간21,,,,4.4,33
MA010120220803586246,공간21s,,4.2,15.0,4.54,158
MA010120220812681396,공간;공감,,5.0,4.0,,78
MA010120220812606359,공간A.B.C,,,,,1
MA010120220802685012,공간갑,,3.9,96.0,4.71,"2,899"
MA0101202305A0097465,공간곡선커피,,,,,
MA0101202406A0357780,공간다반사양평,,5.0,3.0,,22
MA010120220806028910,공간빛,,4.3,4.0,4.0,21
MA010120220805336691,공간사이,,,,,0
MA010120220812915855,공간이도,,,,,
MA010120220800874094,공감,,1.0,3.0,,5
MA010120220813791615,공감,,4.2,5.0,,5
MA010120220812430341,공감,,2.0,1.0,,5
MA010120220806274987,공감,,,,,5
MA010120220808299239,공감상회,,,,,5
MA010120220807412212,공공커피,,,,,14
MA0101202212A0082698,공덕리커피,,4.8,26.0,,40
MA0101202306A0000479,공덕역롯데빽다방,캐슬점,3.9,12.0,,2
MA010120220800211802,공드린,,,,,0
MA0101202305A0111206,공들인,,4.7,22.0,4.67,162
MA0101202406A0053223,공릉다방,,4.3,3.0,4.34,9
MA010120220804047219,공릉동편한커피,,4.1,8.0,,16
MA010120220811082120,공릉볼링센타;공릉카페,,3.0,6.0,,
MA0101202308A0090424,공리로스팅팩토리,,4.7,7.0,4.64,20
MA010120220800458405,공리로스팅팩토리,,,,4.64,20
MA0101202303A0059090,공명,홍대점,4.5,205.0,,1
MA0101202311A0065293,공명서울작업실,합정점,4.8,97.0,,312
MA0101202301A0063978,공명연남점,,4.2,330.0,,"1,801"
MA010120220813135279,공방163,,,,,0
MA010120220806637970,공백,,4.9,13.0,,35
MA010120220808482281,공부공간,,,,,1
MA010120220808194824,공사공삼,,4.3,16.0,4.69,52
MA010120220811228199,공상온도,,3.9,89.0,4.43,903
MA010120220814363176,공유KYOUYUU,2호점,4.8,10.0,4.67,246
MA010120220810823423,공유랑카페영등포공유랑점,,,,,
MA010120220813286843,공음,,,,,318
MA0101202306A0002988,공이도시,,4.8,6.0,,28
MA010120220813561778,공일이이,,,,,
MA010120220800872151,공일일커피호프,,,,,
MA0101202406A0206618,공일토스트달보드레,,5.0,3.0,,1
MA010120220800213415,공작,,,,4.96,133
MA010120220814319329,공정무역평화다방,,,,,2
MA010120220808672646,공정창업연구소더매칭,,,,,
