,상가업소번호,법정동코드,고유번호,지번,상호명,지점명,TRDAR_CD,건축물면적(㎡),접한길이_m,도로2m이내접촉길이_m,교차로_존재_여부
43,MA010120220811453534,1171010100,1.17101010010233e+18,233,까페캠퍼,잠실점,3111004,0.0,0.0,40.50759622575106,False
44,MA010120220806570363,1162010100,1.16201010010729e+18,729-32,설빙,,3120151,2411.37,0.0,0.0,False
45,MA0101202308A0030688,1162010100,1.16201010010729e+18,729-32,매머드익스프레스보라매대교점,,3120151,2411.37,0.0,0.0,False
46,MA0101202303A0088204,1162010100,1.16201010010729e+18,729-32,커피앤김밥,,3120151,2411.37,0.0,0.0,False
47,MA0101202212A0063472,1174010800,1.17401080010534e+18,534-18,원두볶는사람들,,3111050,113.52,0.0,25.28731093413356,False
48,MA0101202406A0348730,1132010700,1.13201070010288e+18,288-40,이디야커피창동학원가점,,3110409,110.83,12.180501706858374,44.21087761141287,True
49,MA0106202406A2465527,1129012500,1.12901250010104e+18,104-30,스타벅스,고대,3110313,649.77,1.965690781871906,46.99364218747054,False
50,MA010120220800594420,1141011200,1.14101120010034e+18,34-23,앨리스,,3130178,62.51,0.0,23.105111586120422,False
51,MA010120220814090613,1111010400,1.11101040010164e+18,164-7,아키비스트,,3110015,,,,
52,MA010120220812595540,1159010200,1.15901020010465e+18,465-16,멜로드,,3130268,175.45,0.0,32.64397244505239,False
53,MA0101202307A0029658,1150010200,1.15001020010643e+18,643-1,요거요거요거트,,3110671,77.76,0.0,0.0,False
54,MA010120220807372753,1129013400,1.12901340011171e+18,1171-14,바스크,,3110306,0.0,0.0,40.10496133637386,True
55,MA010120220804283432,1171011300,1.17101130010135e+18,135-19,커피인페르노,,3111042,,,,
56,MA010120220811802533,1141011800,1.14101180010036e+18,36-3,커피볶는김여사,,3110525,,,,
57,MA010120220813194426,1159010500,1.15901050010043e+18,43-38,구루구루,,3110842,90.71,21.95781640562672,35.57757017751051,False
58,MA0101202308A0087121,1144012000,1.14401200010365e+18,365-17,미쉐,,3130190,20.51,0.0,35.48880796441108,False
59,MA010120220814138033,1129010100,1.12901010010125e+18,125-6,디자인정인플러스,,3110283,74.84,0.0,14.29935300644014,True
60,MA0101202306A0098791,1135010300,1.13501030010408e+18,408-26,봉명동내커피,,3110438,84.65,14.180535457441517,30.500836194316243,False
61,MA0101202310A0014635,1114016200,1.11401620010204e+18,204-48,이디야팀이공사점,,3130046,611.99,0.0,0.0,True
62,MA010120220804369500,1132010700,1.13201070010004e+18,4,메가엠지씨커피창동역점,,3130153,388.0,0.0,0.0,False
63,MA010120220813450022,1150010900,1.15001090010615e+18,615-54,공활,,3110630,112.57,15.281462184884091,35.25097216173795,False
64,MA010120220800992852,1154510300,1.15451030010924e+18,924-10,어깨동무,,3110753,97.02,10.825407212127582,29.806979923338552,False
65,MA010120220812381987,1165010800,1.16501080011673e+18,1673-1,커피온리,교대역점,3120173,206.25,0.0,34.844635359660046,False
66,MA0101202406A0006355,1165010800,1.16501080011445e+18,1445-1,메가엠지씨커피남부터미널역점,,3120175,0.0,0.0,0.0,True
67,MA010120220803746048,1120010400,1.12001040010185e+18,185-27,카페다인,,3130067,47.67,11.837733822969346,39.427940439830735,False
68,MA010120220805528341,1114012300,1.11401230010009e+18,9-15,남산#52LAB,,3120027,20.27,0.0,19.40736636404688,False
69,MA010120220812223813,1135010300,1.13501030010513e+18,513-47,베비아모,,3110433,70.46,4.416717441535147,30.786422226943543,False
70,MA010120220813622947,1120010200,1.1200102001089004e+18,890-381,오루베,,3110110,0.0,4.6792469614842185,23.75432052248945,False
71,MA010120220812249653,1162010100,1.1620101001019602e+18,196-114,프리커피,,3110900,81.98,7.623972183566723,32.54476081274675,False
72,MA0101202210A0089507,1132010600,1.1320106001065e+18,650-3,노브.,,3110405,193.17,0.0,14.398795000361885,False
73,MA010120220810325777,1114011300,1.11401130010018e+18,18-7,히든아일렛,,3120022,0.0,9.339675176404873,30.97070418488752,False
74,MA010120220812816297,1120011400,1.1200114001001304e+18,13-384,피카워크샵,,3110129,63.91,0.0,17.15185305013567,False
75,MA010120220812692268,1132010600,1.13201060010719e+18,719-2,셀렉토커피방학역점,,3110410,1521.66,0.0,0.0,False
76,MA010120220814131733,1111015900,1.11101590010084e+18,84-2,미러볼커피스탠드,,3120010,,,,
77,MA010120220808471611,1130510300,1.13051030010028e+18,28-18,단미제과,,3110359,89.34,8.063751798548065,27.168696851398675,False
78,MA010120220806750334,1144010800,1.14401080010241e+18,241-40,파크사이드,,3110576,62.59,0.0,17.360293134941728,False
79,MA010120220807072648,1171011100,1.17101110010064e+18,64-6,코지,,3120229,269.2,0.850097423339953,64.14700534683666,False
80,MA010120220805629360,1129011600,1.12901160010002e+18,2-2,데이데이,,3120072,83.8,13.641877919725664,22.71716133391836,False
81,MA010120220803903262,1129012100,1.12901210010009e+18,9,라운드테이블,,3110300,62.22,8.878575854752505,38.98816781707405,False
82,MA010120220812684551,1123010500,1.1230105001007e+18,70-9,리예몬,,3130100,0.0,0.0,28.398669764022756,False
83,MA0101202406A0003591,1159010200,1.15901020010485e+18,485-1,미학당,,3110838,234.52,0.0,31.867304894557304,False
84,MA0101202406A0354707,1111013100,1.11101310010171e+18,171-6,커피베이베이크앤비스트로서순라길점,,3110019,101.31,13.75684437855042,49.44479242483723,False
85,MA0101202306A0081109,1159010200,1.15901020010488e+18,488,컴포즈커피숭실대점,,3130269,981.02,47.56313168031607,70.50006631278389,False
86,MA010120220812045492,1121510300,1.12151030010248e+18,248-87,집생로커피,,3110166,,,,
87,MA010120220805502965,1121510400,1.12151040010245e+18,245-7,에그허그,,3110179,118.32,0.0,35.28258919401417,False
88,MA010120220804498801,1168010800,1.16801080010201e+18,201-16,뷰파트너스주,,3120187,0.0,0.0,0.0,False
89,MA0101202212A0097331,1168010400,1.16801040010134e+18,134-20,현욱기획,,3130308,0.0,0.0,0.0,False
90,MA0106202201A0722612,1168010400,1.16801040010134e+18,134-20,커피를만드는사람들,,3130308,0.0,0.0,0.0,False
91,MA010120220803865372,1121510500,1.1215105001062e+18,620-17,카페오,,3130081,82.08,13.752747735576596,39.12896686784786,False
92,MA0101202409A0141583,1135010300,1.13501030010592e+18,592-7,퐁치커피익스프레스,공릉점,3110434,191.19,0.0,28.580613496278147,False
93,MA0106202406A2464980,1168010100,1.16801010010858e+18,858,스타벅스,강남역신분당역사,3120192,0.0,1120.2565846647517,10.34498664731317,False
94,MA010120220812515182,1165010700,1.16501070011313e+18,1313,하우스브란트,,3110908,1765.16,0.0,0.0,True
95,MA010120220806653613,1165010700,1.16501070011313e+18,1313,카페301,,3110908,1765.16,0.0,0.0,True
96,MA010120220803675047,1165010700,1.16501070011313e+18,1313,퀼트카페인,,3110908,1765.16,0.0,0.0,True
97,MA0101202406A0075604,1147010300,1.14701030010575e+18,575-1,컴포즈양천신곡점,,3130205,321.36,0.0,0.0,False
98,MA0101202311A0105550,1114011200,,33-1,스타트카페,,3130024,,,,
99,MA010120220800117732,1114011200,,33-1,커피집,,3130024,,,,
100,MA010120220814124659,1159010700,1.15901070010068e+18,68-1,나를위한하루날위한커피,사당점,3110851,69.61,0.0,0.0,False
101,MA010120220806848914,1132010500,1.13201050010422e+18,422-80,카페크레프리,,3110383,235.4,0.0,0.0,False
102,MA010120220806476231,1144010100,1.14401010010332e+18,332-7,커피프릭COFFEEFREAK,,3130198,39.04,0.0,15.839329671270985,False
103,MA010120220802780322,1111015300,1.11101530010095e+18,95,골목카페,,3120009,103.95,0.0,51.86446073306684,False
104,MA010120220806496281,1147010200,1.1470102001040504e+18,405-241,구움블루스,,3120113,,,,
105,MA0101202302A0078446,1165010100,1.1650101001076e+18,760-2,메가엠지씨커피방배카페,거리점,3120162,,,,
106,MA0101202310A0029065,1144012100,,113-92,네스트앤드위스탠연남마포지점,,3110564,,,,
107,MA0101202301A0001083,1123010300,1.12301030010478e+18,478-5,카페청량,,3130095,0.0,2.630034631754518,24.98475058651236,False
108,MA0101202406A0524166,1147010300,1.1470103001048e+18,480-18,문보드레,,3110608,114.66,0.0,0.0,False
109,MA010120220802054670,1141011200,1.14101120010056e+18,56-28,커피도가헤리티지,,3130179,192.67,17.99628525172536,57.11341904258902,False
110,MA0101202309A0037814,1117010200,,1-46,꾸에바마테라,,3130060,,,,
111,MA010120220800854284,1156011000,1.15601100010014e+18,14-35,매머드익스프레스,여의도점,3120148,443.84,0.0,0.0,False
112,MA010120220807773162,1132010600,1.1320106001067e+18,670-1,더로비,,3110393,90.0,0.0,33.44818023845974,True
113,MA0101202301A0080507,1121510300,1.12151030010033e+18,33-8,바바아시,,3110177,134.16,11.323237552972833,51.74455126643139,False
114,MA0101202406A0459675,1130510300,1.13051030010063e+18,63,수유상점101,,3130138,1177.68,4.423501703203336,7.255239704651569,True
115,MA0101202306A0054244,1130510300,1.13051030010063e+18,63,커피마마퀸,,3130138,1177.68,4.423501703203336,7.255239704651569,True
116,MA0101202210A0034673,1114015000,1.11401500010039e+18,39-1,업사이드커피을지로,,3120033,0.0,37.37608141966044,53.24085674347246,False
117,MA010120220804108887,1174010700,1.17401070010506e+18,506-2,그랑카페,,3111055,222.42,0.0,6.0797442588814175,False
118,MA0101202305A0146430,1126010200,1.12601020010172e+18,172,이디야커피망우역점,,3110265,5055.4,41.76810970673812,60.5714682627667,False
119,MA010120220814019498,1117012800,1.1170128001004004e+18,40-317,트래버틴용산,,3110062,,,,
120,MA010120220807721966,1147010100,1.14701010011018e+18,1018-1,디저트39,,3120109,233.33,0.0,0.0,True
121,MA010120220811871907,1156010600,1.1560106001002e+18,20-62,사랑방,,3130250,343.8,0.0,115.40509905242504,True
122,MA010120220808832530,1156010600,1.1560106001002e+18,20-62,로타리휴계실,,3130250,343.8,0.0,115.40509905242504,True
123,MA0101202308A0016993,1165010200,1.16501020010119e+18,119-1,삼이일공커피공장,,3110938,49.0,0.0,22.14755579543168,False
124,MA010120220810577365,1144010800,1.14401080010542e+18,542,토마토,,3110577,173.13,6.342016934254229,46.5440146729688,False
125,MA0101202406A0046626,1121510300,1.12151030010033e+18,33-1,수빈70,,3110177,135.2,3.580629802328994,41.64595571558746,False
126,MA010120220803980265,1130510100,1.13051010010783e+18,783-1,커피오리진,,3110364,190.45,0.0,7.207409899766342,False
127,MA010120220803674019,1174010500,1.17401050010445e+18,445-1,메가엠지씨커피강동역점,,3111068,981.57,5.289405695925414,0.0,True
128,MA010120220806880475,1126010200,1.12601020010129e+18,129-9,카페502호,,3130107,2721.2,18.87310681046636,265.558887603928,False
129,MA010120220803878389,1144012200,1.1440122001036e+18,360-1,이앤에스에스,,3110559,108.28,1.5362154511534796,41.548665672713966,False
130,MA010120220805703628,1154510300,1.15451030010995e+18,995-18,건강한농부사회적협동조합,,3110734,305.79,42.33525161982849,0.0,False
131,MA010120220813342186,1117010200,,1-45,크레마노,해방촌점,3130060,,,,
132,MA0101202406A0061679,1171010800,1.17101080010067e+18,67-8,카페인중독,문정점,3111026,0.0,30.049015369499443,48.08388484476315,True
133,MA010120220813711418,1135010500,1.1350105001038902e+18,389-237,카페보보,,3110424,57.48,6.921214434820614,19.10830355683489,False
134,MA010120220812329257,1120011200,1.12001120010173e+18,173-9,금호알베르,,3110107,0.0,0.0,38.3188579643038,False
135,MA010120220805446012,1120011200,1.12001120010173e+18,173-9,알베르금호,,3110107,0.0,0.0,38.3188579643038,False
136,MA010120220802964354,1141011200,1.14101120010034e+18,34-22,다나제과,,3130178,80.19,0.0,0.0,False
137,MA010120220806478777,1120011500,1.12001150010284e+18,284-62,커피베이성수세종,타워점,3130071,0.0,68.43841308903124,76.418898539889,False
138,MA010120220800219104,1144012400,1.14401240010227e+18,227-15,메르센,,3130192,108.89,0.0,0.0,False
139,MA010120220808123411,1144012400,1.14401240010227e+18,227-15,카페네이,,3130192,108.89,0.0,0.0,False
140,MA010120220800209837,1144012400,1.14401240010227e+18,227-15,카페리브레,,3130192,108.89,0.0,0.0,False
141,MA0106202201A0153478,1114016800,1.11401680010214e+18,214,커피빈순화점,코리아,3120019,1305.3838,0.0,7.177646093821581,True
142,MA010120220805376837,1144010200,1.14401020010256e+18,256-13,커피에반하다,,3130196,1035.88,0.0,0.0,True
143,MA0101202307A0051907,1144010200,1.14401020010256e+18,256-13,컴포즈커피,공덕역점,3130196,1035.88,0.0,0.0,True
144,MA010120220809331537,1144010200,1.14401020010256e+18,256-13,쥬씨,공덕점,3130196,1035.88,0.0,0.0,True
145,MA010120220806528090,1117013100,1.1170131001079e+18,790-8,빌리지,,3110096,63.56,0.0,11.46105437880712,False
146,MA0106202201A1608036,1120011500,1.12001150010299e+18,299-56,MAAT커피브루어스,,3110132,,,,
147,MA0101202311A0063989,1165010700,1.16501070010551e+18,551-36,퓨쳐마인드,,3110924,,,,
148,MA010120220814335806,1123010500,1.12301050010488e+18,488-100,좋은피플,,3130101,,,,
149,MA0101202311A0057925,1150010400,1.15001040011488e+18,1488-8,컴포즈커피가양초점,,3110674,592.2,0.0,0.0,True
150,MA0101202406A0496575,1144010800,1.14401080010241e+18,241-22,효녀가수이효정네한방찻집,,3110576,56.38,0.0,19.70660946643237,False
151,MA010120220800189855,1144012000,1.14401200010331e+18,331-13,쿠나,,3130191,96.6,0.0,29.555494233456027,False
152,MA010120220803540686,1162010100,1.16201010010032e+18,32-2,OMG도넛앤커피,,3130293,1107.44,0.0,103.87192585238692,True
153,MA0101202409A0015864,1162010200,1.16201020011422e+18,1422-5,카페메디치,,3120157,1125.59,0.0,88.18817442774866,True
154,MA010120220813228155,1162010200,1.16201020011422e+18,1422-5,카페메디치,,3120157,1125.59,0.0,88.18817442774866,True
155,MA010120220813289327,1114016300,1.11401630010114e+18,114,스탠다드,,3120039,0.0,0.0,32.44178689188965,True
156,MA010120220811770920,1135010300,1.13501030010437e+18,437-4,써밋,,3110435,356.76,0.0,0.0,True
157,MA010120220804426732,1171011100,1.17101110010222e+18,222-4,엠에스씨커피,,3111020,0.0,0.0,0.0,False
158,MA010120220803544182,1114015500,1.11401550010315e+18,315-3,을지다방,,3120031,84.46,10.102759381094709,27.719512161467875,False
159,MA0101202309A0079520,1168010800,1.16801080010242e+18,242-18,매머드커피강남,구청점,3120203,123.25,10.849956007879989,47.18605900224796,False
160,MA010120220811982063,1141011200,1.14101120010034e+18,34-29,고스트요거트,,3130178,0.0,8.181545301747645,27.530825609930083,False
161,MA010120220803832299,1121510700,1.12151070010007e+18,7-12,할리스,,3120053,310.09,0.0,0.0,False
162,MA010120220813329261,1121510700,1.12151070010007e+18,7-12,다빈치보드게임,,3120053,310.09,0.0,0.0,False
163,MA010120220811946517,1117011200,1.11701120010034e+18,34,헬카페,,3110068,106.68,12.009045682946487,34.098042354186035,False
164,MA0101202305A0182284,1162010200,1.16201020010403e+18,403-9,바나타이거,양산점,3110879,0.0,10.53869448521933,37.03651797043168,False
165,MA010120220812936847,1120011400,1.1200114001065612e+18,656-1214,오카보카커피,,3120050,63.81,0.0,32.30221084544668,False
166,MA010120220813466674,1144012000,1.14401200010358e+18,358-53,더앨리,홍대점,3130190,125.12,0.0,22.486625586248543,False
167,MA010120220805037015,1117012400,,104-2,텐티북스,,3110076,,,,
168,MA0101202309A0026548,1117012900,1.1170129001030102e+18,301-154,아비삭베이글,,3130058,287.44,64.02519296286894,68.39947909861031,False
169,MA0101202406A0326897,1129013300,1.12901330010266e+18,266-94,필링커피,,3130118,,,,
170,MA0101202311A0102365,1138010800,1.13801080010033e+18,33-2,카페달,,3110468,382.46,43.15831625206051,67.15067865077846,False
171,MA010120220806700247,1126010100,1.12601010010496e+18,496-17,탐앤탐스사가정역점,,3120068,59.59,10.048444651947502,24.163218644558214,False
172,MA0101202411A0081318,1120011200,1.12001120011192e+18,1192,하삼동금호역점,,3120048,198.52,0.0,0.0,False
173,MA010120220813699361,1168010400,1.16801040010119e+18,119-8,인터내셔널티컴퍼니,,3120208,127.62,0.0,19.02688353764641,False
174,MA010120220803148675,1144012300,1.14401230010399e+18,399-36,슬라브,,3110544,134.76,0.0,41.6905179477364,False
175,MA010120220813656456,1156013200,1.15601320012365e+18,2365,별와플,,3130258,1698.78,64.38824506891167,203.9854734331923,True
176,MA010120220809207218,1126010600,,312-1,더그린,,3110271,,,,
177,MA010120220803098669,1168010400,1.1680104001007e+18,70-11,카페글락,,3110990,274.84,0.0,69.13067938155369,False
178,MA0106202201A0153173,1117013000,1.11701300010123e+18,123-33,커피빈이태원점,코리아,3120046,,,,
179,MA010120220807386355,1162010100,1.16201010010862e+18,862-1,자작나무,,3120159,1149.03,0.0,45.54194742899146,True
180,MA010120220801138917,1162010100,1.16201010010862e+18,862-1,브로커피앤쥬스,,3120159,1149.03,0.0,45.54194742899146,True
181,MA0106202303A2117369,1117012400,1.11701240010231e+18,231-23,돌상cafe돌상카페,,3120044,1511.0,0.0,128.78887964694405,False
182,MA010120220808581989,1168010700,1.16801070010645e+18,645-15,꼴라보하우스도산,,3110962,144.65,12.056001208470256,33.314288935993815,False
183,MA010120220808485009,1147010300,1.14701030010098e+18,98-36,와다당,,3110597,,,,
184,MA0101202409A0189004,1111016500,1.1110165001001e+18,10-5,타미,,3110028,37.62,1.9761236696172773,24.50729401664889,False
185,MA010120220811794135,1114011300,1.11401130010018e+18,18-9,투썸플레이스,,3120022,0.0,0.0,0.0,False
186,MA0101202310A0036144,1117010200,1.11701020010001e+18,1-62,오랑오랑,,3130060,,,,
187,MA010120220805156221,1154510300,1.15451030010244e+18,244-50,로스티드바이,,3110755,77.84,0.0,27.706471604545527,False
188,MA010120220806610132,1114016200,1.11401620010193e+18,193-2,마피아백다방,,3130050,3100.34,22.00017669011276,0.0,True
189,MA010120220812118389,1114016200,1.11401620010193e+18,193-2,별다방,,3130050,3100.34,22.00017669011276,0.0,True
190,MA010120220805243579,1114016200,1.11401620010193e+18,193-2,이트커피,,3130050,3100.34,22.00017669011276,0.0,True
191,MA010120220807821180,1111017400,1.11101740010436e+18,436-78,비바라비다,,3130016,,,,
192,MA010120220803495685,1114016200,1.11401620010846e+18,846,카페달콤한오늘,,3130051,1676.23,43.89627586869584,91.50621185556604,True
193,MA0101202406A0132772,1129011600,1.12901160010002e+18,2-16,그라미,성신여대점,3120072,0.0,3.722886634444496,19.598376715371355,False
194,MA010120220808569664,1121510400,1.12151040010245e+18,245-8,예설스페이스,,3110179,110.43,10.18372593960987,26.04986408453697,False
195,MA010120220809788368,1111016400,,228-13,하나원컴퍼니,,3110026,,,,
196,MA0101202409A0101727,1129013500,1.12901350010082e+18,82-43,봉명동내커피,성북점,3110314,,,,
197,MA010120220813750887,1165010200,1.1650102001012e+18,120-10,할루카연구소,,3110938,,,,
198,MA010120220813713548,1114012500,1.11401250010049e+18,49-4,아리스타충무로점,,3120030,94.74,21.53141527423644,40.2594398102719,False
199,MA010120220813996290,1132010600,1.13201060010675e+18,675-16,오살랑마켓,,3110402,99.94,6.095369133081179,34.82297085619031,False
200,MA0101202409A0232651,1138010700,1.13801070010117e+18,117-16,오늘의커피,,3110470,106.77,9.492616123643357,25.68682829039178,True
201,MA010120220800440925,1156013200,1.15601320014346e+18,4346-3,라온,,3110812,96.96,1.0251589715412937,42.24794301841104,False
202,MA0101202406A0088328,1153010600,1.15301060010051e+18,51-18,메가엠지씨커피구로고척,시장점,3130227,262.48,0.0,37.89374352637292,False
203,MA010120220814228547,1153010600,1.15301060010051e+18,51-18,한국영파머스클럽,,3130227,262.48,0.0,37.89374352637292,False
204,MA010120220808021896,1111017400,1.11101740010461e+18,461-2,차차티클럽,,3120016,0.0,6.517569255225754,28.16002267752921,False
205,MA0101202307A0053635,1141011200,1.14101120010034e+18,34-25,카페너와,,3130178,0.0,0.0,30.973332940477537,False
206,MA010120220805062732,1171010400,1.17101040010039e+18,39-15,리프커피바,,3111013,115.31,7.223931017588133,31.91528911503769,False
207,MA0101202210A0042933,1126010600,1.12601060010666e+18,666,홍콩다방중랑,구청점,3130113,1707.04,0.0,93.7234666850376,True
208,MA0101202308A0043289,1126010600,1.12601060010666e+18,666,빽다방중랑,구청점,3130113,1707.04,0.0,93.7234666850376,True
209,MA010120220802889192,1126010600,1.12601060010666e+18,666,바리스타폴커피칸타타,,3130113,1707.04,0.0,93.7234666850376,True
210,MA010120220803226363,1126010600,1.12601060010666e+18,666,커피베이중랑,구청점,3130113,1707.04,0.0,93.7234666850376,True
211,MA0101202411A0036766,1126010600,1.12601060010666e+18,666,공차중랑,구청점,3130113,1707.04,0.0,93.7234666850376,True
212,MA010120220805010295,1165010100,1.16501010012732e+18,2732-41,향기나는굴뚝,,3110909,146.83,0.0,30.52410801759129,False
213,MA0101202406A0480611,1130510400,1.13051040010073e+18,73-69,커피바102,,3110346,,,,
214,MA010120220811971488,1117010200,,1-502,피프틴커피,,3130060,,,,
215,MA010120220802972446,1130510100,1.1305101001046e+18,460-79,카페소소,,3110371,82.81,0.0,26.797806783484404,False
216,MA0101202308A0092339,1123010400,1.1230104001029504e+18,295-431,구하니커피,,3130099,0.0,10.897489886770114,128.3956400912451,True
217,MA010120220806928741,1171011200,1.1710112001001e+18,10-3,이디야커피오금,중앙점,3111032,366.16,0.0,91.76174511463772,True
218,MA0101202409A0034113,1159010900,1.15901090010708e+18,708,자몽자몽,신대방점,3120151,2411.37,0.0,0.0,False
219,MA010120220812296005,1159010900,1.15901090010708e+18,708,매머드익스프레스보라매공원점,,3120151,2411.37,0.0,0.0,False
220,MA010120220808440153,1159010900,1.15901090010708e+18,708,카페,,3120151,2411.37,0.0,0.0,False
221,MA0101202406A0342283,1159010900,1.15901090010708e+18,708,칼도에스프레소바,,3120151,2411.37,0.0,0.0,False
222,MA010120220809806690,1159010900,1.15901090010708e+18,708,마리크루아상,,3120151,2411.37,0.0,0.0,False
223,MA0101202211A0099165,1159010900,1.15901090010708e+18,708,그로비,,3120151,2411.37,0.0,0.0,False
224,MA0106202301A1337298,1159010900,1.15901090010708e+18,708,체크커피,,3120151,2411.37,0.0,0.0,False
225,MA010120220806658531,1165010800,1.16501080011673e+18,1673-2,투썸플레이스,교대역점,3120173,144.76,0.0,0.0,False
