,상가업소번호,상호명,지점명,TRDAR_CD,estimated_총_유동인구_수_total,estimated_시간대_00_06_유동인구_수_total,estimated_시간대_06_11_유동인구_수_total,estimated_시간대_11_14_유동인구_수_total,estimated_시간대_14_17_유동인구_수_total,estimated_시간대_17_21_유동인구_수_total,estimated_시간대_21_24_유동인구_수_total,상권_코드,매출_최대_시간대,피크_유동인구_수_상권별,기준_년분기_코드,피크_유동인구_수_11~14
101,MA010120220806848914,카페크레프리,,3110383,5372,668,1101,988,986,1099,530,3110383.0,11_14,988.0,20244.0,988
102,MA010120220806476231,커피프릭COFFEEFREAK,,3130198,91180,18923,19727,13064,13049,16268,10150,,,,,13064
103,MA010120220802780322,골목카페,,3120009,50481,4901,9112,10058,10692,11311,4407,3120009.0,17_21,11311.0,20244.0,10058
104,MA010120220806496281,구움블루스,,3120113,73040,13240,13896,10701,11164,15294,8744,3120113.0,11_14,10701.0,20244.0,10701
105,MA0101202302A0078446,메가엠지씨커피방배카페,거리점,3120162,35022,8195,6862,4500,4774,6455,4237,3120162.0,11_14,4500.0,20244.0,4500
106,MA0101202310A0029065,네스트앤드위스탠연남마포지점,,3110564,33532,3586,4644,5409,6832,9281,3779,3110564.0,17_21,9281.0,20244.0,5409
107,MA0101202301A0001083,카페청량,,3130095,113102,15559,22431,20338,20992,22541,11241,3130095.0,17_21,22541.0,20244.0,20338
108,MA0101202406A0524166,문보드레,,3110608,154908,49150,32333,15593,14875,22077,20882,3110608.0,11_14,15593.0,20244.0,15593
109,MA010120220802054670,커피도가헤리티지,,3130179,28604,6962,6072,3893,3728,4724,3225,3130179.0,11_14,3893.0,20244.0,3893
110,MA0101202309A0037814,꾸에바마테라,,3130060,34195,7737,6559,4152,4619,6728,4399,3130060.0,17_21,6728.0,20244.0,4152
111,MA010120220800854284,매머드익스프레스,여의도점,3120148,4533,401,1062,1000,1003,794,273,3120148.0,11_14,1000.0,20244.0,1000
112,MA010120220807773162,더로비,,3110393,12241,2352,2178,1667,1825,2638,1582,3110393.0,11_14,1667.0,20244.0,1667
113,MA0101202301A0080507,바바아시,,3110177,28594,9028,5984,2786,2721,4250,3825,,,,,2786
114,MA0101202406A0459675,수유상점101,,3130138,24560,4180,4938,3858,4012,4836,2736,,,,,3858
115,MA0101202306A0054244,커피마마퀸,,3130138,24560,4180,4938,3858,4012,4836,2736,,,,,3858
116,MA0101202210A0034673,업사이드커피을지로,,3120033,39346,3541,8761,8318,8381,7500,2845,3120033.0,11_14,8318.0,20244.0,8318
117,MA010120220804108887,그랑카페,,3111055,32095,8652,6641,3581,3640,5210,4373,,,,,3581
118,MA0101202305A0146430,이디야커피망우역점,,3110265,66423,14141,12958,8471,9449,13030,8375,3110265.0,11_14,8471.0,20244.0,8471
119,MA010120220814019498,트래버틴용산,,3110062,25013,4183,4946,3987,4162,5131,2604,3110062.0,11_14,3987.0,20244.0,3987
120,MA010120220807721966,디저트39,,3120109,29755,6870,6137,4060,3937,5182,3570,3120109.0,11_14,4060.0,20244.0,4060
121,MA010120220811871907,사랑방,,3130250,56534,11950,10422,7854,8436,10844,7024,3130250.0,17_21,10844.0,20244.0,7854
122,MA010120220808832530,로타리휴계실,,3130250,56534,11950,10422,7854,8436,10844,7024,3130250.0,17_21,10844.0,20244.0,7854
123,MA0101202308A0016993,삼이일공커피공장,,3110938,31678,4987,7011,5529,5701,5569,2883,3110938.0,11_14,5529.0,20244.0,5529
124,MA010120220810577365,토마토,,3110577,83538,18374,15455,10254,11831,17451,10173,3110577.0,11_14,10254.0,20244.0,10254
125,MA0101202406A0046626,수빈70,,3110177,28594,9028,5984,2786,2721,4250,3825,,,,,2786
126,MA010120220803980265,커피오리진,,3110364,613922,170167,129123,69370,69140,97717,78404,3110364.0,06_11,129123.0,20244.0,69370
127,MA010120220803674019,메가엠지씨커피강동역점,,3111068,91059,21264,20675,12361,11316,14312,11133,3111068.0,11_14,12361.0,20244.0,12361
128,MA010120220806880475,카페502호,,3130107,38554,9644,7154,4195,4649,7260,5654,,,,,4195
129,MA010120220803878389,이앤에스에스,,3110559,31236,7206,5987,4176,4285,5693,3889,3110559.0,14_17,4285.0,20244.0,4176
130,MA010120220805703628,건강한농부사회적협동조합,,3110734,35656,7993,7063,4492,4793,6790,4526,,,,,4492
131,MA010120220813342186,크레마노,해방촌점,3130060,34195,7737,6559,4152,4619,6728,4399,3130060.0,17_21,6728.0,20244.0,4152
132,MA0101202406A0061679,카페인중독,문정점,3111026,69024,18593,14512,8783,8066,10656,8414,3111026.0,11_14,8783.0,20244.0,8783
133,MA010120220813711418,카페보보,,3110424,228092,63846,47566,25833,25584,35827,29437,3110424.0,11_14,25833.0,20244.0,25833
134,MA010120220812329257,금호알베르,,3110107,25696,4392,5072,3566,3952,5600,3112,3110107.0,14_17,3952.0,20244.0,3566
135,MA010120220805446012,알베르금호,,3110107,25696,4392,5072,3566,3952,5600,3112,3110107.0,14_17,3952.0,20244.0,3566
136,MA010120220802964354,다나제과,,3130178,7910,1327,1646,1441,1410,1334,751,3130178.0,11_14,1441.0,20244.0,1441
137,MA010120220806478777,커피베이성수세종,타워점,3130071,52705,4910,10621,10437,11004,11418,4315,,,,,10437
138,MA010120220800219104,메르센,,3130192,34470,9624,6546,3729,3915,6069,4587,3130192.0,14_17,3915.0,20244.0,3729
139,MA010120220808123411,카페네이,,3130192,34470,9624,6546,3729,3915,6069,4587,3130192.0,14_17,3915.0,20244.0,3729
140,MA010120220800209837,카페리브레,,3130192,34470,9624,6546,3729,3915,6069,4587,3130192.0,14_17,3915.0,20244.0,3729
141,MA0106202201A0153478,커피빈순화점,코리아,3120019,23975,2869,6082,4996,4825,3670,1532,3120019.0,11_14,4996.0,20244.0,4996
142,MA010120220805376837,커피에반하다,,3130196,41775,4287,8979,7803,7776,8973,3957,3130196.0,11_14,7803.0,20244.0,7803
143,MA0101202307A0051907,컴포즈커피,공덕역점,3130196,41775,4287,8979,7803,7776,8973,3957,3130196.0,11_14,7803.0,20244.0,7803
144,MA010120220809331537,쥬씨,공덕점,3130196,41775,4287,8979,7803,7776,8973,3957,3130196.0,11_14,7803.0,20244.0,7803
145,MA010120220806528090,빌리지,,3110096,33941,4475,7227,5442,6167,7394,3237,3110096.0,11_14,5442.0,20244.0,5442
146,MA0106202201A1608036,MAAT커피브루어스,,3110132,56240,14664,11872,7643,7553,8139,6369,3110132.0,17_21,8139.0,20244.0,7643
147,MA0101202311A0063989,퓨쳐마인드,,3110924,210004,49454,45342,28722,28963,33439,24083,,,,,28722
148,MA010120220814335806,좋은피플,,3130101,500872,105509,99225,66421,70713,98365,60641,,,,,66421
149,MA0101202311A0057925,컴포즈커피가양초점,,3110674,21445,3464,4791,3316,3504,4025,2345,3110674.0,11_14,3316.0,20244.0,3316
150,MA0101202406A0496575,효녀가수이효정네한방찻집,,3110576,36465,5347,6876,5434,5948,8376,4485,3110576.0,17_21,8376.0,20244.0,5434
151,MA010120220800189855,쿠나,,3130191,11956,1254,1514,1959,2589,3300,1339,3130191.0,17_21,3300.0,20244.0,1959
152,MA010120220803540686,OMG도넛앤커피,,3130293,39622,5550,8094,6244,6526,8842,4365,3130293.0,11_14,6244.0,20244.0,6244
153,MA0101202409A0015864,카페메디치,,3120157,114287,27037,22002,13352,14070,22077,15749,3120157.0,17_21,22077.0,20244.0,13352
154,MA010120220813289327,스탠다드,,3120039,89237,18642,17000,12562,12564,16888,11581,3120039.0,11_14,12562.0,20244.0,12562
155,MA010120220811770920,써밋,,3110435,25166,7646,5280,2686,2514,3512,3528,3110435.0,11_14,2686.0,20244.0,2686
156,MA010120220804426732,엠에스씨커피,,3111020,27541,8957,5896,2885,2697,3638,3467,3111020.0,11_14,2885.0,20244.0,2885
157,MA010120220803544182,을지다방,,3120031,30032,2109,6491,6413,6453,6318,2248,3120031.0,11_14,6413.0,20244.0,6413
158,MA0101202309A0079520,매머드커피강남,구청점,3120203,39571,5937,7887,7077,7219,7662,3789,3120203.0,11_14,7077.0,20244.0,7077
159,MA010120220811982063,고스트요거트,,3130178,7910,1327,1646,1441,1410,1334,751,3130178.0,11_14,1441.0,20244.0,1441
160,MA010120220803832299,할리스,,3120053,54060,9786,8698,6822,7880,13102,7772,3120053.0,17_21,13102.0,20244.0,6822
161,MA010120220813329261,다빈치보드게임,,3120053,54060,9786,8698,6822,7880,13102,7772,3120053.0,17_21,13102.0,20244.0,6822
162,MA010120220811946517,헬카페,,3110068,97379,24511,20652,12437,12248,15788,11744,3110068.0,11_14,12437.0,20244.0,12437
163,MA0101202305A0182284,바나타이거,양산점,3110879,70194,18335,13615,7597,7901,12649,10096,,,,,7597
164,MA010120220812936847,오카보카커피,,3120050,19873,2880,3894,3624,3871,3891,1715,3120050.0,11_14,3624.0,20244.0,3624
165,MA010120220813466674,더앨리,홍대점,3130190,22691,3522,2756,3090,4190,6113,3019,3130190.0,17_21,6113.0,20244.0,3090
166,MA010120220805037015,텐티북스,,3110076,26300,7560,5424,3087,2902,3915,3412,3110076.0,11_14,3087.0,20244.0,3087
167,MA0101202309A0026548,아비삭베이글,,3130058,31943,6202,7147,4648,4354,5799,3793,3130058.0,11_14,4648.0,20244.0,4648
168,MA0101202406A0326897,필링커피,,3130118,99808,25956,21276,11692,11742,16305,12837,3130118.0,11_14,11692.0,20244.0,11692
169,MA0101202311A0102365,카페달,,3110468,127095,37649,25211,12710,13168,20657,17700,3110468.0,11_14,12710.0,20244.0,12710
170,MA010120220806700247,탐앤탐스사가정역점,,3120068,20231,3608,3861,2723,2875,4392,2772,3120068.0,17_21,4392.0,20244.0,2723
171,MA0101202411A0081318,하삼동금호역점,,3120048,128826,30019,25239,15399,16369,25008,16792,3120048.0,11_14,15399.0,20244.0,15399
172,MA010120220813699361,인터내셔널티컴퍼니,,3120208,32974,5527,6769,5721,5707,5963,3286,3120208.0,11_14,5721.0,20244.0,5721
173,MA010120220803148675,슬라브,,3110544,47615,13779,9148,4991,5261,7818,6618,3110544.0,14_17,5261.0,20244.0,4991
174,MA010120220813656456,별와플,,3130258,19257,5157,3906,2202,2200,3235,2560,3130258.0,14_17,2200.0,20244.0,2202
175,MA010120220809207218,더그린,,3110271,43535,10914,9895,5197,5237,7134,5159,,,,,5197
176,MA010120220803098669,카페글락,,3110990,28484,4100,6369,4593,4585,5661,3176,3110990.0,11_14,4593.0,20244.0,4593
177,MA0106202201A0153173,커피빈이태원점,코리아,3120046,40679,9283,6778,5375,5844,7974,5423,3120046.0,14_17,5844.0,20244.0,5375
178,MA010120220807386355,자작나무,,3120159,150816,33278,28922,18494,19430,30120,20574,3120159.0,17_21,30120.0,20244.0,18494
179,MA010120220801138917,브로커피앤쥬스,,3120159,150816,33278,28922,18494,19430,30120,20574,3120159.0,17_21,30120.0,20244.0,18494
180,MA0106202303A2117369,돌상cafe돌상카페,,3120044,28380,6934,5951,3732,3599,4714,3450,3120044.0,11_14,3732.0,20244.0,3732
181,MA010120220808581989,꼴라보하우스도산,,3110962,42981,4904,7223,8489,8844,9588,3934,,,,,8489
182,MA010120220808485009,와다당,,3110597,225553,68766,47291,24134,23013,32900,29449,,,,,24134
183,MA0101202409A0189004,타미,,3110028,209748,60663,45053,25327,23654,29470,25581,3110028.0,11_14,25327.0,20244.0,25327
184,MA010120220811794135,투썸플레이스,,3120022,46754,2034,9130,11558,11851,9860,2321,3120022.0,11_14,11558.0,20244.0,11558
185,MA0101202310A0036144,오랑오랑,,3130060,34195,7737,6559,4152,4619,6728,4400,3130060.0,17_21,6728.0,20244.0,4152
186,MA010120220805156221,로스티드바이,,3110755,62791,13847,12758,8029,8664,11759,7734,3110755.0,11_14,8029.0,20244.0,8029
187,MA010120220806610132,마피아백다방,,3130050,59361,13710,12369,8526,7782,9135,7839,,,,,8526
188,MA010120220812118389,별다방,,3130050,59361,13710,12369,8526,7782,9135,7839,,,,,8526
189,MA010120220805243579,이트커피,,3130050,59361,13710,12369,8526,7782,9135,7839,,,,,8526
190,MA010120220807821180,비바라비다,,3130016,35018,10801,7236,4658,3888,4143,4292,,,,,4658
191,MA010120220803495685,카페달콤한오늘,,3130051,184875,38413,35665,25887,27333,36132,21445,3130051.0,14_17,27333.0,20244.0,25887
192,MA0101202406A0132772,그라미,성신여대점,3120072,28257,5222,5177,3787,4170,6254,3647,3120072.0,17_21,6254.0,20244.0,3787
193,MA010120220808569664,예설스페이스,,3110179,67396,19643,14834,8460,7541,9007,7910,3110179.0,11_14,8460.0,20244.0,8460
194,MA010120220809788368,하나원컴퍼니,,3110026,263831,36766,57939,49396,48005,48563,23161,,,,,49396
195,MA0101202409A0101727,봉명동내커피,성북점,3110314,81592,16787,15676,11047,12568,16150,9366,3110314.0,11_14,11047.0,20244.0,11047
196,MA010120220813750887,할루카연구소,,3110938,31679,4987,7011,5529,5701,5569,2883,3110938.0,11_14,5529.0,20244.0,5529
197,MA010120220813713548,아리스타충무로점,,3120030,39106,3713,7948,8130,7926,8205,3185,3120030.0,11_14,8130.0,20244.0,8130
198,MA010120220813996290,오살랑마켓,,3110402,47960,10457,10076,6135,6395,8882,6015,,,,,6135
199,MA0101202409A0232651,오늘의커피,,3110470,150976,44297,30235,15764,15537,24651,20492,3110470.0,14_17,15537.0,20244.0,15764
200,MA010120220800440925,라온,,3110812,78753,18565,15534,9628,9471,14835,10721,3110812.0,11_14,9628.0,20244.0,9628
201,MA0101202406A0088328,메가엠지씨커피구로고척,시장점,3130227,52796,10886,9890,7292,7986,10644,6096,3130227.0,11_14,7292.0,20244.0,7292
202,MA010120220814228547,한국영파머스클럽,,3130227,52796,10886,9890,7292,7986,10644,6096,3130227.0,11_14,7292.0,20244.0,7292
203,MA010120220808021896,차차티클럽,,3120016,104667,19565,21603,16619,16834,18969,11077,3120016.0,14_17,16834.0,20244.0,16619
204,MA0101202307A0053635,카페너와,,3130178,7910,1327,1647,1441,1411,1334,751,3130178.0,11_14,1441.0,20244.0,1441
