상가업소번호,TRDAR_CD,도로명주소,est_총_유동인구_수,est_시간대_00_06_유동인구_수,est_시간대_06_11_유동인구_수,est_시간대_11_14_유동인구_수,est_시간대_14_17_유동인구_수,est_시간대_17_21_유동인구_수,est_시간대_21_24_유동인구_수,상권_코드,매출_최대_시간대,기준_년분기_코드,피크_유동인구_수_상권별,피크_유동인구_수_11_14
MA0101202406A0288695,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA010120220807113501,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA0101202409A0004940,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA010120220806525068,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA010120220810045634,3130033,서울특별시 중구 을지로 157,2896.090909090909,269.3181818181818,647.3181818181819,597.1818181818182,611.2272727272727,553.4090909090909,217.54545454545456,3130033,11_14,20244,597.1818181818182,597.1818181818182
MA0101202209A0021984,3130057,서울특별시 용산구 효창원로 270,15682.0,3809.0,3346.0,1915.0,1907.0,2717.0,1990.0,,nan,,,
MA0106202303A1044347,3130069,서울특별시 성동구 마조로 17,28853.045454545456,6847.0,5572.0,3512.5,3465.818181818182,5348.545454545455,4107.136363636364,3130069,17_21,20244,5348.545454545455,
MA010120220805143379,3130069,서울특별시 성동구 마조로 17,28853.045454545456,6847.0,5572.0,3512.5,3465.818181818182,5348.545454545455,4107.136363636364,3130069,17_21,20244,5348.545454545455,
MA010120220802972784,3110323,서울특별시 성북구 장월로1길 66,,,,,,,,3110323,11_14,20244,,
MA010120220804964341,3130106,서울특별시 중랑구 중랑천로10길 68,88668.2,21514.3,17000.3,10391.0,11116.1,16430.5,12216.2,3130106,17_21,20244,16430.5,
MA010120220812595260,3110393,서울특별시 도봉구 방학로 171,12241.0,2351.6666666666665,2177.6666666666665,1667.0,1824.6666666666667,2638.333333333333,1581.6666666666667,3110393,11_14,20244,1667.0,1667.0
MA010120220807929010,3130088,서울특별시 동대문구 고산자로36길 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,nan,,,
MA0106202406A2465633,3130088,서울특별시 동대문구 고산자로36길 3,58335.0,8738.0,12840.0,10979.0,10843.0,9680.0,5255.0,,nan,,,
MA010120220800600549,3120094,서울특별시 서대문구 신촌로 87-20,,,,,,,,3120094,17_21,20244,,
MA0101202409A0021931,3130173,서울특별시 서대문구 가재울로6길 53-87,74191.0,17054.0,16565.0,8743.0,9522.0,12867.0,9440.0,,nan,,,
MA010120220810199262,3110525,서울특별시 서대문구 세검정로1길 105,49795.57142857143,9554.142857142857,9830.714285714286,6703.857142857143,7265.142857142857,10351.142857142857,6090.428571428572,3110525,11_14,20244,6703.857142857143,6703.857142857143
MA0101202311A0083488,3110852,서울특별시 동작구 사당로28길 13,82741.625,23393.0,16781.625,9713.625,9279.625,13195.5,10378.0,3110852,14_17,20244,9279.625,
MA0106202406A2465517,3130175,서울특별시 서대문구 연세로 10-1,16809.25,2710.0,3228.75,2466.25,2638.0,3721.0,2045.25,3130175,17_21,20244,3721.0,
MA010120220803658119,3120068,서울특별시 중랑구 면목로 325,20230.92857142857,3607.785714285714,3860.642857142857,2723.3571428571427,2874.6428571428573,4392.0,2772.5,3120068,17_21,20244,4392.0,
MA010120220810433268,3110037,서울특별시 종로구 숭인동길 68,119559.25,32503.75,25486.875,14187.625,13947.5,18431.125,15002.25,3110037,11_14,20244,14187.625,14187.625
MA0101202311A0016316,3110037,서울특별시 종로구 숭인동길 68,119559.25,32503.75,25486.875,14187.625,13947.5,18431.125,15002.25,3110037,11_14,20244,14187.625,14187.625
MA010120220812360152,3120066,서울특별시 동대문구 장한로 3,36850.025,7441.425,7844.4,5391.125,5336.825,6621.05,4215.175,3120066,11_14,20244,5391.125,5391.125
MA010120220803705421,3120170,서울특별시 서초구 고무래로10길 5,107294.16666666669,22924.5,18706.916666666668,13714.083333333334,17085.25,22631.33333333333,12232.083333333334,3120170,11_14,20244,13714.083333333334,13714.083333333334
MA0101202305A0094771,3120002,서울특별시 종로구 자하문로 36,23781.58620689655,3110.362068965517,4314.810344827586,4293.810344827586,4585.551724137931,5034.810344827586,2442.2241379310344,3120002,14_17,20244,4585.551724137931,
MA010120220800795375,3110517,서울특별시 서대문구 연희로26가길 14,115607.0,21364.0,24439.33333333333,17194.666666666668,16617.333333333332,22030.33333333333,13961.0,3110517,11_14,20244,17194.666666666668,17194.666666666668
MA0101202212A0069021,3130176,서울특별시 서대문구 통일로 484,,,,,,,,,nan,,,
MA010120220810013229,3130176,서울특별시 서대문구 통일로 484,,,,,,,,,nan,,,
MA010120220804670501,3130060,서울특별시 용산구 신흥로 95-15,,,,,,,,3130060,17_21,20244,,
MA0101202210A0069909,3110553,서울특별시 마포구 성암로3길 34,154893.33333333334,46868.333333333336,31911.0,15934.833333333334,15507.666666666666,23307.33333333333,21364.166666666668,3110553,11_14,20244,15934.833333333334,15934.833333333334
MA0101202411A0148010,3110408,서울특별시 도봉구 도봉로136가길 4,35318.57142857143,6651.142857142857,6649.142857142857,4822.428571428572,5357.428571428572,7656.142857142857,4182.285714285715,3110408,11_14,20244,4822.428571428572,4822.428571428572
MA010120220811453534,3111004,서울특별시 송파구 백제고분로15길 16,,,,,,,,3111004,14_17,20244,,
MA010120220806570363,3120151,서울특별시 관악구 보라매로3길 29,19617.21212121212,4479.015151515151,4097.939393939394,2889.30303030303,2835.560606060606,3168.515151515151,2146.893939393939,3120151,11_14,20244,2889.30303030303,2889.30303030303
MA0101202308A0030688,3120151,서울특별시 관악구 보라매로3길 29,19617.21212121212,4479.015151515151,4097.939393939394,2889.30303030303,2835.560606060606,3168.515151515151,2146.893939393939,3120151,11_14,20244,2889.30303030303,2889.30303030303
MA0101202303A0088204,3120151,서울특별시 관악구 보라매로3길 29,19617.21212121212,4479.015151515151,4097.939393939394,2889.30303030303,2835.560606060606,3168.515151515151,2146.893939393939,3120151,11_14,20244,2889.30303030303,2889.30303030303
MA0101202212A0063472,3111050,서울특별시 강동구 성내로9길 45,52257.5,13322.166666666666,10947.5,6744.166666666667,6432.0,8418.666666666666,6392.833333333333,3111050,11_14,20244,6744.166666666667,6744.166666666667
MA0101202406A0348730,3110409,서울특별시 도봉구 해등로16길 61,41408.46153846154,9144.076923076924,7965.0,5202.692307692308,5724.076923076923,8308.692307692309,5063.923076923077,3110409,17_21,20244,8308.692307692309,
MA0106202406A2465527,3110313,서울특별시 성북구 고려대로24길 51,88019.57142857143,15500.57142857143,15766.857142857143,13588.952380952382,13673.09523809524,18282.52380952381,11207.47619047619,3110313,11_14,20244,13588.952380952382,13588.952380952382
MA010120220800594420,3130178,서울특별시 서대문구 이화여대길 52-31,7910.0,1327.0,1646.5,1441.0,1410.5,1334.0,751.0,3130178,11_14,20244,1441.0,1441.0
MA010120220814090613,3110015,서울특별시 종로구 효자로13길 52,,,,,,,,3110015,11_14,20244,,
MA010120220812595540,3130268,서울특별시 동작구 상도로49길 7,34115.166666666664,8133.166666666667,6664.666666666667,3995.5,4379.5,6621.166666666667,4321.333333333333,3130268,21_24,20244,4321.333333333333,
MA0101202307A0029658,3110671,서울특별시 강서구 공항대로53가길 54,68263.56,19598.72,14651.72,7926.08,7492.96,10022.4,8571.64,3110671,11_14,20244,7926.08,7926.08
MA010120220807372753,3110306,서울특별시 성북구 삼양로9길 10-2,,,,,,,,3110306,14_17,20244,,
MA010120220804283432,3111042,서울특별시 송파구 거마로9길 24,234871.0,64739.125,46983.875,25175.75,25738.125,39371.625,32862.75,3111042,11_14,20244,25175.75,25175.75
MA010120220811802533,3110525,서울특별시 서대문구 세검정로1길 107,49795.57142857143,9554.142857142857,9830.714285714286,6703.857142857143,7265.142857142857,10351.142857142857,6090.428571428572,3110525,11_14,20244,6703.857142857143,6703.857142857143
MA010120220813194426,3110842,서울특별시 동작구 서달로14길 42,20719.5,3588.375,4122.375,2942.625,3258.0,4451.875,2356.25,3110842,17_21,20244,4451.875,
MA0101202308A0087121,3130190,서울특별시 마포구 홍익로3길 35,24852.14285714286,3857.5238095238096,3018.619047619048,3384.7619047619046,4589.095238095239,6695.666666666667,3306.3809523809523,3130190,17_21,20244,6695.666666666667,
MA010120220814138033,3110283,서울특별시 성북구 성북로15길 32,34187.0,8866.6,6999.2,4357.0,4037.4,5414.8,4512.2,3110283,11_14,20244,4357.0,4357.0
MA0101202306A0098791,3110438,서울특별시 노원구 공릉로41나길 31,101135.9375,26615.375,20092.5,11231.3125,11648.625,17843.625,13704.5,3110438,11_14,20244,11231.3125,11231.3125
MA0101202310A0014635,3130046,서울특별시 중구 마장로 30,34842.0,8397.5,6923.5,4972.5,4533.0,5250.5,4765.0,,nan,,,
MA010120220804369500,3130153,서울특별시 도봉구 마들로11가길 13,28483.42857142857,2802.0,5292.285714285715,5183.857142857143,5971.0,6672.428571428572,2562.0,3130153,11_14,20244,5183.857142857143,5183.857142857143
MA010120220813450022,3110630,서울특별시 강서구 개화동로27나길 43,121003.08333333331,35651.666666666664,25762.666666666668,14028.5,13043.333333333334,17401.5,15115.5,3110630,11_14,20244,14028.5,14028.5
MA010120220800992852,3110753,서울특별시 금천구 금하로24길 46,104988.77777777778,32132.11111111111,20438.0,10179.555555555557,10182.0,16972.0,15085.222222222224,3110753,14_17,20244,10182.0,
MA010120220812381987,3120173,서울특별시 서초구 서초대로 302,56958.0,7447.51282051282,11954.564102564103,10415.205128205129,10225.76923076923,11630.23076923077,5284.705128205128,3120173,11_14,20244,10415.205128205129,10415.205128205129
MA0101202406A0006355,3120175,서울특별시 서초구 효령로 310,,,,,,,,3120175,11_14,20244,,
MA010120220803746048,3130067,서울특별시 성동구 왕십리로24길 19,107926.75,30098.916666666668,22092.5,12334.583333333334,11900.5,17402.75,14097.5,3130067,11_14,20244,12334.583333333334,12334.583333333334
MA010120220805528341,3120027,서울특별시 중구 퇴계로14길 19,30275.5,3103.25,6300.833333333333,6461.25,6397.791666666667,5785.291666666667,2227.0416666666665,3120027,11_14,20244,6461.25,6461.25
MA010120220812223813,3110433,서울특별시 노원구 동일로184길 37,69895.25,21438.6,14442.05,6810.5,6441.2,10631.45,10131.45,3110433,21_24,20244,10131.45,
MA010120220813622947,3110110,서울특별시 성동구 왕십리로31길 8,,,,,,,,3110110,14_17,20244,,
MA010120220812249653,3110900,서울특별시 관악구 낙성대역길 88,222604.7142857143,66931.57142857143,45680.42857142857,21188.14285714286,20995.714285714286,35231.0,32577.85714285714,3110900,14_17,20244,20995.714285714286,
MA0101202210A0089507,3110405,서울특별시 도봉구 도당로27길 38,160865.2857142857,38588.71428571428,31579.285714285717,18782.85714285714,19821.0,30027.14285714286,22066.42857142857,3110405,14_17,20244,19821.0,
MA010120220810325777,3120022,서울특별시 중구 세종대로14길 17-5,,,,,,,,3120022,11_14,20244,,
MA010120220812816297,3110129,서울특별시 성동구 상원10길 23,10829.0,2784.3125,2283.375,1501.875,1504.375,1585.8125,1169.375,3110129,11_14,20244,1501.875,1501.875
MA010120220812692268,3110410,서울특별시 도봉구 도봉로152길 16,73361.375,13450.875,14385.75,10479.25,11387.875,14912.5,8745.25,3110410,17_21,20244,14912.5,
MA010120220814131733,3120010,서울특별시 종로구 창경궁로 142,,,,,,,,3120010,11_14,20244,,
MA010120220808471611,3110359,서울특별시 강북구 삼양로98길 49,255037.4,76409.2,50688.2,25428.6,25375.2,40498.2,36637.8,3110359,14_17,20244,25375.2,
MA010120220806750334,3110576,서울특별시 마포구 백범로16안길 31,38287.8,5614.15,7219.8,5705.35,6245.1,8794.45,4708.95,3110576,17_21,20244,8794.45,
MA010120220807072648,3120229,서울특별시 송파구 올림픽로32길 18,118237.53333333334,22194.066666666666,20408.466666666667,15902.8,16856.466666666667,26364.6,16511.133333333335,3120229,17_21,20244,26364.6,
MA010120220805629360,3120072,서울특별시 성북구 동소문로22길 14,29792.78260869565,5505.923913043478,5458.04347826087,3992.532608695652,4396.326086956522,6594.271739130435,3845.6739130434794,3120072,17_21,20244,6594.271739130435,
MA010120220803903262,3110300,서울특별시 성북구 보문로30길 40-2,135933.95238095237,32472.33333333333,27869.666666666668,17377.14285714286,17152.95238095238,24187.285714285717,16874.571428571428,3110300,11_14,20244,17377.14285714286,17377.14285714286
MA010120220812684551,3130100,서울특별시 동대문구 답십리로 159-16,,,,,,,,3130100,11_14,20244,,
MA0101202406A0003591,3110838,서울특별시 동작구 상도로37길 81,33333.5,9803.0,5889.25,3735.25,3987.0,5729.25,4190.0,3110838,11_14,20244,3735.25,3735.25
MA0101202406A0354707,3110019,서울특별시 종로구 율곡로10길 27-13,39422.26666666667,4169.866666666667,7650.2,8026.4,8688.8,7835.8,3051.0,3110019,14_17,20244,8688.8,
MA0101202306A0081109,3130269,서울특별시 동작구 상도로 357,44533.0,11861.0,7689.0,5480.0,6006.0,8271.0,5224.0,,nan,,,
MA010120220812045492,3110166,서울특별시 광진구 아차산로51길 90,136039.3076923077,38570.230769230766,28519.384615384617,15270.076923076924,14735.076923076924,20820.69230769231,18124.0,3110166,11_14,20244,15270.076923076924,15270.076923076924
MA010120220805502965,3110179,서울특별시 광진구 천호대로143길 8-5,67395.83333333333,19643.5,14834.5,8459.666666666666,7541.166666666667,9006.833333333334,7910.333333333333,3110179,11_14,20244,8459.666666666666,8459.666666666666
MA010120220804498801,3120187,서울특별시 강남구 봉은사로 107,,,,,,,,3120187,11_14,20244,,
MA0101202212A0097331,3130308,서울특별시 강남구 학동로101길 26,,,,,,,,,nan,,,
MA0106202201A0722612,3130308,서울특별시 강남구 학동로101길 26,,,,,,,,,nan,,,
MA010120220803865372,3130081,서울특별시 광진구 자양로13나길 27,372106.5,97221.5,74973.0,42532.0,44877.5,63778.5,48723.5,,nan,,,
MA0101202409A0141583,3110434,서울특별시 노원구 동일로176길 19-20,60359.5,17617.75,12525.25,6332.125,6358.0,9590.125,7936.375,3110434,17_21,20244,9590.125,
MA0106202406A2464980,3120192,서울특별시 강남구 강남대로 302-2,,,,,,,,3120192,11_14,20244,,
MA010120220812515182,3110908,서울특별시 서초구 신반포로3길 8,3872.75,96.83333333333331,862.5,840.3333333333333,966.9166666666666,883.0833333333333,223.0833333333333,3110908,11_14,20244,840.3333333333333,840.3333333333333
MA010120220806653613,3110908,서울특별시 서초구 신반포로3길 8,3872.75,96.83333333333331,862.5,840.3333333333333,966.9166666666666,883.0833333333333,223.0833333333333,3110908,11_14,20244,840.3333333333333,840.3333333333333
MA010120220803675047,3110908,서울특별시 서초구 신반포로3길 8,3872.75,96.83333333333331,862.5,840.3333333333333,966.9166666666666,883.0833333333333,223.0833333333333,3110908,11_14,20244,840.3333333333333,840.3333333333333
MA0101202406A0075604,3130205,서울특별시 양천구 신월로 170,12357.0,2708.0,2415.0,1482.3333333333333,1608.6666666666667,2422.0,1722.0,3130205,11_14,20244,1482.3333333333333,1482.3333333333333
MA0101202311A0105550,3130024,서울특별시 중구 남대문시장4길 9,,,,,,,,3130024,11_14,20244,,
MA010120220800117732,3130024,서울특별시 중구 남대문시장4길 9,,,,,,,,3130024,11_14,20244,,
MA010120220814124659,3110851,서울특별시 동작구 동작대로35길 53,276284.25,86859.25,57102.0,26218.5,25371.25,40984.5,39748.75,,nan,,,
MA010120220806848914,3110383,서울특별시 도봉구 삼양로144길 18,5371.5,667.5714285714286,1101.2857142857142,988.0,986.0,1098.642857142857,529.8571428571429,3110383,11_14,20244,988.0,988.0
MA010120220806476231,3130198,서울특별시 마포구 굴레방로7길 22,91182.75,18923.5,19728.0,13064.0,13049.0,16268.0,10150.25,,nan,,,
MA010120220802780322,3120009,서울특별시 종로구 돈화문로9길 17,54118.75675675676,5254.333333333333,9769.027027027028,10782.477477477478,11462.567567567568,12125.873873873874,4724.459459459459,3120009,17_21,20244,12125.873873873874,
MA010120220806496281,3120113,서울특별시 양천구 오목로56길 5,85742.82608695653,15543.260869565218,16312.652173913044,12561.95652173913,13105.739130434782,17953.869565217392,10265.304347826086,3120113,11_14,20244,12561.95652173913,12561.95652173913
MA0101202302A0078446,3120162,서울특별시 서초구 방배중앙로 188,39691.93333333333,9287.2,7777.066666666667,5099.8,5410.4,7315.866666666667,4801.733333333334,3120162,11_14,20244,5099.8,5099.8
MA0101202310A0029065,3110564,서울특별시 마포구 연희로1길 18,,,,,,,,3110564,17_21,20244,,
MA0101202301A0001083,3130095,서울특별시 동대문구 홍릉로3길 18,,,,,,,,3130095,17_21,20244,,
MA0101202406A0524166,3110608,서울특별시 양천구 오목로15길 22,154916.57142857142,49152.142857142855,32334.285714285717,15593.42857142857,14875.857142857143,22078.14285714286,20882.714285714286,3110608,11_14,20244,15593.42857142857,15593.42857142857
MA010120220802054670,3130179,서울특별시 서대문구 이화여대5길 9,42905.46153846154,10442.26923076923,9108.307692307691,5839.769230769231,5592.192307692308,7085.2307692307695,4837.807692307692,3130179,11_14,20244,5839.769230769231,5839.769230769231
MA0101202309A0037814,3130060,서울특별시 용산구 소월로20길 28-1,,,,,,,,3130060,17_21,20244,,
MA010120220800854284,3120148,서울특별시 영등포구 국회대로70길 22,10436.46511627907,922.186046511628,2445.720930232558,2303.3488372093025,2308.6976744186045,1829.1162790697676,627.4418604651163,3120148,11_14,20244,2303.3488372093025,2303.3488372093025
MA010120220807773162,3110393,서울특별시 도봉구 방학로 171-5,12241.0,2351.6666666666665,2177.6666666666665,1667.0,1824.6666666666667,2638.333333333333,1581.6666666666667,3110393,11_14,20244,1667.0,1667.0
MA0101202301A0080507,3110177,서울특별시 광진구 자양로50길 48,28594.0,9028.5,5983.75,2786.25,2721.25,4249.75,3825.0,,nan,,,
MA0101202406A0459675,3130138,서울특별시 강북구 도봉로 261,12279.5,2089.5,2469.0,1929.0,2006.0,2417.5,1368.0,,nan,,,
MA0101202306A0054244,3130138,서울특별시 강북구 도봉로 261,12279.5,2089.5,2469.0,1929.0,2006.0,2417.5,1368.0,,nan,,,
MA0101202210A0034673,3120033,서울특별시 중구 을지로 167,,,,,,,,3120033,11_14,20244,,
MA010120220804108887,3111055,서울특별시 강동구 고덕로3길 10,32095.0,8652.0,6641.0,3581.0,3640.0,5210.0,4373.0,,nan,,,
MA0101202305A0146430,3110265,서울특별시 중랑구 망우로55길 11-10,66424.66666666667,14141.166666666666,12957.833333333334,8471.166666666666,9449.5,13029.833333333334,8375.5,3110265,11_14,20244,8471.166666666666,8471.166666666666
MA010120220814019498,3110062,서울특별시 용산구 한강대로7길 18-7,25013.290322580644,4183.322580645161,4945.677419354839,3987.3548387096776,4161.580645161291,5130.870967741936,2604.483870967742,3110062,11_14,20244,3987.3548387096776,3987.3548387096776
MA010120220807721966,3120109,서울특별시 양천구 신월로 350,31242.6,7213.4,6443.75,4262.55,4133.65,5440.75,3748.5,3120109,11_14,20244,4262.55,4262.55
MA010120220811871907,3130250,서울특별시 영등포구 영등포로 219,28267.0,5975.0,5211.0,3927.0,4218.5,5422.5,3512.5,3130250,17_21,20244,5422.5,
MA010120220808832530,3130250,서울특별시 영등포구 영등포로 219,28267.0,5975.0,5211.0,3927.0,4218.5,5422.5,3512.5,3130250,17_21,20244,5422.5,
MA0101202308A0016993,3110938,서울특별시 서초구 양재천로11길 11,31678.88888888889,4986.777777777777,7010.777777777777,5528.777777777777,5701.333333333333,5568.888888888889,2882.777777777778,3110938,11_14,20244,5528.777777777777,5528.777777777777
MA010120220810577365,3110577,서울특별시 마포구 토정로31길 63,83537.66666666667,18373.83333333333,15455.0,10253.833333333334,11830.833333333334,17450.833333333332,10173.166666666666,3110577,11_14,20244,10253.833333333334,10253.833333333334
MA0101202406A0046626,3110177,서울특별시 광진구 자양로50길 54,28594.0,9028.5,5983.75,2786.25,2721.25,4249.75,3825.0,,nan,,,
MA010120220803980265,3110364,서울특별시 강북구 솔매로41길 39,613921.0,170166.66666666666,129123.0,69370.33333333333,69140.33333333333,97717.0,78403.33333333333,3110364,06_11,20244,129123.0,
MA010120220803674019,3111068,서울특별시 강동구 천호대로 1107,91059.0,21264.0,20674.5,12360.5,11315.5,14312.0,11132.5,3111068,11_14,20244,12360.5,12360.5
MA010120220806880475,3130107,서울특별시 중랑구 망우로32길 23,38554.0,9644.0,7154.0,4195.0,4649.0,7260.0,5654.0,,nan,,,
MA010120220803878389,3110559,서울특별시 마포구 독막로6길 27,32312.72413793104,7454.068965517241,6193.931034482759,4319.6551724137935,4432.862068965517,5888.896551724138,4023.379310344827,3110559,14_17,20244,4432.862068965517,
MA010120220805703628,3110734,서울특별시 금천구 시흥대로61길 31,35656.0,7993.0,7063.0,4492.0,4793.0,6790.0,4526.0,,nan,,,
MA010120220813342186,3130060,서울특별시 용산구 소월로20길 28,,,,,,,,3130060,17_21,20244,,
MA0101202406A0061679,3111026,서울특별시 송파구 문정로4길 26,,,,,,,,3111026,11_14,20244,,
MA010120220813711418,3110424,서울특별시 노원구 상계로9가길 26,228092.9,63845.8,47566.5,25832.6,25584.2,35827.1,29436.9,3110424,11_14,20244,25832.6,25832.6
MA010120220812329257,3110107,서울특별시 성동구 금호로3길 14,,,,,,,,3110107,14_17,20244,,
MA010120220805446012,3110107,서울특별시 성동구 금호로3길 14,,,,,,,,3110107,14_17,20244,,
MA010120220802964354,3130178,서울특별시 서대문구 이화여대길 52-33,7910.0,1327.0,1646.5,1441.0,1410.5,1334.0,751.0,3130178,11_14,20244,1441.0,1441.0
MA010120220806478777,3130071,서울특별시 성동구 성수일로10길 26,,,,,,,,,nan,,,
MA010120220800219104,3130192,서울특별시 마포구 성미산로 198,7660.0,2138.833333333333,1454.8333333333333,828.8333333333333,869.8333333333333,1348.3333333333333,1019.1666666666666,3130192,14_17,20244,869.8333333333333,
MA010120220808123411,3130192,서울특별시 마포구 성미산로 198,7660.0,2138.833333333333,1454.8333333333333,828.8333333333333,869.8333333333333,1348.3333333333333,1019.1666666666666,3130192,14_17,20244,869.8333333333333,
MA010120220800209837,3130192,서울특별시 마포구 성미산로 198,7660.0,2138.833333333333,1454.8333333333333,828.8333333333333,869.8333333333333,1348.3333333333333,1019.1666666666666,3130192,14_17,20244,869.8333333333333,
MA0106202201A0153478,3120019,서울특별시 중구 통일로 78,47950.25,5738.125,12164.0,9992.75,9651.125,7340.125,3064.125,3120019,11_14,20244,9992.75,9992.75
MA010120220805376837,3130196,서울특별시 마포구 만리재로 15,13925.333333333332,1429.3333333333333,2993.0,2601.333333333333,2592.0,2990.6666666666665,1319.3333333333333,3130196,11_14,20244,2601.333333333333,2601.333333333333
MA0101202307A0051907,3130196,서울특별시 마포구 만리재로 15,13925.333333333332,1429.3333333333333,2993.0,2601.333333333333,2592.0,2990.6666666666665,1319.3333333333333,3130196,11_14,20244,2601.333333333333,2601.333333333333
MA010120220809331537,3130196,서울특별시 마포구 만리재로 15,13925.333333333332,1429.3333333333333,2993.0,2601.333333333333,2592.0,2990.6666666666665,1319.3333333333333,3130196,11_14,20244,2601.333333333333,2601.333333333333
MA010120220806528090,3110096,서울특별시 용산구 한남대로42길 23,33941.28571428572,4474.571428571428,7227.285714285715,5441.714285714285,6166.857142857143,7394.0,3237.0,3110096,11_14,20244,5441.714285714285,5441.714285714285
MA0106202201A1608036,3110132,서울특별시 성동구 광나루로4길 9,56240.3,14664.3,11871.9,7643.1,7553.0,8139.4,6368.5,3110132,17_21,20244,8139.4,
MA0101202311A0063989,3110924,서울특별시 서초구 동광로49길 88,210003.0,49454.0,45342.0,28722.0,28963.0,33438.5,24083.0,,nan,,,
MA010120220814335806,3130101,서울특별시 동대문구 전농로4가길 8,500872.0,105509.0,99225.0,66421.0,70713.0,98365.0,60641.0,,nan,,,
MA0101202311A0057925,3110674,서울특별시 강서구 양천로59길 46,32167.0,5196.5,7186.0,4973.5,5255.5,6037.0,3517.0,3110674,11_14,20244,4973.5,4973.5
MA0101202406A0496575,3110576,서울특별시 마포구 백범로16안길 29,38287.8,5614.15,7219.8,5705.35,6245.1,8794.45,4708.95,3110576,17_21,20244,8794.45,
MA010120220800189855,3130191,서울특별시 마포구 어울마당로 136-3,11955.934782608696,1254.1739130434785,1514.1521739130435,1959.0,2589.0652173913045,3300.3478260869565,1339.1739130434785,3130191,17_21,20244,3300.3478260869565,
MA010120220803540686,3130293,서울특별시 관악구 관악로 211,39622.0,5550.333333333333,8093.666666666667,6244.333333333333,6526.0,8842.0,4364.666666666667,3130293,11_14,20244,6244.333333333333,6244.333333333333
MA0101202409A0015864,3120157,서울특별시 관악구 신림로 340,126983.30555555556,30040.694444444445,24446.25,14834.916666666666,15633.0,24529.88888888889,17498.527777777777,3120157,17_21,20244,24529.88888888889,
