상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,신우편번호,동정보,층정보,호정보,경도,위도,가장가까운_지하철역,지하철역_거리(m),가장가까운_버스정류장,버스정류장_거리(m),반경500m내_카페수,밀집등급,총_유동인구_수,피크_유동인구_수_상권별,기준_년분기_코드,피크_유동인구_수_11~14,상권_코드,상권_코드_명,평균_평일_유동인구_수,평균_주말_유동인구_수,평일_대비_주말_유동인구_비율,전용면적,리뷰수,별점,카페_추정매출
MA010120220803699812,챔프커피,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,1493.0,4.246666666666666,12766903184.980366
MA0101202307A0001081,이프프커피,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,457.0,4.7,7213903788.425168
MA0101202305A0155336,헤일리스커피,을지로점,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,31.0,4.574999999999999,4930527588.683358
MA0101202406A0288695,리오네커피,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,135.0,4.6,5487971543.549903
MA010120220807113501,해피클럽,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,0.0,4.47,4764366409.828908
MA0101202409A0004940,톤즈,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,409.0,4.9,6956621963.102146
MA010120220806525068,빈티지라이언,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,0.0,4.28,4764366409.828908
MA010120220810045634,호랑이,,3130033,대림상가(청계상가),I21201,카페,11,서울특별시,11140,중구,11140605,을지로동,1114015700,산림동,1114015700102070002,1,대지,207.0,2.0,서울특별시 중구 산림동 207-2,111403101006,서울특별시 중구 을지로,157.0,,1114015700102070002000001,대림상가,서울특별시 중구 을지로 157,4545,,3,,126.995427058491,37.5675198109677,5호선 을지로4가,230,을지로4가,116,113,3,58399,12045.0,20244.0,12045,3130033,대림상가(청계상가),10433.0,5774.0,0.5534362120195533,7796.622436234671,3467.0,4.01,23347618251.38959
MA0101202209A0021984,아르팡,,3130057,만리시장,I21201,카페,11,서울특별시,11170,용산구,11170555,청파동,1117010800,서계동,1117010800102600001,1,대지,260.0,1.0,서울특별시 용산구 서계동 260-1,111703005022,서울특별시 용산구 효창원로,270.0,,1117010800102600001021669,만리시장,서울특별시 용산구 효창원로 270,4305,,2,,126.963695983216,37.5513324117351,공항철도1호선 서울역,576,서계동,514,19,0,15682,,,1915,3130057,만리시장,2288.6,2119.5,0.9261120335576336,1461.98644658814,5.0,5.0,15274049461.0
MA0106202303A1044347,멀티커피,한양대점,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",I21201,카페,11,서울특별시,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100190054,1,대지,19.0,54.0,서울특별시 성동구 행당동 19-54,112003103002,서울특별시 성동구 마조로,17.0,,1120010700100190054019225,,서울특별시 성동구 마조로 17,4760,,1,,127.040473015086,37.5595571643077,경원선호선 왕십리(성동구청),314,행당1동주민센터.성동소방서,223,60,2,90680,16810.0,20244.0,11040,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",92718.6,85588.0,0.9230941795928757,91.46728986473828,47.0,4.9,2416469414.895756
MA010120220805143379,티아트커피로스터스,,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",I21201,카페,11,서울특별시,11200,성동구,11200550,사근동,1120010700,행당동,1120010700100190054,1,대지,19.0,54.0,서울특별시 성동구 행당동 19-54,112003103002,서울특별시 성동구 마조로,17.0,,1120010700100190054019225,제,서울특별시 성동구 마조로 17,4760,,1,,127.040473015086,37.5595571643077,경원선호선 왕십리(성동구청),314,행당1동주민센터.성동소방서,223,60,2,90680,16810.0,20244.0,11040,3130069,"한양대앞상점가(한양시장, 왕십리맛골목)",92718.6,85588.0,0.9230941795928757,91.46728986473828,0.0,4.5,1769684410.5275257
MA010120220802972784,카페쏙,,3110323,상월곡역 1번,I21201,카페,11,서울특별시,11290,성북구,11290725,월곡2동,1129013700,상월곡동,1129013700100640001,1,대지,64.0,1.0,서울특별시 성북구 상월곡동 64-1,112904121514,서울특별시 성북구 장월로1길,66.0,,1129013700100640001014862,,서울특별시 성북구 장월로1길 66,2748,,1,,127.044609030077,37.6058216854875,6호선 상월곡(한국과학기술연구원),347,창문여고,1019,30,0,142664,15770.0,20244.0,15770,3110323,상월곡역 1번,201679.8,209124.0,1.0369109846400086,42.66234935526772,34.0,4.1,578394022.0745469
MA010120220804964341,단조,,3130106,중랑동부시장,I21201,카페,11,서울특별시,11260,중랑구,11260520,면목2동,1126010100,면목동,1126010100101850001,1,대지,185.0,1.0,서울특별시 중랑구 면목동 185-1,112604118560,서울특별시 중랑구 중랑천로10길,68.0,,1126010100101850001027900,보은빌딩,서울특별시 중랑구 중랑천로10길 68,2125,,3,,127.07680336661,37.5923443233976,중앙선호선 중랑,292,중랑역.동부시장(중),195,37,1,88665,16430.0,20244.0,10391,3130106,중랑동부시장,126060.2,128189.5,1.0168911361397177,223.55324206969044,218.0,4.495,8490314748.096726
MA010120220812595260,이디야커피,,3110393,국민은행방학지점,I21201,카페,11,서울특별시,11320,도봉구,11320710,방학3동,1132010600,방학동,1132010600106700000,1,대지,670.0,,서울특별시 도봉구 방학동 670,113203005048,서울특별시 도봉구 방학로,171.0,,1132010600106700000000391,,서울특별시 도봉구 방학로 171,1384,,1,,127.033252539557,37.6621640603055,경원선호선 방학,1137,국민은행방학지점,96,27,0,12241,1667.0,20244.0,1667,3110393,국민은행방학지점,5077.6,5667.5,1.1161769339845595,139.64773070118594,19.217391304347824,3.804509803921569,3314602573.9877205
MA010120220807929010,카페숲,,3130088,경동시장,I21201,카페,11,서울특별시,11230,동대문구,11230545,제기동,1123010300,제기동,1123010300110190000,1,대지,1019.0,,서울특별시 동대문구 제기동 1019,112304115033,서울특별시 동대문구 고산자로36길,3.0,,1123010300110190000034389,호경동시장,서울특별시 동대문구 고산자로36길 3,2571,,2,,127.039147690267,37.5790371332837,1호선 제기동,389,청량리.청과물도매시장(중),132,36,1,58336,,,10980,3130088,경동시장,8436.6,8076.5,0.9573169286205344,945.8260450299214,0.0,4.63,107321706261.3
MA0106202406A2465633,스타벅스,경동1960,3130088,경동시장,I21201,카페,11,서울특별시,11230,동대문구,11230545,제기동,1123010300,제기동,1123010300110360000,1,대지,1036.0,,서울특별시 동대문구 제기동 1036,112304115033,서울특별시 동대문구 고산자로36길,3.0,,,,서울특별시 동대문구 고산자로36길 3,2571,,,,127.039147690267,37.5790371332837,1호선 제기동,389,청량리.청과물도매시장(중),132,36,1,58336,,,10980,3130088,경동시장,8436.6,8076.5,0.9573169286205344,945.8260450299214,126.05636743215032,4.132901878914405,250417314609.7
MA010120220800600549,이디아,,3120094,"신촌역(신촌역, 신촌로터리)",I21201,카페,11,서울특별시,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100300020,1,대지,30.0,20.0,서울특별시 서대문구 창천동 30-20,114103005057,서울특별시 서대문구 신촌로,87.0,20.0,1141011600100300020021763,,서울특별시 서대문구 신촌로 87-20,3789,,1,,126.936463576904,37.5565106454592,2호선 신촌,157,연세로.스타광장,28,145,4,55064,12623.0,20244.0,7940,3120094,"신촌역(신촌역, 신촌로터리)",894651.0,929560.5,1.0390202436480818,71.88461675755107,37.0,2.2,1657606182.0770092
MA0101202409A0021931,에나꼬레,,3130173,백련시장,I21201,카페,11,서울특별시,11410,서대문구,11410700,남가좌2동,1141012000,남가좌동,1141012000103450004,1,대지,345.0,4.0,서울특별시 서대문구 남가좌동 345-4,114104136007,서울특별시 서대문구 가재울로6길,53.0,87.0,1141012000103450004004620,백련미라보,서울특별시 서대문구 가재울로6길 53-87,3692,,1,,126.923110501294,37.5770093670864,경의중앙선호선 가좌,1161,남가좌동현대아파트후문,474,49,1,74191,,,8743,3130173,백련시장,10327.6,11278.0,1.0920252527208645,917.2195696508552,0.0,,479931897.0
MA010120220810199262,태무든TAEMOODEN,,3110525,홍은종합사회복지관,I21201,카페,11,서울특별시,11410,서대문구,11410660,홍은1동,1141011800,홍은동,1141011800100360006,1,대지,36.0,6.0,서울특별시 서대문구 홍은동 36-6,114104136176,서울특별시 서대문구 세검정로1길,105.0,,1141011800100360006013474,,서울특별시 서대문구 세검정로1길 105,3611,,1,,126.946078325775,37.5950149200007,3호선 홍제,692,산골고개(중),495,26,0,49794,6704.0,20244.0,6704,3110525,홍은종합사회복지관,48734.4,52447.0,1.076180275123937,40.6566779596686,0.0,5.0,415492805.783692
MA0101202311A0083488,두번째디저트,,3110852,이수역 9번,I21201,카페,11,서울특별시,11590,동작구,11590620,사당1동,1159010700,사당동,1159010700110050001,1,대지,1005.0,1.0,서울특별시 동작구 사당동 1005-1,115904157282,서울특별시 동작구 사당로28길,13.0,,1159010700110050001010963,,서울특별시 동작구 사당로28길 13,7013,,1,,126.979727510488,37.4834276222441,7호선 이수,257,사당동우체국앞(중),192,88,3,82742,9280.0,20244.0,9714,3110852,이수역 9번,95863.0,91309.0,0.9524947059866684,106.45874932157506,0.0,4.44,798254405.5943573
MA0106202406A2465517,스타벅스,신촌,3130175,신촌 상인회(신촌상점가),I21201,카페,11,서울특별시,11410,서대문구,11410585,신촌동,1141011600,창천동,1141011600100180055,1,대지,18.0,55.0,서울특별시 서대문구 창천동 18-55,114103112008,서울특별시 서대문구 연세로,10.0,1.0,,,서울특별시 서대문구 연세로 10-1,3779,,3,,126.937120014026,37.5564839669554,2호선 신촌,151,연세로.문학의거리,17,144,4,16809,3721.0,20244.0,2466,3130175,신촌 상인회(신촌상점가),9461.0,9966.0,1.0533770214565057,163.3541567807414,126.05636743215032,4.132901878914405,2101097058.3327692
MA010120220803658119,이디야사가정점,,3120068,사가정역,I21201,카페,11,서울특별시,11260,중랑구,11260575,면목3.8동,1126010100,면목동,1126010100104960018,1,대지,496.0,18.0,서울특별시 중랑구 면목동 496-18,112603005027,서울특별시 중랑구 면목로,325.0,,1126010100104960018025507,,서울특별시 중랑구 면목로 325,2228,,,,127.088181000117,37.5811370338552,7호선 사가정,37,사가정역,73,40,1,20231,4392.0,20244.0,2723,3120068,사가정역,40424.0,40557.0,1.003290124678409,78.91682133303559,39.0,4.265,4748570254.768205
MA010120220810433268,로스토,,3110037,신설동역 12번,I21201,카페,11,서울특별시,11110,종로구,11110710,숭인2동,1111017500,숭인동,1111017500103650000,1,대지,365.0,,서울특별시 종로구 숭인동 365,111104100204,서울특별시 종로구 숭인동길,68.0,,1111017500103650000001440,,서울특별시 종로구 숭인동길 68,3111,,1,,127.022007520491,37.577951370222,우이신설선호선 신설동,233,보문동주민센터,179,47,1,382588,45400.0,20244.0,45400,3110037,신설동역 12번,135704.6,138974.5,1.0240957196734672,145.2797574110872,30.0,5.0,591603147.4135989
MA0101202311A0016316,청림무역,,3110037,신설동역 12번,I21201,카페,11,서울특별시,11110,종로구,11110710,숭인2동,1111017500,숭인동,1111017500103650000,1,대지,365.0,,서울특별시 종로구 숭인동 365,111104100204,서울특별시 종로구 숭인동길,68.0,,1111017500103650000001440,,서울특별시 종로구 숭인동길 68,3111,,2,,127.022007520491,37.577951370222,우이신설선호선 신설동,233,보문동주민센터,179,47,1,382588,45400.0,20244.0,45400,3110037,신설동역 12번,135704.6,138974.5,1.0240957196734672,145.2797574110872,0.0,,550114277.6783574
MA010120220812360152,9카페,,3120066,장한평역(장한평),I21201,카페,11,서울특별시,11230,동대문구,11230650,장안1동,1123010600,장안동,1123010600104160005,1,대지,416.0,5.0,서울특별시 동대문구 장안동 416-5,112303105012,서울특별시 동대문구 장한로,3.0,,1123010600104160005017809,,서울특별시 동대문구 장한로 3,2633,,1,,127.064571166229,37.5621323047926,5호선 장한평,77,장한평역(중),178,45,1,35096,5134.0,20244.0,5134,3120066,장한평역(장한평),217387.8,193529.5,0.8902500508308194,518.6876635176153,101.0,3.755,11493638833.155785
MA010120220803705421,쥬씨삼호가든,사거리점,3120170,삼호가든사거리,I21201,카페,11,서울특별시,11650,서초구,11650581,반포4동,1165010700,반포동,1165010700100520002,1,대지,52.0,2.0,서울특별시 서초구 반포동 52-2,116504163042,서울특별시 서초구 고무래로10길,5.0,,1165010700100520002016593,,서울특별시 서초구 고무래로10길 5,6593,,1,,127.010902145789,37.5021067382711,9호선 사평,449,반포미도아파트앞,72,16,0,107294,13714.0,20244.0,13714,3120170,삼호가든사거리,188900.6,171514.0,0.907959000659606,392.922091423049,7.0,4.640000000000001,10497833274.465046
MA0101202305A0094771,몹시,,3120002,서촌(경복궁역),I21201,카페,11,서울특별시,11110,종로구,11110530,사직동,1111010600,통의동,1111010600101080000,1,대지,108.0,,서울특별시 종로구 통의동 108,111103100012,서울특별시 종로구 자하문로,36.0,,1111010600101080000028859,남측,서울특별시 종로구 자하문로 36,3044,,1,,126.971754251522,37.5792745036982,3호선 경복궁(정부서울청사),420,경복궁역1번출구,351,133,4,22612,4360.0,20244.0,4083,3120002,서촌(경복궁역),197944.6,194804.5,0.9841364705074046,286.652056645813,153.5,4.2,2017979794.4245496
MA010120220800795375,마룬여유,,3110517,서대문소방서,I21201,카페,11,서울특별시,11410,서대문구,11410615,연희동,1141011700,연희동,1141011700100750003,1,대지,75.0,3.0,서울특별시 서대문구 연희동 75-3,114104136270,서울특별시 서대문구 연희로26가길,14.0,,1141011700100750003017855,,서울특별시 서대문구 연희로26가길 14,3720,,,,126.936607509442,37.5736386573439,3호선 무악재,1543,봉원동사거리(경유),1162,11,0,115609,17195.0,20244.0,17195,3110517,서대문소방서,49513.6,49626.5,1.0022801816066698,121.87877364751373,0.0,4.7,977761943.7776506
MA0101202212A0069021,탐앤탐스홍제역점,,3130176,유진상가,I21201,카페,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102940046,1,대지,294.0,46.0,서울특별시 서대문구 홍제동 294-46,114103000008,서울특별시 서대문구 통일로,484.0,,1141011100102940001014466,유진상가,서울특별시 서대문구 통일로 484,3628,,1,,126.942955695997,37.5915986934433,3호선 홍제,289,홍제역.서대문세무서(중),352,35,1,20274,,,3252,3130176,유진상가,2873.6,2953.5,1.0278048440979957,9313.59852953515,37.0,3.745,22130371897.2
MA010120220810013229,홍제동냇길,,3130176,유진상가,I21201,카페,11,서울특별시,11410,서대문구,11410640,홍제3동,1141011100,홍제동,1141011100102940046,1,대지,294.0,46.0,서울특별시 서대문구 홍제동 294-46,114103000008,서울특별시 서대문구 통일로,484.0,,1141011100102940001014466,유진아파트,서울특별시 서대문구 통일로 484,3628,,1,,126.942955695997,37.5915986934433,3호선 홍제,289,홍제역.서대문세무서(중),352,35,1,20274,,,3252,3130176,유진상가,2873.6,2953.5,1.0278048440979957,9313.59852953515,0.0,,9484445098.8
MA010120220804670501,아케디뜨,,3130060,신흥시장,I21201,카페,11,서울특별시,11170,용산구,11170520,용산2가동,1117010200,용산동2가,1117010200100010490,1,대지,1.0,490.0,서울특별시 용산구 용산동2가 1-490,111703102005,서울특별시 용산구 신흥로,95.0,15.0,1117010200100010490000001,,서울특별시 용산구 신흥로 95-15,4337,,2,,126.985017889339,37.5452462908367,4호선 숙대입구(갈월),1140,후암동종점,392,61,2,34195,6728.0,20244.0,4152,3130060,신흥시장,56511.6,63889.5,1.1305554965706155,152.5532505263157,0.0,4.62,297234078.68205005
MA0101202210A0069909,잇푸쿠,,3110553,가좌역 2번,I21201,카페,11,서울특별시,11440,마포구,11440730,성산2동,1144012600,중동,1144012600102540000,1,대지,254.0,,서울특별시 마포구 중동 254,114404139342,서울특별시 마포구 성암로3길,34.0,,1144012600102540000018444,명칭없음,서울특별시 마포구 성암로3길 34,3950,,1,,126.910883512791,37.5681349817406,경의중앙선호선 가좌,407,중동초등학교,143,22,0,154891,15935.0,20244.0,15935,3110553,가좌역 2번,131164.6,136769.0,1.0427279921564203,114.23595889463448,53.0,4.6,2143259918.689362
MA0101202411A0148010,메가엠지씨커피북한산,아이파크점,3110408,가인초등학교,I21201,카페,11,서울특별시,11320,도봉구,11320515,창5동,1132010700,창동,1132010700107500002,1,대지,750.0,2.0,서울특별시 도봉구 창동 750-2,113204127127,서울특별시 도봉구 도봉로136가길,4.0,,1132010700107500002019042,창동리더스빌딩,서울특별시 도봉구 도봉로136가길 4,1401,,1,,127.041501492526,37.6588458345437,4호선 창동,817,도봉보건소(중),69,36,1,35319,4822.0,20244.0,4822,3110408,가인초등학교,33318.8,40317.0,1.2100375763833031,716.227152071217,14.0,2.9,3291525242.713592
MA010120220811453534,까페캠퍼,잠실점,3111004,삼전역 1번,I21201,카페,11,서울특별시,11710,송파구,11710650,잠실본동,1171010100,잠실동,1171010100102330000,1,대지,233.0,,서울특별시 송파구 잠실동 233,117104169168,서울특별시 송파구 백제고분로15길,16.0,,1171010100102330000001349,,서울특별시 송파구 백제고분로15길 16,5568,,,,127.085186787057,37.5067707632389,9호선(연장)호선 삼전,337,새마을시장,274,69,2,106040,11228.0,20244.0,11258,3111004,삼전역 1번,300051.0,310272.0,1.0340642090844556,129.2010568617336,39.0,5.0,4661134740.768556
MA010120220806570363,설빙,,3120151,보라매공원,I21201,카페,11,서울특별시,11620,관악구,11620525,보라매동,1162010100,봉천동,1162010100107290032,1,대지,729.0,32.0,서울특별시 관악구 봉천동 729-32,116204160384,서울특별시 관악구 보라매로3길,29.0,,1162010100107290032000001,해태보라매타워,서울특별시 관악구 보라매로3길 29,8708,,2,,126.925075633006,37.491181303006,신림선호선 당곡,236,롯데관악점,161,63,2,99594,14670.0,20244.0,14670,3120151,보라매공원,192673.0,165686.0,0.8599336700004672,2384.098985228658,161.38095238095238,3.795227272727273,5095039613.680037
